time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,24.6,89,0.8,60,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Batticaloa,7.7102,81.6924,17.0
2022-01-01T01:00,24.7,88,0.9,96,9.8,1.0,0.0,1.0,0.0,0.0,0.0,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T02:00,25.6,86,0.9,62,8.6,87.0,42.0,45.0,260.8,105.0,3600.0,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T03:00,26.5,81,1.0,68,12.1,295.0,178.0,117.0,469.1,328.2,3600.0,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T04:00,26.9,80,1.0,71,14.7,492.0,310.0,182.0,542.0,531.2,3600.0,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T05:00,27.2,80,1.2,97,14.8,690.0,492.0,198.0,681.5,740.5,3600.0,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T06:00,27.4,79,1.6,69,14.7,820.0,646.0,174.0,788.5,879.7,3600.0,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T07:00,27.6,78,1.4,41,15.5,870.0,698.0,172.0,814.3,932.1,3600.0,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T08:00,27.3,79,1.4,62,14.7,827.0,632.0,195.0,758.5,884.4,3600.0,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T09:00,27.0,79,1.3,94,14.0,440.0,241.0,199.0,321.8,463.3,3600.0,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T10:00,26.3,83,0.6,100,13.2,138.0,58.0,80.0,95.1,144.6,1052.29,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T11:00,26.0,85,0.9,100,13.2,68.0,26.0,42.0,61.0,72.2,30.64,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T12:00,25.6,86,1.4,100,13.3,24.0,9.0,15.0,42.9,26.9,0.0,1,Batticaloa,7.7102,81.6924,17.0
2022-01-01T13:00,25.3,87,1.7,78,13.5,6.0,3.0,3.0,42.3,8.9,43.53,0,Batticaloa,7.7102,81.6924,17.0
2022-01-01T14:00,25.2,87,2.1,27,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Batticaloa,7.7102,81.6924,17.0
