time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,22.0,93,0.0,11,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-01T01:00,21.9,93,0.0,5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T02:00,23.3,87,0.0,6,5.5,83.0,46.0,37.0,306.1,104.1,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T03:00,25.5,78,0.0,6,4.7,308.0,222.0,86.0,616.5,351.4,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T04:00,27.8,68,0.0,6,2.0,531.0,420.0,111.0,754.0,585.3,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T05:00,29.5,61,0.0,21,4.7,716.0,594.0,122.0,833.2,777.0,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T06:00,30.2,59,0.0,84,9.1,842.0,713.0,129.0,872.8,906.8,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T07:00,30.4,59,0.0,43,12.4,896.0,763.0,133.0,885.0,962.2,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T08:00,30.1,61,0.0,90,15.6,872.0,732.0,140.0,865.9,936.5,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T09:00,29.4,63,0.0,90,17.1,780.0,653.0,127.0,850.5,842.7,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T10:00,28.8,64,0.0,57,16.0,620.0,506.0,114.0,797.2,677.9,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T11:00,28.0,69,0.5,25,14.0,399.0,297.0,102.0,652.5,445.3,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T12:00,27.4,73,0.0,28,6.3,175.0,111.0,64.0,459.9,206.9,3600.0,1,Colombo,6.93548,79.84868,7.0
2022-01-01T13:00,25.8,78,0.0,100,5.9,15.0,7.0,8.0,80.2,20.5,804.2,0,Colombo,6.93548,79.84868,7.0
2022-01-01T14:00,25.6,79,0.0,31,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-01T15:00,25.1,80,0.0,6,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-01T16:00,24.4,83,0.0,16,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-01T17:00,23.8,85,0.0,12,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-01T18:00,23.3,90,0.0,14,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-01T19:00,23.1,91,0.0,100,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-01T20:00,22.9,92,0.0,100,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-01T21:00,22.6,93,0.0,18,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-01T22:00,22.4,94,0.0,100,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-01T23:00,22.1,94,0.0,100,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-02T00:00,21.9,95,0.0,100,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Colombo,6.93548,79.84868,7.0
2022-01-02T01:00,21.8,95,0.0,98,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1,Colombo,6.93548,79.84868,7.0
2022-01-02T02:00,23.3,87,0.0,100,6.9,78.0,40.0,38.0,267.4,96.3,3600.0,1,Colombo,6.93548,79.84868,7.0
