time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,21.8,93,0.0,69,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Galle,6.0461,80.2103,24.0
2022-01-01T01:00,21.9,92,0.0,46,8.0,1.0,1.0,0.0,0.0,0.0,27.71,1,Galle,6.0461,80.2103,24.0
2022-01-01T02:00,23.0,88,0.0,27,7.5,97.0,58.0,39.0,370.5,122.4,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T03:00,24.9,80,0.0,6,9.2,328.0,249.0,79.0,669.0,374.5,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T04:00,27.5,68,0.0,11,9.2,552.0,454.0,98.0,798.3,608.2,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T05:00,29.7,58,0.0,10,7.1,734.0,625.0,109.0,863.6,795.5,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T06:00,31.4,53,0.0,10,2.9,857.0,741.0,116.0,896.4,921.5,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T07:00,31.9,53,0.0,35,4.9,906.0,779.0,127.0,894.9,970.7,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T08:00,30.9,58,0.1,66,13.6,797.0,525.0,272.0,616.0,840.3,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T09:00,28.6,70,0.2,100,15.8,339.0,148.0,191.0,191.4,351.7,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T10:00,26.7,82,0.7,100,15.5,264.0,116.0,148.0,181.7,276.1,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T11:00,27.0,81,0.6,43,12.9,415.0,316.0,99.0,690.4,463.1,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T12:00,26.5,85,0.1,76,9.1,181.0,114.0,67.0,469.3,213.2,3600.0,1,Galle,6.0461,80.2103,24.0
2022-01-01T13:00,25.7,86,0.1,62,8.3,16.0,8.0,8.0,91.0,22.2,1045.15,0,Galle,6.0461,80.2103,24.0
2022-01-01T14:00,25.5,86,0.0,73,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Galle,6.0461,80.2103,24.0
2022-01-01T15:00,25.3,86,0.0,73,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Galle,6.0461,80.2103,24.0
2022-01-01T16:00,25.1,86,0.0,35,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Galle,6.0461,80.2103,24.0
2022-01-01T17:00,24.7,88,0.0,11,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Galle,6.0461,80.2103,24.0
2022-01-01T18:00,24.4,90,0.0,17,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Galle,6.0461,80.2103,24.0
2022-01-01T19:00,23.8,92,0.0,100,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Galle,6.0461,80.2103,24.0
2022-01-01T20:00,23.0,94,0.0,100,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Galle,6.0461,80.2103,24.0
