time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,21.2,96,0.0,100,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T01:00,21.0,96,0.0,11,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T02:00,22.7,90,0.0,6,3.6,84.0,47.0,37.0,311.8,105.5,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T03:00,25.3,79,0.0,6,3.9,310.0,224.0,86.0,620.7,353.8,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T04:00,28.8,64,0.0,6,2.2,534.0,425.0,109.0,762.3,589.0,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T05:00,31.7,53,0.0,39,1.1,718.0,598.0,120.0,838.8,779.7,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T06:00,33.3,47,0.0,100,3.6,843.0,716.0,127.0,876.9,908.4,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T07:00,33.7,45,0.0,28,6.4,896.0,766.0,130.0,889.5,962.8,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T08:00,33.6,44,0.0,35,10.5,873.0,742.0,131.0,879.2,938.8,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T09:00,33.1,47,0.0,100,12.7,777.0,654.0,123.0,853.9,840.2,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T10:00,30.5,56,0.0,97,14.3,465.0,320.0,145.0,505.9,501.4,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T11:00,26.6,73,0.2,100,10.1,116.0,61.0,55.0,134.8,125.4,2242.72,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T12:00,27.1,73,0.0,12,4.2,168.0,106.0,62.0,444.0,198.9,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-01T13:00,25.6,77,0.0,96,4.0,10.0,4.0,6.0,46.6,13.2,68.14,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T14:00,25.1,79,0.0,62,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T15:00,24.2,84,0.0,6,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T16:00,23.6,87,0.0,19,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T17:00,23.2,89,0.0,16,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T18:00,22.9,93,0.0,14,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T19:00,22.6,94,0.0,100,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T20:00,22.3,95,0.0,100,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T21:00,22.0,96,0.0,18,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T22:00,21.8,96,0.0,100,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-01T23:00,21.6,96,0.0,100,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-02T00:00,21.4,96,0.0,100,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-02T01:00,21.3,95,0.0,98,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T02:00,23.3,85,0.0,100,3.9,79.0,41.0,38.0,273.2,97.8,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T03:00,26.4,71,0.0,100,4.3,300.0,206.0,94.0,572.7,340.2,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T04:00,29.2,60,0.0,100,4.4,524.0,404.0,120.0,725.7,576.1,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T05:00,31.7,52,0.0,100,3.9,699.0,541.0,158.0,759.2,754.4,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T06:00,33.7,46,0.0,100,2.3,820.0,641.0,179.0,784.9,878.0,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T07:00,34.7,43,0.0,100,3.7,879.0,709.0,170.0,822.7,940.3,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T08:00,32.8,48,0.0,100,11.2,553.0,310.0,243.0,366.9,579.2,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T09:00,30.5,58,0.1,97,13.8,355.0,177.0,178.0,230.6,371.1,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T10:00,25.7,85,1.3,100,9.4,68.0,24.0,44.0,37.8,70.5,0.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T11:00,25.4,86,0.5,100,5.9,40.0,14.0,26.0,30.8,42.1,0.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T12:00,26.3,83,0.4,92,4.3,120.0,66.0,54.0,274.1,138.9,3600.0,1,Gampaha,7.0897,79.9925,21.0
2022-01-02T13:00,24.6,88,0.0,12,2.2,15.0,7.0,8.0,80.5,20.5,808.89,0,Gampaha,7.0897,79.9925,21.0
2022-01-02T14:00,24.0,90,0.0,11,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-02T15:00,23.6,92,0.0,10,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-02T16:00,23.2,93,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-02T17:00,22.9,93,0.0,0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-02T18:00,22.7,94,0.0,0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
2022-01-02T19:00,22.5,94,0.0,10,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Gampaha,7.0897,79.9925,21.0
