time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,22.7,94,0.0,36,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Hambantota,6.1241,81.1185,10.0
2022-01-01T01:00,22.8,94,0.0,81,17.9,1.0,0.0,1.0,0.0,0.0,0.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T02:00,24.3,89,0.0,58,19.7,106.0,62.0,44.0,381.7,132.2,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T03:00,26.3,79,0.0,11,22.9,335.0,248.0,87.0,647.6,380.1,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T04:00,28.1,71,0.0,11,21.8,556.0,443.0,113.0,767.2,610.1,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T05:00,29.5,65,0.0,22,21.2,736.0,612.0,124.0,838.6,795.9,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T06:00,30.5,62,0.0,33,18.0,851.0,705.0,146.0,849.8,912.2,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T07:00,30.9,61,0.0,26,19.8,907.0,779.0,128.0,895.3,972.0,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T08:00,29.8,68,0.4,84,24.2,879.0,753.0,126.0,887.5,943.2,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T09:00,28.9,73,1.0,65,25.8,768.0,637.0,131.0,831.4,827.5,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T10:00,29.1,72,0.4,11,24.5,615.0,500.0,115.0,795.1,671.3,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T11:00,28.1,77,0.7,12,22.9,406.0,317.0,89.0,711.0,455.7,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T12:00,27.1,79,0.0,6,22.5,174.0,117.0,57.0,509.5,209.1,3600.0,1,Hambantota,6.1241,81.1185,10.0
2022-01-01T13:00,26.3,78,0.0,6,21.4,13.0,6.0,7.0,74.1,18.0,646.2,0,Hambantota,6.1241,81.1185,10.0
2022-01-01T14:00,25.9,78,0.0,5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Hambantota,6.1241,81.1185,10.0
2022-01-01T15:00,25.4,81,0.0,65,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Hambantota,6.1241,81.1185,10.0
2022-01-01T16:00,24.9,84,0.0,100,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Hambantota,6.1241,81.1185,10.0
2022-01-01T17:00,24.7,85,0.0,5,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Hambantota,6.1241,81.1185,10.0
2022-01-01T18:00,24.4,87,0.0,5,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Hambantota,6.1241,81.1185,10.0
2022-01-01T19:00,24.2,87,0.0,10,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Hambantota,6.1241,81.1185,10.0
2022-01-01T20:00,24.0,87,0.0,14,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Hambantota,6.1241,81.1185,10.0
2022-01-01T21:00,23.8,87,0.0,100,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Hambantota,6.1241,81.1185,10.0
2022-01-01T22:00,23.7,87,0.0,100,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Hambantota,6.1241,81.1185,10.0
