time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,24.1,92,3.4,26,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T01:00,24.0,92,3.3,26,16.9,0.0,0.0,0.0,0.0,0.0,0.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T02:00,24.4,92,2.9,59,16.6,67.0,37.0,30.0,263.8,85.6,3598.59,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T03:00,25.8,89,1.5,19,16.8,284.0,209.0,75.0,615.0,329.4,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T04:00,26.2,88,1.3,6,16.4,501.0,404.0,97.0,755.0,559.2,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T05:00,26.8,85,0.8,40,16.3,651.0,473.0,178.0,686.0,705.1,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T06:00,27.1,81,1.3,98,18.0,581.0,337.0,244.0,425.3,614.5,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T07:00,27.0,82,1.3,45,18.5,793.0,646.0,147.0,772.1,856.3,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T08:00,27.0,83,1.3,16,18.1,726.0,606.0,120.0,739.4,786.5,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T09:00,25.4,88,0.8,100,17.3,322.0,168.0,154.0,226.4,339.5,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T10:00,24.5,90,0.4,100,15.8,56.0,18.0,38.0,29.5,58.1,0.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T11:00,24.4,91,1.0,100,16.1,40.0,14.0,26.0,32.5,42.3,0.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T12:00,24.5,90,0.6,100,16.7,37.0,17.0,20.0,77.8,42.5,533.29,1,Jaffna,9.66845,80.00742,7.0
2022-01-01T13:00,24.1,92,2.9,100,17.9,6.0,3.0,3.0,39.5,8.7,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T14:00,24.3,92,3.0,81,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T15:00,24.4,91,3.1,99,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T16:00,24.5,91,2.7,100,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T17:00,24.4,92,1.8,100,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T18:00,24.2,92,0.3,20,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T19:00,24.2,92,2.8,100,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T20:00,24.4,91,0.5,84,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T21:00,24.3,90,0.2,70,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T22:00,24.1,90,0.4,43,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-01T23:00,24.1,89,0.3,87,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-02T00:00,23.8,91,1.1,100,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-02T01:00,23.9,91,4.1,100,22.5,0.0,0.0,0.0,0.0,0.0,0.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T02:00,24.2,91,3.9,79,21.9,35.0,17.0,18.0,121.7,43.5,2568.34,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T03:00,25.1,88,1.9,55,22.1,219.0,144.0,75.0,425.1,250.2,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T04:00,25.6,87,1.0,100,22.0,444.0,305.0,139.0,570.7,487.4,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T05:00,26.0,86,0.9,100,20.8,649.0,465.0,184.0,674.7,702.0,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T06:00,26.3,85,0.9,100,21.0,762.0,534.0,228.0,673.8,815.9,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T07:00,26.3,85,1.1,100,20.6,841.0,671.0,170.0,801.3,906.5,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T08:00,26.3,85,1.3,100,20.9,832.0,696.0,136.0,848.0,901.2,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T09:00,26.1,85,1.3,100,20.7,738.0,604.0,134.0,812.2,803.1,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T10:00,25.8,86,1.1,100,20.4,585.0,468.0,117.0,765.4,644.6,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T11:00,25.3,86,1.1,17,20.7,388.0,303.0,85.0,699.7,440.5,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T12:00,24.8,87,0.3,16,18.7,164.0,111.0,53.0,503.0,200.1,3600.0,1,Jaffna,9.66845,80.00742,7.0
2022-01-02T13:00,24.4,87,0.2,11,17.9,11.0,5.0,6.0,64.9,15.5,455.03,0,Jaffna,9.66845,80.00742,7.0
2022-01-02T14:00,24.3,87,0.1,16,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-02T15:00,24.5,87,0.2,100,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-02T16:00,24.6,85,0.2,17,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-02T17:00,24.7,85,0.1,16,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-02T18:00,24.8,84,0.1,45,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-02T19:00,24.8,84,0.0,80,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
2022-01-02T20:00,24.8,83,0.1,100,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Jaffna,9.66845,80.00742,7.0
