time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,23.4,89,0.0,15,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T01:00,23.5,89,0.0,15,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T02:00,24.4,85,0.0,6,5.0,85.0,47.0,38.0,310.0,106.3,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T03:00,25.9,80,0.0,5,5.4,310.0,222.0,88.0,612.0,352.8,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T04:00,27.5,73,0.0,6,1.5,534.0,422.0,112.0,753.7,587.8,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T05:00,28.4,69,0.0,6,5.8,719.0,594.0,125.0,829.8,779.1,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T06:00,28.4,69,0.0,98,10.4,844.0,712.0,132.0,868.4,907.7,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T07:00,28.2,71,0.0,46,14.0,896.0,754.0,142.0,871.5,960.3,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T08:00,28.2,72,0.0,53,15.5,845.0,619.0,226.0,729.6,898.0,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T09:00,28.3,71,0.0,17,16.6,782.0,650.0,132.0,843.3,843.4,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T10:00,28.4,69,0.0,7,12.9,624.0,510.0,114.0,799.9,681.5,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T11:00,28.1,70,0.0,26,10.0,398.0,292.0,106.0,637.7,442.9,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T12:00,27.2,74,0.0,21,8.7,163.0,100.0,63.0,409.9,191.3,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-01T13:00,26.4,77,0.4,100,7.8,16.0,8.0,8.0,90.4,22.2,1036.39,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T14:00,26.3,76,0.0,38,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T15:00,26.2,76,0.0,11,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T16:00,26.1,77,0.0,10,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T17:00,25.6,80,0.0,15,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T18:00,25.0,85,0.0,13,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T19:00,24.6,87,0.0,86,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T20:00,24.4,88,0.0,100,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T21:00,24.1,89,0.0,87,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T22:00,24.0,89,0.0,100,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-01T23:00,23.9,89,0.0,100,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-02T00:00,23.7,89,0.0,82,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kalutara,6.5831,79.9593,7.0
2022-01-02T01:00,23.5,90,0.0,24,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T02:00,24.4,85,0.0,67,5.0,82.0,44.0,38.0,291.5,101.9,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T03:00,26.0,78,0.0,36,4.1,306.0,217.0,89.0,600.2,347.9,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T04:00,27.5,70,0.0,100,0.8,522.0,394.0,128.0,704.7,571.9,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T05:00,28.2,68,0.0,100,5.6,688.0,499.0,189.0,697.5,737.8,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T06:00,28.4,69,0.0,100,11.0,819.0,626.0,193.0,763.4,874.3,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T07:00,28.0,72,0.0,100,16.3,866.0,644.0,222.0,743.9,920.1,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T08:00,28.1,72,0.0,100,15.3,814.0,562.0,252.0,661.6,861.6,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T09:00,28.9,69,0.0,100,15.1,755.0,561.0,194.0,726.5,807.2,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T10:00,28.6,70,0.1,100,16.0,603.0,442.0,161.0,691.4,652.1,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T11:00,28.1,71,0.5,100,12.8,400.0,276.0,124.0,600.2,442.0,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T12:00,27.5,74,0.6,100,9.5,177.0,104.0,73.0,422.8,206.1,3600.0,1,Kalutara,6.5831,79.9593,7.0
2022-01-02T13:00,26.9,76,0.3,57,8.7,17.0,8.0,9.0,89.3,23.1,1020.51,0,Kalutara,6.5831,79.9593,7.0
