time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,19.2,98,0.0,23,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-01T01:00,19.2,98,0.0,26,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T02:00,21.4,90,0.0,23,6.2,90.0,49.0,41.0,317.5,111.9,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T03:00,24.5,74,0.0,46,6.8,320.0,226.0,94.0,615.2,363.6,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T04:00,27.2,60,0.0,6,7.9,544.0,424.0,120.0,753.7,598.7,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T05:00,28.8,52,0.0,5,9.4,727.0,594.0,133.0,829.6,788.4,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T06:00,30.0,47,0.0,6,10.8,853.0,719.0,134.0,879.7,919.1,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T07:00,30.8,44,0.0,100,11.5,907.0,776.0,131.0,902.7,975.4,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T08:00,31.0,43,0.0,11,11.9,883.0,756.0,127.0,900.0,950.9,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T09:00,30.5,45,0.0,64,13.0,785.0,665.0,120.0,875.3,850.3,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T10:00,29.7,49,0.0,100,11.3,619.0,504.0,115.0,807.3,678.1,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T11:00,28.3,56,0.0,100,9.3,406.0,310.0,96.0,699.7,456.1,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T12:00,23.5,84,1.1,42,6.9,172.0,111.0,61.0,486.5,205.9,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-01T13:00,21.0,96,1.4,11,6.8,12.0,6.0,6.0,74.6,17.1,655.3,0,Kandy,7.2906,80.6336,500.0
2022-01-01T14:00,20.8,98,0.0,14,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-01T15:00,20.6,98,0.0,21,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-01T16:00,20.3,98,0.0,46,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-01T17:00,20.1,98,0.0,93,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-01T18:00,20.0,99,0.0,100,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-01T19:00,19.8,98,0.0,100,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-01T20:00,19.7,99,0.0,100,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-01T21:00,19.6,98,0.0,100,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-01T22:00,19.5,98,0.0,100,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-01T23:00,19.5,98,0.0,100,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T00:00,19.3,98,0.0,100,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T01:00,19.3,98,0.0,56,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T02:00,21.0,94,0.0,47,6.2,87.0,46.0,41.0,299.3,107.6,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T03:00,23.3,82,0.0,100,6.5,312.0,214.0,98.0,584.4,353.2,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T04:00,26.0,66,0.0,100,8.3,534.0,403.0,131.0,717.4,585.8,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T05:00,27.9,56,0.0,100,10.6,699.0,508.0,191.0,709.8,750.9,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T06:00,29.2,52,0.0,100,10.8,795.0,536.0,259.0,655.6,843.2,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T07:00,30.0,49,0.0,100,10.9,871.0,673.0,198.0,782.3,929.6,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T08:00,30.2,48,0.0,20,12.3,866.0,709.0,157.0,843.0,929.2,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T09:00,29.7,49,0.0,26,13.1,773.0,624.0,149.0,819.8,833.7,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T10:00,28.6,53,0.0,100,13.5,613.0,484.0,129.0,773.0,669.3,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T11:00,26.9,61,0.0,83,11.9,406.0,307.0,99.0,689.9,455.2,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T12:00,24.5,76,0.0,7,8.7,172.0,109.0,63.0,473.6,204.9,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-02T13:00,22.0,89,0.0,5,7.2,12.0,5.0,7.0,61.4,16.2,387.44,0,Kandy,7.2906,80.6336,500.0
2022-01-02T14:00,21.0,95,0.0,100,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T15:00,20.6,96,0.0,65,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T16:00,20.3,97,0.0,0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T17:00,20.5,95,0.0,71,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T18:00,21.2,91,0.0,61,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T19:00,21.2,90,0.0,100,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T20:00,20.6,93,0.0,84,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T21:00,19.9,96,0.0,41,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T22:00,19.6,97,0.0,6,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-02T23:00,19.6,97,0.0,6,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-03T00:00,20.0,95,0.0,3,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-03T01:00,20.6,93,0.0,74,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T02:00,22.3,85,0.0,68,5.8,58.0,26.0,32.0,169.9,69.6,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T03:00,23.5,78,0.0,93,6.8,146.0,66.0,80.0,180.8,158.4,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T04:00,24.1,74,0.0,100,8.0,222.0,99.0,123.0,176.4,234.1,3493.49,1,Kandy,7.2906,80.6336,500.0
2022-01-03T05:00,26.0,66,0.0,94,8.3,471.0,235.0,236.0,328.5,494.0,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T06:00,27.0,62,0.0,100,6.9,412.0,209.0,203.0,255.6,430.1,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T07:00,27.6,61,0.2,100,7.1,507.0,238.0,269.0,276.4,526.4,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T08:00,25.6,78,1.5,89,9.7,648.0,369.0,279.0,438.1,679.6,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T09:00,25.8,73,0.4,95,10.4,711.0,472.0,239.0,618.8,755.9,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T10:00,26.2,68,0.0,80,10.1,490.0,293.0,197.0,466.6,523.2,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T11:00,25.4,70,0.0,62,11.2,341.0,205.0,136.0,458.7,373.2,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T12:00,23.8,79,0.1,63,7.6,151.0,86.0,65.0,370.4,176.5,3600.0,1,Kandy,7.2906,80.6336,500.0
2022-01-03T13:00,21.6,91,0.1,75,6.2,11.0,5.0,6.0,60.6,15.1,372.03,0,Kandy,7.2906,80.6336,500.0
2022-01-03T14:00,20.9,95,0.0,59,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-03T15:00,20.5,95,0.0,61,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-03T16:00,20.5,94,0.0,71,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
2022-01-03T17:00,20.8,92,0.0,100,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Kandy,7.2906,80.6336,500.0
