time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,20.1,95,0.0,10,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T01:00,20.1,94,0.0,10,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T02:00,22.3,88,0.0,5,4.2,90.0,51.0,39.0,333.3,113.0,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T03:00,26.0,71,0.0,54,2.9,319.0,234.0,85.0,641.2,364.4,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T04:00,29.6,56,0.0,14,2.2,543.0,436.0,107.0,777.6,599.4,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T05:00,32.0,48,0.0,5,2.7,725.0,605.0,120.0,846.2,787.5,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T06:00,33.9,42,0.0,18,2.3,847.0,717.0,130.0,877.4,912.7,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T07:00,34.8,38,0.0,100,1.8,895.0,750.0,145.0,871.6,960.6,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T08:00,33.0,42,0.0,85,3.1,445.0,229.0,216.0,272.0,464.4,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T09:00,32.1,47,0.0,96,4.1,365.0,191.0,174.0,250.5,382.8,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T10:00,29.4,60,0.0,100,1.8,102.0,38.0,64.0,60.5,106.1,15.89,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T11:00,29.0,61,0.0,100,2.9,224.0,157.0,67.0,351.2,249.0,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T12:00,25.0,85,1.2,77,4.0,135.0,79.0,56.0,339.7,158.6,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-01T13:00,23.2,91,0.1,6,2.5,13.0,6.0,7.0,72.5,18.0,620.85,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T14:00,22.7,93,0.0,6,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T15:00,22.4,95,0.0,6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T16:00,22.1,96,0.0,11,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T17:00,21.8,96,0.0,69,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T18:00,21.6,96,0.0,92,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T19:00,21.4,97,0.0,100,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T20:00,21.2,97,0.0,100,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T21:00,21.1,97,0.0,100,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T22:00,21.0,96,0.0,100,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-01T23:00,20.9,96,0.0,100,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T00:00,20.8,96,0.0,100,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T01:00,20.7,95,0.0,57,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T02:00,22.6,90,0.0,70,4.0,86.0,47.0,39.0,308.6,107.2,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T03:00,25.7,75,0.0,92,4.1,312.0,224.0,88.0,615.8,355.4,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T04:00,29.2,58,0.0,80,4.8,536.0,425.0,111.0,759.0,590.8,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T05:00,31.7,48,0.0,100,5.0,706.0,546.0,160.0,764.0,761.9,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T06:00,33.6,42,0.0,100,5.7,820.0,626.0,194.0,765.9,876.7,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T07:00,34.7,39,0.0,100,5.8,871.0,657.0,214.0,763.0,927.7,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T08:00,33.6,41,0.0,84,5.2,599.0,370.0,229.0,439.0,630.9,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T09:00,31.4,50,0.0,92,4.6,326.0,163.0,163.0,213.4,341.0,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T10:00,29.0,60,0.2,100,5.3,193.0,85.0,108.0,135.0,202.3,2250.37,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T11:00,25.2,83,0.8,100,4.8,71.0,28.0,43.0,62.4,75.2,70.68,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T12:00,25.6,85,0.9,55,2.4,128.0,72.0,56.0,306.9,149.2,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-02T13:00,23.5,91,0.0,11,5.4,14.0,7.0,7.0,83.6,19.7,857.21,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T14:00,22.8,94,0.0,90,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T15:00,22.3,95,0.0,100,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T16:00,22.0,96,0.0,10,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T17:00,21.7,96,0.0,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T18:00,21.8,96,0.0,44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T19:00,21.9,95,0.0,86,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T20:00,21.7,96,0.0,85,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T21:00,21.3,96,0.0,40,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T22:00,21.2,96,0.0,14,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-02T23:00,21.0,96,0.0,5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T00:00,21.0,95,0.0,5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T01:00,21.1,95,0.0,50,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T02:00,23.0,89,0.0,90,4.3,68.0,34.0,34.0,224.1,83.3,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T03:00,25.4,78,0.0,100,4.9,226.0,131.0,95.0,361.2,251.1,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T04:00,27.7,66,0.0,100,5.9,326.0,160.0,166.0,286.1,345.8,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T05:00,29.5,58,0.0,90,6.8,499.0,250.0,249.0,349.9,523.5,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T06:00,30.0,55,0.0,94,8.8,608.0,359.0,249.0,439.1,639.5,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T07:00,29.4,57,0.0,100,8.6,360.0,147.0,213.0,170.6,371.6,3317.14,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T08:00,30.5,53,0.0,100,8.1,495.0,224.0,271.0,265.4,513.4,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T09:00,29.9,62,0.5,82,9.4,632.0,408.0,224.0,533.0,670.5,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T10:00,29.5,60,0.2,95,9.2,567.0,374.0,193.0,592.4,609.3,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T11:00,29.5,59,0.0,35,9.8,400.0,290.0,110.0,643.0,445.5,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T12:00,25.4,81,0.3,40,7.0,170.0,101.0,69.0,426.9,199.4,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-03T13:00,23.2,90,0.1,16,6.1,14.0,7.0,7.0,82.6,19.6,841.5,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T14:00,22.5,93,0.0,15,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T15:00,22.0,94,0.0,30,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T16:00,21.7,95,0.0,36,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T17:00,21.8,94,0.0,74,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T18:00,21.7,94,0.0,91,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T19:00,21.5,95,0.0,59,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T20:00,21.4,95,0.0,52,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T21:00,21.1,95,0.0,20,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T22:00,20.9,95,0.0,36,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-03T23:00,20.8,95,0.0,27,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T00:00,20.7,95,0.0,29,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T01:00,20.7,95,0.0,42,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T02:00,22.8,87,0.0,40,4.8,83.0,45.0,38.0,297.8,103.3,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T03:00,26.0,72,0.0,56,5.5,308.0,219.0,89.0,605.6,350.4,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T04:00,29.0,59,0.0,67,5.6,531.0,415.0,116.0,742.9,584.2,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T05:00,31.2,51,0.0,100,5.9,714.0,580.0,134.0,812.1,773.2,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T06:00,32.8,45,0.0,100,6.9,829.0,664.0,165.0,811.8,888.9,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T07:00,32.7,45,0.0,100,8.3,630.0,366.0,264.0,424.3,660.5,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T08:00,30.2,55,0.0,100,7.0,183.0,71.0,112.0,84.0,188.6,720.07,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T09:00,30.3,55,0.0,100,6.9,250.0,104.0,146.0,135.6,259.2,2267.89,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T10:00,27.6,71,0.7,100,6.9,143.0,64.0,79.0,101.1,149.9,1232.17,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T11:00,28.3,69,0.3,6,7.2,306.0,212.0,94.0,468.0,338.9,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T12:00,27.0,74,0.2,5,6.5,180.0,116.0,64.0,486.1,213.5,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-04T13:00,24.4,84,0.1,5,6.2,15.0,7.0,8.0,81.6,20.5,825.59,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T14:00,23.2,90,0.0,5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T15:00,22.6,93,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T16:00,22.2,94,0.0,1,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T17:00,21.9,95,0.0,3,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T18:00,21.7,94,0.0,0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T19:00,21.5,94,0.0,0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T20:00,21.2,95,0.0,11,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T21:00,21.1,95,0.0,85,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T22:00,21.0,95,0.0,66,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-04T23:00,21.0,95,0.0,77,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-05T00:00,20.9,94,0.0,10,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kegalle,7.2523,80.3436,176.0
2022-01-05T01:00,20.9,94,0.0,10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-05T02:00,23.1,85,0.0,6,3.2,81.0,43.0,38.0,285.7,100.4,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-05T03:00,26.1,72,0.0,100,4.2,298.0,196.0,102.0,543.5,335.7,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-05T04:00,28.6,63,0.0,100,4.8,518.0,374.0,144.0,670.2,565.5,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-05T05:00,30.8,55,0.0,83,5.1,705.0,539.0,166.0,754.8,759.6,3600.0,1,Kegalle,7.2523,80.3436,176.0
2022-01-05T06:00,30.2,59,0.5,94,4.7,664.0,397.0,267.0,485.2,698.6,3600.0,1,Kegalle,7.2523,80.3436,176.0
