time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,24.2,94,2.0,59,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T01:00,24.2,92,0.6,51,14.2,0.0,0.0,0.0,0.0,0.0,0.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T02:00,25.0,91,0.2,53,15.4,71.0,37.0,34.0,256.3,89.0,3600.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T03:00,26.2,87,0.4,57,17.7,286.0,196.0,90.0,563.9,327.3,3600.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T04:00,26.7,84,1.2,40,18.5,505.0,391.0,114.0,721.1,560.0,3600.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T05:00,27.1,83,1.8,39,18.4,677.0,534.0,143.0,767.6,737.3,3600.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T06:00,27.5,80,1.2,74,19.4,792.0,623.0,169.0,781.4,854.6,3600.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T07:00,27.8,78,0.7,18,20.2,858.0,730.0,128.0,868.7,928.7,3600.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T08:00,27.5,79,0.7,28,19.5,836.0,707.0,129.0,860.4,905.7,3600.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T09:00,27.2,80,0.7,30,19.2,741.0,616.0,125.0,829.3,807.0,3600.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T10:00,26.6,82,0.6,32,19.6,572.0,439.0,133.0,720.9,627.6,3600.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T11:00,25.7,86,1.0,99,18.8,278.0,159.0,119.0,370.4,305.2,3600.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T12:00,24.8,89,1.2,100,17.3,23.0,9.0,14.0,41.7,25.9,0.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T13:00,24.5,90,1.3,100,17.9,1.0,0.0,1.0,0.0,1.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T14:00,24.5,90,1.9,100,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T15:00,24.6,90,1.4,93,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T16:00,24.6,90,1.0,100,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T17:00,24.5,90,0.7,85,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T18:00,24.4,91,0.8,82,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T19:00,24.3,91,1.1,82,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T20:00,24.2,91,0.9,85,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T21:00,24.1,91,1.0,84,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T22:00,23.9,91,1.6,84,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-01T23:00,23.9,92,1.8,61,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-02T00:00,24.1,90,1.7,86,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Kilinochchi,9.3961,80.3982,24.0
2022-01-02T01:00,24.1,90,1.0,97,19.7,0.0,0.0,0.0,0.0,0.0,0.0,1,Kilinochchi,9.3961,80.3982,24.0
2022-01-02T02:00,24.6,88,0.8,87,21.2,42.0,20.0,22.0,139.2,51.7,3059.26,1,Kilinochchi,9.3961,80.3982,24.0
