time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,20.5,96,0.0,11,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Kurunegala,7.4839,80.3683,146.0
2022-01-01T01:00,20.5,96,0.0,5,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T02:00,22.6,89,0.0,50,2.9,86.0,47.0,39.0,309.0,107.4,3600.0,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T03:00,25.9,74,0.0,6,2.6,312.0,223.0,89.0,614.1,355.6,3600.0,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T04:00,29.5,59,0.0,5,1.8,535.0,421.0,114.0,753.4,589.9,3600.0,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T05:00,32.4,48,0.0,7,3.4,717.0,589.0,128.0,826.1,778.4,3600.0,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T06:00,34.3,40,0.0,57,4.4,839.0,702.0,137.0,861.2,903.9,3600.0,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T07:00,35.0,36,0.0,93,7.8,887.0,741.0,146.0,863.2,952.5,3600.0,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T08:00,34.9,36,0.0,37,8.9,702.0,505.0,197.0,601.4,746.9,3600.0,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T09:00,32.8,43,0.0,100,5.0,320.0,177.0,143.0,232.8,336.8,3600.0,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T10:00,30.5,54,0.0,100,4.6,113.0,48.0,65.0,76.7,118.3,500.86,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T11:00,26.5,72,0.3,100,5.1,25.0,8.0,17.0,18.0,26.2,0.0,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T12:00,25.6,80,0.3,98,4.0,58.0,25.0,33.0,108.3,65.4,1449.3,1,Kurunegala,7.4839,80.3683,146.0
2022-01-01T13:00,23.3,91,0.3,31,5.3,12.0,5.0,7.0,61.1,16.2,381.58,0,Kurunegala,7.4839,80.3683,146.0
2022-01-01T14:00,22.6,94,0.0,11,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Kurunegala,7.4839,80.3683,146.0
