time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,20.3,97,0.0,12,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Matale,7.4698,80.6217,366.0
2022-01-01T01:00,20.3,97,0.0,10,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T02:00,22.7,87,0.0,47,5.4,88.0,47.0,41.0,305.4,109.1,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T03:00,25.6,74,0.0,6,5.4,315.0,217.0,98.0,592.2,357.0,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T04:00,28.1,62,0.0,19,5.4,521.0,377.0,144.0,671.3,569.6,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T05:00,29.9,53,0.0,17,6.4,697.0,528.0,169.0,738.4,751.6,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T06:00,31.3,47,0.0,5,7.4,842.0,687.0,155.0,841.6,905.3,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T07:00,32.0,44,0.0,95,8.7,904.0,771.0,133.0,898.0,972.3,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T08:00,32.0,44,0.0,13,9.7,879.0,748.0,131.0,891.6,946.6,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T09:00,31.4,45,0.0,86,10.8,781.0,658.0,123.0,867.3,845.9,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T10:00,30.5,49,0.0,100,10.2,616.0,501.0,115.0,803.7,675.0,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T11:00,29.1,56,0.0,100,6.9,405.0,310.0,95.0,701.2,455.3,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T12:00,24.9,82,0.7,69,5.9,171.0,110.0,61.0,484.0,204.8,3600.0,1,Matale,7.4698,80.6217,366.0
2022-01-01T13:00,22.1,96,1.2,11,6.6,12.0,6.0,6.0,75.0,17.1,661.82,0,Matale,7.4698,80.6217,366.0
