time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,22.0,93,0.0,13,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Monaragala,6.8714,81.3487,151.0
2022-01-01T01:00,22.2,91,0.0,83,8.6,1.0,0.0,1.0,0.0,0.0,0.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T02:00,24.1,86,0.0,82,9.7,76.0,38.0,38.0,235.2,92.2,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T03:00,25.2,81,0.0,100,12.9,174.0,99.0,75.0,259.9,192.1,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T04:00,26.0,77,0.0,100,14.9,323.0,194.0,129.0,337.6,346.8,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T05:00,27.7,72,0.0,37,15.1,716.0,557.0,159.0,767.3,771.8,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T06:00,28.7,68,0.0,51,14.9,819.0,612.0,207.0,742.0,873.3,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T07:00,29.1,66,0.1,53,15.3,883.0,695.0,188.0,804.2,942.5,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T08:00,29.3,65,0.1,85,16.1,871.0,727.0,144.0,863.8,935.0,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T09:00,29.0,66,0.0,100,16.9,769.0,631.0,138.0,831.9,829.9,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T10:00,28.4,69,0.0,100,16.4,597.0,463.0,134.0,746.0,650.7,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T11:00,27.4,74,0.0,100,16.3,377.0,254.0,123.0,580.9,417.9,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T12:00,25.8,82,0.0,16,13.5,162.0,101.0,61.0,457.2,193.7,3600.0,1,Monaragala,6.8714,81.3487,151.0
2022-01-01T13:00,24.0,89,0.0,71,11.4,10.0,5.0,5.0,65.3,14.5,461.08,0,Monaragala,6.8714,81.3487,151.0
