time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,23.9,95,2.6,100,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Mullaitivu,9.268,80.815,8.0
2022-01-01T01:00,23.8,95,1.1,49,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1,Mullaitivu,9.268,80.815,8.0
2022-01-01T02:00,24.5,94,1.1,50,11.5,74.0,37.0,37.0,250.1,91.5,3600.0,1,Mullaitivu,9.268,80.815,8.0
2022-01-01T03:00,25.5,92,1.6,35,12.2,292.0,199.0,93.0,561.5,333.0,3600.0,1,Mullaitivu,9.268,80.815,8.0
2022-01-01T04:00,26.1,91,1.7,10,12.1,511.0,395.0,116.0,720.3,565.7,3600.0,1,Mullaitivu,9.268,80.815,8.0
2022-01-01T05:00,26.5,90,1.3,16,12.4,690.0,560.0,130.0,799.2,752.6,3600.0,1,Mullaitivu,9.268,80.815,8.0
2022-01-01T06:00,26.7,89,1.3,17,12.5,808.0,668.0,140.0,833.8,874.6,3600.0,1,Mullaitivu,9.268,80.815,8.0
2022-01-01T07:00,26.8,89,1.5,17,12.6,861.0,726.0,135.0,861.5,930.5,3600.0,1,Mullaitivu,9.268,80.815,8.0
2022-01-01T08:00,26.6,89,1.5,62,12.9,830.0,678.0,152.0,824.1,896.1,3600.0,1,Mullaitivu,9.268,80.815,8.0
2022-01-01T09:00,26.3,90,1.7,25,12.9,737.0,601.0,136.0,809.5,800.9,3600.0,1,Mullaitivu,9.268,80.815,8.0
2022-01-01T10:00,25.9,91,1.9,26,12.7,577.0,452.0,125.0,744.3,634.1,3600.0,1,Mullaitivu,9.268,80.815,8.0
2022-01-01T11:00,25.2,91,1.9,91,13.8,347.0,223.0,124.0,522.9,385.5,3600.0,1,Mullaitivu,9.268,80.815,8.0
