time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,10.9,94,0.0,64,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T01:00,11.1,95,0.0,10,7.3,1.0,1.0,0.0,0.0,0.0,20.5,1,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T02:00,13.4,91,0.0,6,6.5,103.0,63.0,40.0,402.3,130.8,3600.0,1,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T03:00,16.0,79,0.0,6,7.8,342.0,258.0,84.0,694.1,391.0,3600.0,1,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T04:00,18.1,68,0.0,50,8.6,577.0,472.0,105.0,832.8,637.1,3600.0,1,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T05:00,19.8,60,0.0,6,8.9,763.0,645.0,118.0,895.8,828.8,3600.0,1,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T06:00,21.0,55,0.0,5,9.3,887.0,760.0,127.0,925.7,955.8,3600.0,1,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T07:00,21.7,54,0.2,7,9.0,937.0,802.0,135.0,929.5,1006.5,3600.0,1,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T08:00,20.6,61,0.5,82,7.9,826.0,626.0,200.0,742.9,880.8,3600.0,1,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T09:00,18.9,70,1.4,7,7.4,800.0,648.0,152.0,850.5,862.5,3600.0,1,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T10:00,18.1,75,0.5,100,7.1,481.0,305.0,176.0,487.2,515.7,3600.0,1,Nuwara Eliya,6.97078,80.78286,1868.0
2022-01-01T11:00,17.5,78,0.2,89,7.8,397.0,277.0,120.0,623.6,441.1,3600.0,1,Nuwara Eliya,6.97078,80.78286,1868.0
