time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,23.7,90,0.0,5,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Puttalam,8.0362,79.8283,8.0
2022-01-01T01:00,23.4,93,0.0,5,21.9,0.0,0.0,0.0,0.0,0.0,0.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T02:00,24.0,91,0.0,5,22.2,72.0,37.0,35.0,254.6,89.7,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T03:00,25.8,82,0.0,19,23.6,286.0,186.0,100.0,531.0,323.9,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T04:00,27.5,74,0.0,7,23.8,511.0,389.0,122.0,711.0,563.4,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T05:00,28.8,69,0.0,14,22.3,693.0,553.0,140.0,786.8,752.4,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T06:00,29.7,66,0.0,6,20.5,820.0,678.0,142.0,840.0,884.5,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T07:00,30.6,62,0.0,7,17.8,875.0,733.0,142.0,859.7,941.6,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T08:00,31.1,60,0.4,90,18.4,853.0,709.0,144.0,847.7,918.5,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T09:00,31.2,59,0.0,70,22.4,759.0,612.0,147.0,805.8,820.3,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T10:00,30.6,61,0.0,100,25.2,602.0,476.0,126.0,759.0,658.6,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T11:00,29.8,67,0.0,23,25.6,399.0,298.0,101.0,664.7,447.3,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T12:00,28.0,74,0.0,14,24.7,173.0,109.0,64.0,463.2,205.6,3600.0,1,Puttalam,8.0362,79.8283,8.0
2022-01-01T13:00,26.8,78,0.0,12,24.3,14.0,7.0,7.0,83.0,19.7,850.07,0,Puttalam,8.0362,79.8283,8.0
2022-01-01T14:00,26.0,81,0.0,74,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Puttalam,8.0362,79.8283,8.0
2022-01-01T15:00,25.6,82,0.0,35,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Puttalam,8.0362,79.8283,8.0
