time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,21.0,88,0.0,15,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T01:00,20.9,87,0.0,12,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T02:00,23.2,81,0.0,14,3.7,95.0,56.0,39.0,361.8,119.9,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T03:00,26.5,68,0.0,10,0.8,326.0,244.0,82.0,662.1,372.6,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T04:00,29.5,58,0.0,5,2.8,552.0,450.0,102.0,797.2,609.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T05:00,31.2,52,0.0,5,5.2,737.0,624.0,113.0,868.0,800.2,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T06:00,32.3,49,0.0,6,6.6,858.0,736.0,122.0,896.2,924.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T07:00,33.2,46,0.0,54,6.5,904.0,760.0,144.0,879.1,969.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T08:00,32.9,47,0.0,96,3.9,648.0,466.0,182.0,550.9,688.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T09:00,32.1,50,0.0,81,1.1,398.0,210.0,188.0,274.0,417.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T10:00,31.5,55,0.0,100,3.0,346.0,211.0,135.0,334.1,369.5,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T11:00,27.4,79,1.2,95,4.1,192.0,94.0,98.0,208.5,206.3,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T12:00,26.3,85,1.1,45,1.6,177.0,113.0,64.0,478.8,210.2,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-01T13:00,24.4,92,0.1,12,4.3,14.0,7.0,7.0,82.9,19.7,846.74,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T14:00,23.8,94,0.0,6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T15:00,23.6,94,0.0,17,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T16:00,23.3,94,0.0,5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T17:00,23.1,94,0.0,6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T18:00,23.0,94,0.0,100,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T19:00,22.8,94,0.0,76,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T20:00,22.5,93,0.0,100,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T21:00,22.3,93,0.0,100,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T22:00,22.2,93,0.0,100,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-01T23:00,22.0,92,0.0,100,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T00:00,21.8,91,0.0,100,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T01:00,21.8,90,0.0,100,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T02:00,23.8,84,0.0,100,2.6,91.0,52.0,39.0,337.4,114.2,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T03:00,26.5,73,0.0,84,0.8,319.0,233.0,86.0,634.3,363.4,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T04:00,29.2,63,0.0,100,3.2,536.0,410.0,126.0,727.3,587.8,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T05:00,31.2,55,0.0,100,4.8,712.0,549.0,163.0,764.0,767.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T06:00,32.4,51,0.0,100,6.2,828.0,633.0,195.0,770.6,884.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T07:00,32.7,51,0.2,100,5.5,822.0,563.0,259.0,650.7,869.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T08:00,32.4,53,0.5,100,1.8,638.0,363.0,275.0,428.6,668.3,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T09:00,29.8,69,0.8,100,0.8,316.0,200.0,116.0,260.5,334.5,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T10:00,27.0,82,1.7,100,2.5,197.0,132.0,65.0,208.4,211.8,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T11:00,26.9,84,1.5,85,1.6,227.0,155.0,72.0,342.4,251.0,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T12:00,26.3,88,0.8,21,2.3,164.0,99.0,65.0,415.9,192.6,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-02T13:00,24.5,92,0.1,19,2.3,14.0,6.0,8.0,70.2,18.8,579.21,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T14:00,24.1,94,0.0,20,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T15:00,23.9,94,0.0,11,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T16:00,23.6,94,0.0,10,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T17:00,23.3,95,0.0,14,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T18:00,23.2,95,0.0,21,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T19:00,22.9,95,0.0,76,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T20:00,22.7,95,0.0,60,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T21:00,22.6,95,0.0,5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T22:00,22.4,95,0.0,5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-02T23:00,22.3,94,0.0,10,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T00:00,22.3,94,0.0,6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T01:00,22.3,93,0.0,0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T02:00,24.2,87,0.0,5,2.5,87.0,48.0,39.0,312.8,108.4,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T03:00,26.7,77,0.0,10,1.6,314.0,226.0,88.0,617.1,357.0,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T04:00,29.2,67,0.0,11,3.3,536.0,422.0,114.0,749.6,589.3,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T05:00,31.3,58,0.0,11,4.0,720.0,592.0,128.0,824.2,779.5,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T06:00,31.9,56,0.2,24,6.5,836.0,674.0,162.0,820.3,895.8,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T07:00,31.6,59,0.9,77,4.9,817.0,601.0,216.0,694.1,867.4,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T08:00,30.9,63,1.8,42,1.1,639.0,423.0,216.0,498.8,674.8,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T09:00,28.2,79,2.5,100,3.1,357.0,205.0,152.0,266.5,375.7,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T10:00,26.4,87,2.9,98,2.8,131.0,59.0,72.0,92.9,137.3,986.56,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T11:00,25.4,90,3.3,100,2.3,66.0,29.0,37.0,63.8,70.3,113.58,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T12:00,25.1,91,2.2,76,2.4,83.0,46.0,37.0,191.6,96.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-03T13:00,24.0,93,0.5,22,3.7,8.0,3.0,5.0,34.7,10.3,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T14:00,23.6,94,0.1,38,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T15:00,23.3,94,0.2,48,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T16:00,23.2,94,0.0,63,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T17:00,23.0,94,0.0,82,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T18:00,22.7,95,0.0,11,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T19:00,22.6,95,0.0,10,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T20:00,22.4,94,0.0,10,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T21:00,22.3,94,0.0,56,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T22:00,22.2,93,0.0,90,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-03T23:00,22.0,93,0.0,15,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T00:00,21.9,92,0.0,18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T01:00,21.9,92,0.0,73,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T02:00,23.7,87,0.0,100,2.5,85.0,45.0,40.0,294.4,105.0,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T03:00,26.1,78,0.0,80,1.6,312.0,222.0,90.0,607.9,354.2,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T04:00,28.3,69,0.0,15,4.7,538.0,428.0,110.0,761.1,591.9,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T05:00,30.2,61,0.0,11,6.0,722.0,597.0,125.0,831.3,781.8,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T06:00,31.5,55,0.0,56,7.3,846.0,710.0,136.0,863.9,908.9,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T07:00,31.7,56,0.3,100,7.8,869.0,698.0,171.0,805.4,927.8,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T08:00,31.5,60,1.1,98,4.7,779.0,608.0,171.0,715.9,831.0,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T09:00,31.1,61,1.9,93,1.1,708.0,512.0,196.0,664.1,755.5,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T10:00,28.3,77,2.1,20,1.9,383.0,255.0,128.0,400.3,411.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T11:00,26.3,86,2.3,72,3.7,159.0,90.0,69.0,197.1,172.5,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T12:00,25.9,90,0.4,23,3.1,115.0,66.0,49.0,272.7,133.6,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-04T13:00,24.5,92,0.2,31,2.9,14.0,7.0,7.0,80.0,19.4,799.59,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T14:00,24.0,93,0.0,65,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T15:00,23.7,94,0.2,64,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T16:00,23.4,94,0.0,48,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T17:00,23.2,95,0.0,10,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T18:00,23.1,94,0.1,100,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T19:00,22.9,94,0.0,100,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T20:00,22.5,95,0.0,99,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T21:00,22.2,95,0.0,100,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T22:00,22.1,95,0.0,100,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-04T23:00,22.1,95,0.0,100,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-05T00:00,21.9,95,0.0,71,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-05T01:00,21.9,95,0.0,100,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T02:00,23.5,91,0.0,48,1.9,82.0,43.0,39.0,282.4,101.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T03:00,25.5,84,0.0,100,3.1,285.0,166.0,119.0,455.8,316.2,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T04:00,27.2,77,0.0,100,5.2,459.0,260.0,199.0,462.8,490.8,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T05:00,29.3,67,0.0,100,5.8,640.0,421.0,219.0,586.4,681.2,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T06:00,30.4,62,0.1,100,6.0,792.0,531.0,261.0,645.8,837.9,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T07:00,29.1,70,1.2,100,5.5,817.0,531.0,286.0,612.1,860.6,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T08:00,28.8,74,1.4,100,4.8,835.0,582.0,253.0,684.3,883.9,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T09:00,28.4,76,1.1,98,4.4,742.0,510.0,232.0,660.1,788.8,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T10:00,27.5,80,1.4,76,5.5,600.0,429.0,171.0,671.5,647.2,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T11:00,26.9,82,0.7,100,4.7,379.0,235.0,144.0,512.3,414.3,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T12:00,25.9,90,0.1,21,2.4,173.0,101.0,72.0,413.7,201.1,3600.0,1,Ratnapura,6.6858,80.4036,73.0
2022-01-05T13:00,24.1,95,0.0,81,1.8,16.0,8.0,8.0,90.4,22.1,1034.83,0,Ratnapura,6.6858,80.4036,73.0
2022-01-05T14:00,23.8,95,0.0,100,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-05T15:00,23.6,95,0.0,100,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-05T16:00,23.3,95,0.0,70,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-05T17:00,23.2,94,0.0,100,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-05T18:00,23.0,93,0.0,100,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-05T19:00,22.8,93,0.0,100,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
2022-01-05T20:00,22.6,93,0.0,100,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Ratnapura,6.6858,80.4036,73.0
