time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,23.7,97,0.5,55,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T01:00,23.7,96,0.5,100,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T02:00,24.7,93,1.3,49,8.7,82.0,42.0,40.0,274.6,101.2,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T03:00,25.7,91,1.4,35,9.8,301.0,203.0,98.0,557.8,341.4,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T04:00,26.1,91,1.7,75,8.1,370.0,210.0,160.0,376.8,397.6,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T05:00,26.3,90,1.5,95,8.6,447.0,239.0,208.0,337.1,472.0,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T06:00,26.9,88,1.3,68,10.0,672.0,419.0,253.0,518.5,711.6,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T07:00,27.0,87,1.4,35,9.7,861.0,694.0,167.0,818.0,925.5,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T08:00,27.0,87,1.4,41,9.7,838.0,682.0,156.0,824.8,902.8,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T09:00,26.9,88,1.1,21,8.9,740.0,598.0,142.0,802.6,802.1,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T10:00,26.3,90,1.6,16,8.6,580.0,454.0,126.0,746.1,636.4,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T11:00,25.6,91,1.1,87,8.1,359.0,239.0,120.0,560.4,399.8,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T12:00,24.5,94,1.4,85,7.1,124.0,64.0,60.0,302.6,145.2,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-01T13:00,23.7,96,2.7,99,6.7,4.0,2.0,2.0,27.8,5.9,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T14:00,23.8,96,2.0,100,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T15:00,23.7,96,2.0,100,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T16:00,23.6,97,2.2,100,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T17:00,23.6,97,2.2,100,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T18:00,23.4,97,2.7,90,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T19:00,23.4,97,2.6,100,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T20:00,23.3,97,2.5,100,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T21:00,23.2,97,3.7,100,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T22:00,23.4,97,3.7,100,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-01T23:00,23.4,96,3.5,100,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-02T00:00,23.1,97,3.3,100,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Trincomalee,8.5778,81.2289,10.0
2022-01-02T01:00,23.0,97,2.9,100,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-02T02:00,23.1,97,3.1,100,5.3,6.0,2.0,4.0,13.1,6.9,0.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-02T03:00,23.3,97,1.9,100,5.1,14.0,4.0,10.0,11.0,14.7,0.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-02T04:00,23.7,96,1.3,100,4.3,31.0,9.0,22.0,16.2,32.1,0.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-02T05:00,24.8,93,1.7,100,9.5,192.0,85.0,107.0,120.0,200.7,1798.55,1,Trincomalee,8.5778,81.2289,10.0
2022-01-02T06:00,26.3,91,1.3,81,11.1,731.0,487.0,244.0,602.5,777.2,3600.0,1,Trincomalee,8.5778,81.2289,10.0
2022-01-02T07:00,26.6,90,1.2,100,11.4,841.0,662.0,179.0,779.7,902.2,3600.0,1,Trincomalee,8.5778,81.2289,10.0
