time,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,is_day,district,latitude,longitude,elevation
2022-01-01T00:00,22.2,99,2.2,93,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T01:00,22.4,99,0.5,88,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T02:00,23.0,98,0.0,100,5.4,36.0,15.0,21.0,101.4,43.0,1614.12,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T03:00,24.5,94,0.1,85,7.0,215.0,120.0,95.0,338.2,239.3,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T04:00,25.2,91,0.5,85,8.4,398.0,202.0,196.0,367.6,424.8,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T05:00,25.4,91,0.8,83,9.3,516.0,284.0,232.0,404.1,546.2,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T06:00,26.0,90,0.8,91,10.3,566.0,272.0,294.0,338.2,591.2,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T07:00,26.2,90,1.4,61,10.2,792.0,496.0,296.0,585.7,837.3,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T08:00,26.3,89,1.0,52,10.9,818.0,605.0,213.0,730.9,875.2,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T09:00,26.0,90,1.3,44,9.9,740.0,577.0,163.0,771.1,799.8,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T10:00,25.5,92,1.1,21,9.4,585.0,450.0,135.0,733.2,640.6,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T11:00,24.8,94,0.7,15,8.7,379.0,271.0,108.0,625.3,424.9,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T12:00,23.8,95,0.1,39,8.1,154.0,91.0,63.0,414.6,183.3,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-01T13:00,22.8,98,0.0,18,6.0,9.0,4.0,5.0,52.5,12.6,214.01,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T14:00,22.5,98,0.0,45,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T15:00,22.7,98,0.0,53,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T16:00,23.0,97,0.0,100,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T17:00,22.8,98,0.0,100,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T18:00,23.0,97,0.0,100,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T19:00,22.7,98,0.9,100,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T20:00,22.4,98,2.2,100,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T21:00,22.5,97,0.8,100,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T22:00,22.4,98,1.8,100,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-01T23:00,22.6,97,2.5,100,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T00:00,22.5,98,2.5,100,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T01:00,22.4,98,0.9,100,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T02:00,22.5,98,0.3,100,6.2,9.0,3.0,6.0,20.4,10.4,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T03:00,22.4,98,0.4,100,5.5,16.0,5.0,11.0,14.1,17.0,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T04:00,22.7,98,0.2,100,5.0,27.0,7.0,20.0,12.8,27.8,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T05:00,23.0,97,0.0,100,5.4,51.0,16.0,35.0,22.8,52.6,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T06:00,23.5,96,0.4,100,6.6,90.0,30.0,60.0,37.3,92.6,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T07:00,23.6,96,1.1,100,8.1,106.0,36.0,70.0,42.5,109.0,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T08:00,23.9,96,1.8,100,8.4,135.0,50.0,85.0,60.3,139.3,9.56,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T09:00,24.7,95,1.3,100,9.5,287.0,150.0,137.0,200.1,301.9,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T10:00,25.2,94,1.1,64,10.5,510.0,326.0,184.0,529.6,549.5,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T11:00,24.3,96,0.9,69,9.6,255.0,141.0,114.0,323.8,278.3,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T12:00,23.7,96,0.3,61,9.7,123.0,64.0,59.0,288.9,143.3,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-02T13:00,22.8,97,0.0,51,8.9,10.0,5.0,5.0,64.7,14.5,451.41,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T14:00,22.5,97,0.0,29,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T15:00,22.4,98,0.0,31,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T16:00,22.4,97,0.0,66,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T17:00,22.2,97,0.0,67,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T18:00,22.0,98,0.0,18,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T19:00,22.1,98,0.0,25,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T20:00,22.0,99,0.0,60,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T21:00,22.1,98,0.0,100,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T22:00,22.0,99,0.0,50,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-02T23:00,21.8,99,0.0,70,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T00:00,21.7,99,0.0,45,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T01:00,21.6,99,0.0,36,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T02:00,22.8,96,0.0,35,5.9,72.0,36.0,36.0,245.3,89.0,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T03:00,24.6,89,0.2,22,9.4,287.0,187.0,100.0,530.3,325.1,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T04:00,25.0,91,1.1,45,10.2,498.0,343.0,155.0,625.7,544.3,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T05:00,25.2,92,1.4,9,11.5,688.0,537.0,151.0,764.6,746.5,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T06:00,25.5,87,1.2,34,13.6,807.0,635.0,172.0,789.1,868.5,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T07:00,25.9,88,0.9,40,13.2,863.0,695.0,168.0,819.3,927.5,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T08:00,26.1,85,0.7,49,12.8,783.0,501.0,282.0,603.5,829.3,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T09:00,26.0,83,0.7,42,12.9,744.0,574.0,170.0,764.0,802.8,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T10:00,25.5,85,0.6,28,11.9,587.0,441.0,146.0,714.3,640.7,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T11:00,24.5,88,0.4,5,11.9,384.0,274.0,110.0,626.4,429.7,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T12:00,23.3,92,0.0,5,9.0,159.0,95.0,64.0,424.9,188.8,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-03T13:00,22.4,95,0.0,20,7.7,11.0,5.0,6.0,63.9,15.4,435.66,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T14:00,22.0,97,0.0,27,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T15:00,21.7,98,0.0,22,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T16:00,21.6,98,0.0,42,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T17:00,21.4,98,0.0,28,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T18:00,21.4,97,0.0,81,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T19:00,21.5,96,0.0,100,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T20:00,21.5,95,0.0,100,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T21:00,21.1,96,0.0,100,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T22:00,20.9,96,0.0,33,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-03T23:00,21.4,94,0.0,49,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T00:00,21.3,94,0.0,58,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T01:00,21.3,94,0.0,25,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T02:00,22.8,89,0.0,55,6.4,76.0,41.0,35.0,280.5,95.4,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T03:00,25.3,75,0.0,100,11.0,296.0,209.0,87.0,594.4,338.7,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T04:00,27.0,67,0.0,71,13.2,516.0,401.0,115.0,732.3,570.4,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T05:00,27.8,63,0.0,46,14.7,695.0,554.0,141.0,788.9,755.2,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T06:00,28.2,61,0.0,79,13.9,759.0,531.0,228.0,659.5,809.7,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T07:00,28.5,60,0.0,100,14.4,794.0,535.0,259.0,630.1,842.6,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T08:00,27.3,65,0.0,100,12.6,402.0,192.0,210.0,230.9,419.0,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T09:00,28.2,60,0.0,100,14.2,702.0,517.0,185.0,686.6,754.5,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T10:00,27.5,65,0.0,74,11.1,418.0,245.0,173.0,395.6,447.1,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T11:00,26.3,70,0.0,66,11.0,246.0,130.0,116.0,295.8,267.1,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T12:00,24.8,75,0.0,59,9.5,125.0,64.0,61.0,283.6,144.7,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-04T13:00,23.2,82,0.0,6,7.7,12.0,6.0,6.0,75.6,17.2,672.51,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T14:00,22.1,87,0.0,5,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T15:00,21.7,89,0.0,15,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T16:00,21.7,89,0.0,28,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T17:00,21.5,90,0.0,10,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T18:00,21.3,92,0.0,100,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T19:00,21.2,92,0.0,68,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T20:00,21.1,93,0.0,70,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T21:00,21.1,93,0.0,59,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T22:00,21.1,92,0.0,38,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-04T23:00,21.1,92,0.0,79,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-05T00:00,21.1,92,0.0,38,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0,Vavuniya,8.7514,80.4971,104.0
2022-01-05T01:00,21.2,92,0.0,53,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-05T02:00,22.9,86,0.0,53,4.0,60.0,29.0,31.0,199.2,73.7,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-05T03:00,24.7,80,0.0,67,6.7,199.0,103.0,96.0,293.7,219.7,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-05T04:00,26.0,75,0.1,66,9.4,352.0,180.0,172.0,329.1,375.6,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-05T05:00,27.2,72,0.2,62,10.8,551.0,331.0,220.0,471.4,586.0,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-05T06:00,26.7,76,0.2,82,10.8,549.0,300.0,249.0,372.4,576.8,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-05T07:00,28.0,68,0.1,77,11.0,684.0,409.0,275.0,481.2,720.5,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-05T08:00,26.7,79,0.9,72,11.4,687.0,397.0,290.0,476.8,722.9,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-05T09:00,26.9,79,0.9,8,10.2,705.0,512.0,193.0,678.5,756.6,3600.0,1,Vavuniya,8.7514,80.4971,104.0
2022-01-05T10:00,26.1,83,1.0,10,10.1,520.0,366.0,154.0,589.2,563.8,3600.0,1,Vavuniya,8.7514,80.4971,104.0
