time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-4.37,23.64,2.21,0.0,Ampara,7.29754,81.68202
20220101:0130,29.45,57.05,9.26,23.89,1.66,0.0,Ampara,7.29754,81.68202
20220101:0230,138.1,190.06,22.56,24.38,1.24,0.0,Ampara,7.29754,81.68202
20220101:0330,284.79,367.82,35.23,25.22,1.52,0.0,Ampara,7.29754,81.68202
20220101:0430,487.96,633.72,46.67,26.01,1.66,0.0,Ampara,7.29754,81.68202
20220101:0530,378.92,488.25,55.58,27.55,2.83,0.0,Ampara,7.29754,81.68202
20220101:0630,546.48,707.66,59.65,26.57,2.76,0.0,Ampara,7.29754,81.68202
20220101:0730,524.2,680.03,57.01,27.49,2.62,0.0,Ampara,7.29754,81.68202
20220101:0830,254.02,326.41,48.94,26.59,3.72,0.0,Ampara,7.29754,81.68202
20220101:0930,212.33,276.47,37.91,25.49,3.31,0.0,Ampara,7.29754,81.68202
20220101:1030,99.45,141.15,25.45,25.59,3.24,0.0,Ampara,7.29754,81.68202
20220101:1130,28.93,54.17,12.26,24.43,2.48,0.0,Ampara,7.29754,81.68202
20220101:1230,0.0,0.0,-1.32,24.29,1.79,0.0,Ampara,7.29754,81.68202
20220101:1330,0.0,0.0,0.0,24.32,2.0,0.0,Ampara,7.29754,81.68202
20220101:1430,0.0,0.0,0.0,24.28,2.41,0.0,Ampara,7.29754,81.68202
20220101:1530,0.0,0.0,0.0,23.89,2.55,0.0,Ampara,7.29754,81.68202
20220101:1630,0.0,0.0,0.0,23.91,2.48,0.0,Ampara,7.29754,81.68202
20220101:1730,0.0,0.0,0.0,23.95,1.93,0.0,Ampara,7.29754,81.68202
20220101:1830,0.0,0.0,0.0,23.66,2.28,0.0,Ampara,7.29754,81.68202
20220101:1930,0.0,0.0,0.0,23.82,2.48,0.0,Ampara,7.29754,81.68202
20220101:2030,0.0,0.0,0.0,23.8,2.28,0.0,Ampara,7.29754,81.68202
20220101:2130,0.0,0.0,0.0,23.78,1.86,0.0,Ampara,7.29754,81.68202
20220101:2230,0.0,0.0,0.0,23.79,1.66,0.0,Ampara,7.29754,81.68202
20220101:2330,0.0,0.0,0.0,23.89,1.59,0.0,Ampara,7.29754,81.68202
20220102:0030,0.0,0.0,-4.47,23.79,1.52,0.0,Ampara,7.29754,81.68202
20220102:0130,23.22,44.85,9.17,23.92,1.86,0.0,Ampara,7.29754,81.68202
20220102:0230,110.81,155.33,22.49,24.4,2.28,0.0,Ampara,7.29754,81.68202
20220102:0330,206.04,268.69,35.18,24.96,2.83,0.0,Ampara,7.29754,81.68202
20220102:0430,218.48,282.93,46.64,25.03,3.1,0.0,Ampara,7.29754,81.68202
20220102:0530,327.01,415.76,55.61,25.05,2.97,0.0,Ampara,7.29754,81.68202
20220102:0630,424.36,545.11,59.73,25.59,2.9,0.0,Ampara,7.29754,81.68202
20220102:0730,495.89,647.55,57.13,26.94,2.21,0.0,Ampara,7.29754,81.68202
20220102:0830,348.97,446.02,49.07,27.43,3.72,0.0,Ampara,7.29754,81.68202
20220102:0930,355.88,451.66,38.05,25.85,3.66,0.0,Ampara,7.29754,81.68202
20220102:1030,157.52,212.51,25.58,25.96,3.45,0.0,Ampara,7.29754,81.68202
20220102:1130,63.2,103.78,12.38,25.01,3.17,0.0,Ampara,7.29754,81.68202
20220102:1230,0.0,0.0,-1.21,24.69,2.69,0.0,Ampara,7.29754,81.68202
20220102:1330,0.0,0.0,0.0,23.99,2.76,0.0,Ampara,7.29754,81.68202
20220102:1430,0.0,0.0,0.0,23.7,2.62,0.0,Ampara,7.29754,81.68202
20220102:1530,0.0,0.0,0.0,23.61,2.69,0.0,Ampara,7.29754,81.68202
20220102:1630,0.0,0.0,0.0,23.61,2.76,0.0,Ampara,7.29754,81.68202
20220102:1730,0.0,0.0,0.0,23.5,2.83,0.0,Ampara,7.29754,81.68202
20220102:1830,0.0,0.0,0.0,23.49,2.69,0.0,Ampara,7.29754,81.68202
20220102:1930,0.0,0.0,0.0,23.54,2.55,0.0,Ampara,7.29754,81.68202
20220102:2030,0.0,0.0,0.0,23.55,2.21,0.0,Ampara,7.29754,81.68202
20220102:2130,0.0,0.0,0.0,23.14,2.21,0.0,Ampara,7.29754,81.68202
20220102:2230,0.0,0.0,0.0,23.28,2.41,0.0,Ampara,7.29754,81.68202
20220102:2330,0.0,0.0,0.0,23.21,2.48,0.0,Ampara,7.29754,81.68202
20220103:0030,0.0,0.0,-4.56,23.45,2.28,0.0,Ampara,7.29754,81.68202
20220103:0130,50.3,86.87,9.09,23.63,2.62,0.0,Ampara,7.29754,81.68202
20220103:0230,177.1,237.39,22.42,24.21,2.62,0.0,Ampara,7.29754,81.68202
20220103:0330,314.88,403.41,35.13,25.09,2.76,0.0,Ampara,7.29754,81.68202
20220103:0430,449.35,575.83,46.63,26.04,3.03,0.0,Ampara,7.29754,81.68202
20220103:0530,495.86,638.34,55.64,26.85,3.24,0.0,Ampara,7.29754,81.68202
20220103:0630,464.77,597.51,59.82,27.14,3.45,0.0,Ampara,7.29754,81.68202
20220103:0730,408.28,519.74,57.26,26.26,3.52,0.0,Ampara,7.29754,81.68202
20220103:0830,290.76,372.11,49.21,26.13,3.38,0.0,Ampara,7.29754,81.68202
20220103:0930,252.79,326.67,38.18,25.94,3.31,0.0,Ampara,7.29754,81.68202
20220103:1030,126.33,174.38,25.7,25.84,3.24,0.0,Ampara,7.29754,81.68202
20220103:1130,66.0,105.19,12.5,25.12,3.24,0.0,Ampara,7.29754,81.68202
20220103:1230,0.0,0.0,-1.09,24.4,3.1,0.0,Ampara,7.29754,81.68202
20220103:1330,0.0,0.0,0.0,23.94,2.69,0.0,Ampara,7.29754,81.68202
20220103:1430,0.0,0.0,0.0,24.0,2.69,0.0,Ampara,7.29754,81.68202
