time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.92,23.21,2.48,0.0,Anuradhapura,8.31223,80.41306
20220101:0130,40.13,75.06,7.69,23.17,2.41,0.0,Anuradhapura,8.31223,80.41306
20220101:0230,111.09,155.44,20.97,23.53,3.38,0.0,Anuradhapura,8.31223,80.41306
20220101:0330,228.12,293.82,33.62,24.09,4.28,0.0,Anuradhapura,8.31223,80.41306
20220101:0430,415.32,524.38,45.06,25.23,4.0,0.0,Anuradhapura,8.31223,80.41306
20220101:0530,488.45,623.88,54.09,26.63,4.0,0.0,Anuradhapura,8.31223,80.41306
20220101:0630,466.44,598.9,58.55,27.52,3.72,0.0,Anuradhapura,8.31223,80.41306
20220101:0730,367.56,471.9,56.53,27.52,3.17,0.0,Anuradhapura,8.31223,80.41306
20220101:0830,308.07,392.3,48.99,25.67,3.45,0.0,Anuradhapura,8.31223,80.41306
20220101:0930,208.11,269.82,38.29,25.44,3.38,0.0,Anuradhapura,8.31223,80.41306
20220101:1030,102.86,144.48,26.02,24.69,3.59,0.0,Anuradhapura,8.31223,80.41306
20220101:1130,15.93,33.51,12.95,23.99,3.03,0.0,Anuradhapura,8.31223,80.41306
20220101:1230,0.0,0.0,-0.56,23.57,2.97,0.0,Anuradhapura,8.31223,80.41306
20220101:1330,0.0,0.0,0.0,23.16,2.48,0.0,Anuradhapura,8.31223,80.41306
20220101:1430,0.0,0.0,0.0,22.88,2.41,0.0,Anuradhapura,8.31223,80.41306
20220101:1530,0.0,0.0,0.0,22.88,2.41,0.0,Anuradhapura,8.31223,80.41306
20220101:1630,0.0,0.0,0.0,22.96,2.48,0.0,Anuradhapura,8.31223,80.41306
20220101:1730,0.0,0.0,0.0,23.05,2.76,0.0,Anuradhapura,8.31223,80.41306
20220101:1830,0.0,0.0,0.0,23.07,2.62,0.0,Anuradhapura,8.31223,80.41306
20220101:1930,0.0,0.0,0.0,23.15,2.9,0.0,Anuradhapura,8.31223,80.41306
20220101:2030,0.0,0.0,0.0,23.04,3.03,0.0,Anuradhapura,8.31223,80.41306
20220101:2130,0.0,0.0,0.0,22.85,2.76,0.0,Anuradhapura,8.31223,80.41306
20220101:2230,0.0,0.0,0.0,22.78,2.28,0.0,Anuradhapura,8.31223,80.41306
20220101:2330,0.0,0.0,0.0,22.79,1.93,0.0,Anuradhapura,8.31223,80.41306
20220102:0030,0.0,0.0,-6.02,22.78,1.59,0.0,Anuradhapura,8.31223,80.41306
20220102:0130,10.46,27.23,7.61,22.89,1.45,0.0,Anuradhapura,8.31223,80.41306
20220102:0230,32.93,56.65,20.9,23.27,2.14,0.0,Anuradhapura,8.31223,80.41306
20220102:0330,91.67,130.83,33.57,23.81,1.93,0.0,Anuradhapura,8.31223,80.41306
20220102:0430,110.4,154.45,45.04,24.64,2.48,0.0,Anuradhapura,8.31223,80.41306
20220102:0530,270.05,346.36,54.11,24.44,2.83,0.0,Anuradhapura,8.31223,80.41306
20220102:0630,192.13,252.0,58.62,24.98,3.31,0.0,Anuradhapura,8.31223,80.41306
20220102:0730,105.99,149.06,56.65,25.19,2.62,0.0,Anuradhapura,8.31223,80.41306
20220102:0830,82.71,119.65,49.12,23.72,2.28,0.0,Anuradhapura,8.31223,80.41306
20220102:0930,131.5,178.78,38.43,23.9,1.93,0.0,Anuradhapura,8.31223,80.41306
20220102:1030,77.19,112.96,26.15,24.58,2.83,0.0,Anuradhapura,8.31223,80.41306
20220102:1130,20.74,41.61,13.07,23.99,2.55,0.0,Anuradhapura,8.31223,80.41306
20220102:1230,0.0,0.0,-0.45,23.4,2.76,0.0,Anuradhapura,8.31223,80.41306
20220102:1330,0.0,0.0,0.0,23.16,2.55,0.0,Anuradhapura,8.31223,80.41306
20220102:1430,0.0,0.0,0.0,23.13,2.62,0.0,Anuradhapura,8.31223,80.41306
20220102:1530,0.0,0.0,0.0,23.1,2.48,0.0,Anuradhapura,8.31223,80.41306
