time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-4.82,18.78,1.38,0.0,Badulla,6.9802,81.0577
20220101:0130,31.97,59.06,8.83,18.66,1.38,0.0,Badulla,6.9802,81.0577
20220101:0230,177.17,233.04,22.16,19.09,1.45,0.0,Badulla,6.9802,81.0577
20220101:0330,384.31,481.73,34.9,20.19,1.79,0.0,Badulla,6.9802,81.0577
20220101:0430,464.84,587.34,46.45,21.33,1.66,0.0,Badulla,6.9802,81.0577
20220101:0530,578.33,737.37,55.57,21.83,2.14,0.0,Badulla,6.9802,81.0577
20220101:0630,567.22,725.37,59.93,22.88,2.41,0.0,Badulla,6.9802,81.0577
20220101:0730,489.4,619.58,57.54,22.7,2.55,0.0,Badulla,6.9802,81.0577
20220101:0830,492.74,625.92,49.59,22.96,2.34,0.0,Badulla,6.9802,81.0577
20220101:0930,340.92,428.59,38.6,22.64,2.69,0.0,Badulla,6.9802,81.0577
20220101:1030,138.25,185.42,26.14,21.52,2.76,0.0,Badulla,6.9802,81.0577
20220101:1130,29.38,51.81,12.95,19.79,2.07,0.0,Badulla,6.9802,81.0577
20220101:1230,0.0,0.0,-0.63,19.31,1.52,0.0,Badulla,6.9802,81.0577
20220101:1330,0.0,0.0,0.0,19.13,1.66,0.0,Badulla,6.9802,81.0577
20220101:1430,0.0,0.0,0.0,19.12,1.59,0.0,Badulla,6.9802,81.0577
20220101:1530,0.0,0.0,0.0,19.01,1.72,0.0,Badulla,6.9802,81.0577
20220101:1630,0.0,0.0,0.0,19.3,2.34,0.0,Badulla,6.9802,81.0577
20220101:1730,0.0,0.0,0.0,19.12,1.66,0.0,Badulla,6.9802,81.0577
20220101:1830,0.0,0.0,0.0,18.95,1.52,0.0,Badulla,6.9802,81.0577
20220101:1930,0.0,0.0,0.0,19.21,2.0,0.0,Badulla,6.9802,81.0577
20220101:2030,0.0,0.0,0.0,19.05,1.72,0.0,Badulla,6.9802,81.0577
20220101:2130,0.0,0.0,0.0,18.98,1.59,0.0,Badulla,6.9802,81.0577
20220101:2230,0.0,0.0,0.0,18.89,1.52,0.0,Badulla,6.9802,81.0577
20220101:2330,0.0,0.0,0.0,19.03,1.79,0.0,Badulla,6.9802,81.0577
20220102:0030,0.0,0.0,-4.92,18.85,1.38,0.0,Badulla,6.9802,81.0577
20220102:0130,47.66,83.69,8.74,18.77,1.38,0.0,Badulla,6.9802,81.0577
20220102:0230,174.97,230.9,22.09,19.64,1.86,0.0,Badulla,6.9802,81.0577
20220102:0330,285.55,359.61,34.85,20.82,2.48,0.0,Badulla,6.9802,81.0577
20220102:0430,453.43,567.04,46.43,21.22,2.76,0.0,Badulla,6.9802,81.0577
20220102:0530,500.77,630.28,55.59,21.86,2.55,0.0,Badulla,6.9802,81.0577
20220102:0630,486.03,613.8,60.0,22.24,2.48,0.0,Badulla,6.9802,81.0577
20220102:0730,566.52,725.19,57.66,22.6,2.28,0.0,Badulla,6.9802,81.0577
20220102:0830,465.68,590.15,49.72,23.22,2.55,0.0,Badulla,6.9802,81.0577
20220102:0930,345.88,435.89,38.73,23.03,2.62,0.0,Badulla,6.9802,81.0577
20220102:1030,196.11,255.31,26.27,21.8,2.76,0.0,Badulla,6.9802,81.0577
20220102:1130,52.53,86.08,13.07,20.67,2.48,0.0,Badulla,6.9802,81.0577
20220102:1230,0.0,0.0,-0.51,20.11,2.28,0.0,Badulla,6.9802,81.0577
20220102:1330,0.0,0.0,0.0,19.43,2.14,0.0,Badulla,6.9802,81.0577
20220102:1430,0.0,0.0,0.0,19.25,2.14,0.0,Badulla,6.9802,81.0577
20220102:1530,0.0,0.0,0.0,19.16,1.86,0.0,Badulla,6.9802,81.0577
20220102:1630,0.0,0.0,0.0,19.06,1.93,0.0,Badulla,6.9802,81.0577
20220102:1730,0.0,0.0,0.0,19.1,1.86,0.0,Badulla,6.9802,81.0577
20220102:1830,0.0,0.0,0.0,19.03,1.79,0.0,Badulla,6.9802,81.0577
20220102:1930,0.0,0.0,0.0,19.09,1.86,0.0,Badulla,6.9802,81.0577
20220102:2030,0.0,0.0,0.0,18.98,2.0,0.0,Badulla,6.9802,81.0577
20220102:2130,0.0,0.0,0.0,18.71,1.79,0.0,Badulla,6.9802,81.0577
20220102:2230,0.0,0.0,0.0,18.72,1.72,0.0,Badulla,6.9802,81.0577
20220102:2330,0.0,0.0,0.0,18.6,1.66,0.0,Badulla,6.9802,81.0577
20220103:0030,0.0,0.0,-5.01,18.62,1.59,0.0,Badulla,6.9802,81.0577
20220103:0130,61.73,104.61,8.66,18.35,1.72,0.0,Badulla,6.9802,81.0577
20220103:0230,253.45,326.59,22.03,19.24,2.41,0.0,Badulla,6.9802,81.0577
20220103:0330,330.24,412.52,34.8,20.38,3.03,0.0,Badulla,6.9802,81.0577
20220103:0430,500.14,625.86,46.41,21.06,3.17,0.0,Badulla,6.9802,81.0577
20220103:0530,591.38,747.51,55.61,22.08,3.38,0.0,Badulla,6.9802,81.0577
20220103:0630,603.64,767.19,60.09,22.57,3.17,0.0,Badulla,6.9802,81.0577
20220103:0730,445.12,559.01,57.79,22.65,2.97,0.0,Badulla,6.9802,81.0577
20220103:0830,319.03,401.11,49.86,21.79,2.83,0.0,Badulla,6.9802,81.0577
20220103:0930,251.19,318.22,38.87,21.01,2.41,0.0,Badulla,6.9802,81.0577
20220103:1030,162.41,213.48,26.4,20.51,2.62,0.0,Badulla,6.9802,81.0577
