time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-4.52,25.5,4.97,0.0,Batticaloa,7.7102,81.6924
20220101:0130,28.85,56.8,9.09,25.46,5.17,0.0,Batticaloa,7.7102,81.6924
20220101:0230,139.6,191.86,22.37,25.76,4.21,0.0,Batticaloa,7.7102,81.6924
20220101:0330,275.51,352.73,35.0,26.04,4.21,0.0,Batticaloa,7.7102,81.6924
20220101:0430,499.93,633.44,46.38,26.2,4.76,0.0,Batticaloa,7.7102,81.6924
20220101:0530,360.45,460.3,55.22,27.17,4.28,0.0,Batticaloa,7.7102,81.6924
20220101:0630,529.61,677.59,59.24,26.86,4.0,0.0,Batticaloa,7.7102,81.6924
20220101:0730,505.31,642.18,56.62,26.8,4.41,0.0,Batticaloa,7.7102,81.6924
20220101:0830,208.68,271.25,48.62,26.62,4.97,0.0,Batticaloa,7.7102,81.6924
20220101:0930,170.05,225.65,37.66,26.07,5.24,0.0,Batticaloa,7.7102,81.6924
20220101:1030,82.19,119.23,25.23,24.81,5.03,0.0,Batticaloa,7.7102,81.6924
20220101:1130,27.93,52.66,12.07,25.38,3.59,0.0,Batticaloa,7.7102,81.6924
20220101:1230,0.0,0.0,-1.49,25.6,3.1,0.0,Batticaloa,7.7102,81.6924
20220101:1330,0.0,0.0,0.0,25.97,3.59,0.0,Batticaloa,7.7102,81.6924
20220101:1430,0.0,0.0,0.0,25.57,4.48,0.0,Batticaloa,7.7102,81.6924
20220101:1530,0.0,0.0,0.0,25.09,5.03,0.0,Batticaloa,7.7102,81.6924
20220101:1630,0.0,0.0,0.0,25.32,4.9,0.0,Batticaloa,7.7102,81.6924
20220101:1730,0.0,0.0,0.0,25.62,5.52,0.0,Batticaloa,7.7102,81.6924
20220101:1830,0.0,0.0,0.0,24.97,5.52,0.0,Batticaloa,7.7102,81.6924
20220101:1930,0.0,0.0,0.0,25.21,5.03,0.0,Batticaloa,7.7102,81.6924
20220101:2030,0.0,0.0,0.0,25.35,4.76,0.0,Batticaloa,7.7102,81.6924
20220101:2130,0.0,0.0,0.0,25.61,4.55,0.0,Batticaloa,7.7102,81.6924
20220101:2230,0.0,0.0,0.0,26.17,5.17,0.0,Batticaloa,7.7102,81.6924
