time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.91,24.15,2.55,0.0,Colombo,6.93548,79.84868
20220101:0130,61.58,110.8,7.75,24.01,2.34,0.0,Colombo,6.93548,79.84868
20220101:0230,253.82,337.61,21.13,24.75,2.21,0.0,Colombo,6.93548,79.84868
20220101:0330,410.83,531.1,33.93,26.43,2.07,0.0,Colombo,6.93548,79.84868
20220101:0430,564.47,750.29,45.62,27.85,1.45,0.0,Colombo,6.93548,79.84868
20220101:0530,598.5,821.38,55.01,29.13,0.55,0.0,Colombo,6.93548,79.84868
20220101:0630,648.43,920.26,59.86,30.05,0.07,0.0,Colombo,6.93548,79.84868
20220101:0730,614.08,838.53,58.01,30.67,1.31,0.0,Colombo,6.93548,79.84868
20220101:0830,561.43,750.65,50.4,30.86,2.14,0.0,Colombo,6.93548,79.84868
20220101:0930,424.22,558.28,39.58,30.99,2.28,0.0,Colombo,6.93548,79.84868
20220101:1030,188.49,255.27,27.2,30.16,2.62,0.0,Colombo,6.93548,79.84868
20220101:1130,94.66,144.92,14.05,26.56,2.48,0.0,Colombo,6.93548,79.84868
20220101:1230,0.0,5.86,0.5,26.54,2.55,0.0,Colombo,6.93548,79.84868
20220101:1330,0.0,0.0,0.0,26.44,2.07,0.0,Colombo,6.93548,79.84868
20220101:1430,0.0,0.0,0.0,26.11,2.0,0.0,Colombo,6.93548,79.84868
20220101:1530,0.0,0.0,0.0,25.74,2.0,0.0,Colombo,6.93548,79.84868
20220101:1630,0.0,0.0,0.0,25.35,1.93,0.0,Colombo,6.93548,79.84868
20220101:1730,0.0,0.0,0.0,24.94,2.28,0.0,Colombo,6.93548,79.84868
20220101:1830,0.0,0.0,0.0,24.66,2.97,0.0,Colombo,6.93548,79.84868
20220101:1930,0.0,0.0,0.0,24.88,3.1,0.0,Colombo,6.93548,79.84868
20220101:2030,0.0,0.0,0.0,24.58,3.1,0.0,Colombo,6.93548,79.84868
20220101:2130,0.0,0.0,0.0,24.46,3.31,0.0,Colombo,6.93548,79.84868
20220101:2230,0.0,0.0,0.0,24.34,3.45,0.0,Colombo,6.93548,79.84868
20220101:2330,0.0,0.0,0.0,24.36,2.83,0.0,Colombo,6.93548,79.84868
20220102:0030,0.0,0.0,-6.01,24.31,2.69,0.0,Colombo,6.93548,79.84868
20220102:0130,63.52,113.27,7.67,24.17,2.76,0.0,Colombo,6.93548,79.84868
