time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.24,24.66,2.0,0.0,Galle,6.0461,80.2103
20220101:0130,61.05,107.71,8.45,24.67,2.48,0.0,Galle,6.0461,80.2103
20220101:0230,229.02,304.49,21.86,25.26,2.9,0.0,Galle,6.0461,80.2103
20220101:0330,387.66,494.69,34.72,26.18,3.52,0.0,Galle,6.0461,80.2103
20220101:0430,561.22,720.5,46.49,27.01,3.93,0.0,Galle,6.0461,80.2103
20220101:0530,683.67,895.0,55.96,28.14,4.07,0.0,Galle,6.0461,80.2103
20220101:0630,668.78,887.93,60.78,29.05,3.17,0.0,Galle,6.0461,80.2103
20220101:0730,589.13,787.39,58.72,29.17,1.86,0.0,Galle,6.0461,80.2103
20220101:0830,525.14,703.77,50.84,29.29,0.97,0.0,Galle,6.0461,80.2103
20220101:0930,365.95,486.1,39.83,28.98,0.41,0.0,Galle,6.0461,80.2103
20220101:1030,269.34,359.5,27.34,27.54,0.28,0.0,Galle,6.0461,80.2103
20220101:1130,75.84,119.81,14.11,27.21,0.69,0.0,Galle,6.0461,80.2103
20220101:1230,0.52,7.3,0.52,26.67,1.86,0.0,Galle,6.0461,80.2103
20220101:1330,0.0,0.0,0.0,26.3,2.0,0.0,Galle,6.0461,80.2103
20220101:1430,0.0,0.0,0.0,26.2,1.38,0.0,Galle,6.0461,80.2103
20220101:1530,0.0,0.0,0.0,25.87,0.55,0.0,Galle,6.0461,80.2103
20220101:1630,0.0,0.0,0.0,25.34,1.1,0.0,Galle,6.0461,80.2103
20220101:1730,0.0,0.0,0.0,25.22,1.72,0.0,Galle,6.0461,80.2103
20220101:1830,0.0,0.0,0.0,25.21,2.28,0.0,Galle,6.0461,80.2103
20220101:1930,0.0,0.0,0.0,25.51,2.34,0.0,Galle,6.0461,80.2103
20220101:2030,0.0,0.0,0.0,25.33,2.34,0.0,Galle,6.0461,80.2103
20220101:2130,0.0,0.0,0.0,25.19,2.48,0.0,Galle,6.0461,80.2103
20220101:2230,0.0,0.0,0.0,25.07,2.76,0.0,Galle,6.0461,80.2103
20220101:2330,0.0,0.0,0.0,24.99,2.69,0.0,Galle,6.0461,80.2103
20220102:0030,0.0,0.0,-5.34,24.85,2.21,0.0,Galle,6.0461,80.2103
20220102:0130,69.19,120.7,8.36,24.62,2.07,0.0,Galle,6.0461,80.2103
20220102:0230,265.94,353.44,21.79,25.2,2.0,0.0,Galle,6.0461,80.2103
20220102:0330,455.05,591.3,34.67,26.36,1.86,0.0,Galle,6.0461,80.2103
20220102:0430,582.01,770.16,46.46,27.33,1.72,0.0,Galle,6.0461,80.2103
20220102:0530,640.05,858.28,55.97,28.26,1.93,0.0,Galle,6.0461,80.2103
20220102:0630,678.27,925.12,60.86,28.84,1.59,0.0,Galle,6.0461,80.2103
20220102:0730,664.81,891.65,58.84,29.78,2.69,0.0,Galle,6.0461,80.2103
20220102:0830,565.47,754.97,50.98,29.77,1.93,0.0,Galle,6.0461,80.2103
20220102:0930,410.81,541.75,39.97,29.39,1.24,0.0,Galle,6.0461,80.2103
20220102:1030,192.19,260.07,27.47,28.8,1.03,0.0,Galle,6.0461,80.2103
20220102:1130,84.66,131.32,14.23,28.37,1.86,0.0,Galle,6.0461,80.2103
20220102:1230,1.82,10.39,0.63,27.87,1.45,0.0,Galle,6.0461,80.2103
20220102:1330,0.0,0.0,0.0,27.31,1.38,0.0,Galle,6.0461,80.2103
20220102:1430,0.0,0.0,0.0,26.71,0.76,0.0,Galle,6.0461,80.2103
20220102:1530,0.0,0.0,0.0,27.17,0.21,0.0,Galle,6.0461,80.2103
20220102:1630,0.0,0.0,0.0,25.99,0.76,0.0,Galle,6.0461,80.2103
20220102:1730,0.0,0.0,0.0,25.26,1.31,0.0,Galle,6.0461,80.2103
20220102:1830,0.0,0.0,0.0,25.12,1.59,0.0,Galle,6.0461,80.2103
20220102:1930,0.0,0.0,0.0,25.63,3.24,0.0,Galle,6.0461,80.2103
20220102:2030,0.0,0.0,0.0,25.6,3.38,0.0,Galle,6.0461,80.2103
20220102:2130,0.0,0.0,0.0,25.48,3.17,0.0,Galle,6.0461,80.2103
20220102:2230,0.0,0.0,0.0,25.37,2.76,0.0,Galle,6.0461,80.2103
20220102:2330,0.0,0.0,0.0,25.14,2.48,0.0,Galle,6.0461,80.2103
20220103:0030,0.0,0.0,-5.43,25.01,2.21,0.0,Galle,6.0461,80.2103
20220103:0130,70.37,123.66,8.28,24.86,2.14,0.0,Galle,6.0461,80.2103
20220103:0230,245.11,326.98,21.72,25.42,2.0,0.0,Galle,6.0461,80.2103
20220103:0330,446.08,577.34,34.62,26.5,2.21,0.0,Galle,6.0461,80.2103
20220103:0430,588.34,775.28,46.44,27.52,2.14,0.0,Galle,6.0461,80.2103
20220103:0530,657.55,886.24,55.99,28.41,1.79,0.0,Galle,6.0461,80.2103
20220103:0630,633.33,856.02,60.94,29.18,1.59,0.0,Galle,6.0461,80.2103
20220103:0730,485.86,650.27,58.96,29.28,0.97,0.0,Galle,6.0461,80.2103
20220103:0830,404.7,537.54,51.11,28.65,0.55,0.0,Galle,6.0461,80.2103
20220103:0930,261.21,345.79,40.1,28.16,0.48,0.0,Galle,6.0461,80.2103
20220103:1030,177.67,240.43,27.59,26.84,0.55,0.0,Galle,6.0461,80.2103
20220103:1130,59.34,94.3,14.35,26.55,1.38,0.0,Galle,6.0461,80.2103
20220103:1230,0.66,7.65,0.74,26.07,2.0,0.0,Galle,6.0461,80.2103
20220103:1330,0.0,0.0,0.0,25.54,2.0,0.0,Galle,6.0461,80.2103
20220103:1430,0.0,0.0,0.0,25.19,1.31,0.0,Galle,6.0461,80.2103
20220103:1530,0.0,0.0,0.0,24.34,0.97,0.0,Galle,6.0461,80.2103
20220103:1630,0.0,0.0,0.0,24.26,0.9,0.0,Galle,6.0461,80.2103
20220103:1730,0.0,0.0,0.0,24.4,1.38,0.0,Galle,6.0461,80.2103
20220103:1830,0.0,0.0,0.0,24.77,1.59,0.0,Galle,6.0461,80.2103
20220103:1930,0.0,0.0,0.0,25.04,0.9,0.0,Galle,6.0461,80.2103
20220103:2030,0.0,0.0,0.0,24.51,0.83,0.0,Galle,6.0461,80.2103
20220103:2130,0.0,0.0,0.0,24.51,0.76,0.0,Galle,6.0461,80.2103
20220103:2230,0.0,0.0,0.0,23.96,0.97,0.0,Galle,6.0461,80.2103
20220103:2330,0.0,0.0,0.0,23.88,1.1,0.0,Galle,6.0461,80.2103
20220104:0030,0.0,0.0,-5.52,24.99,1.03,0.0,Galle,6.0461,80.2103
20220104:0130,64.65,112.12,8.2,23.86,0.97,0.0,Galle,6.0461,80.2103
20220104:0230,214.41,288.56,21.65,25.5,1.03,0.0,Galle,6.0461,80.2103
20220104:0330,403.72,526.98,34.57,26.06,1.1,0.0,Galle,6.0461,80.2103
20220104:0430,541.78,717.68,46.42,26.78,1.17,0.0,Galle,6.0461,80.2103
20220104:0530,617.23,831.41,56.02,27.43,1.17,0.0,Galle,6.0461,80.2103
20220104:0630,647.73,882.8,61.03,28.21,1.1,0.0,Galle,6.0461,80.2103
20220104:0730,663.82,908.86,59.1,28.62,1.17,0.0,Galle,6.0461,80.2103
20220104:0830,587.13,775.85,51.26,28.97,2.62,0.0,Galle,6.0461,80.2103
20220104:0930,376.76,483.71,40.24,27.66,3.52,0.0,Galle,6.0461,80.2103
20220104:1030,197.6,263.72,27.72,27.23,2.48,0.0,Galle,6.0461,80.2103
20220104:1130,78.19,120.24,14.47,26.84,0.9,0.0,Galle,6.0461,80.2103
20220104:1230,2.33,11.43,0.85,26.78,0.0,0.0,Galle,6.0461,80.2103
20220104:1330,0.0,0.0,0.0,26.4,0.41,0.0,Galle,6.0461,80.2103
20220104:1430,0.0,0.0,0.0,25.77,0.69,0.0,Galle,6.0461,80.2103
20220104:1530,0.0,0.0,0.0,25.5,1.38,0.0,Galle,6.0461,80.2103
20220104:1630,0.0,0.0,0.0,25.49,1.79,0.0,Galle,6.0461,80.2103
20220104:1730,0.0,0.0,0.0,25.41,1.66,0.0,Galle,6.0461,80.2103
20220104:1830,0.0,0.0,0.0,25.25,0.97,0.0,Galle,6.0461,80.2103
20220104:1930,0.0,0.0,0.0,24.79,1.03,0.0,Galle,6.0461,80.2103
20220104:2030,0.0,0.0,0.0,25.12,1.86,0.0,Galle,6.0461,80.2103
20220104:2130,0.0,0.0,0.0,25.12,2.14,0.0,Galle,6.0461,80.2103
20220104:2230,0.0,0.0,0.0,24.81,2.28,0.0,Galle,6.0461,80.2103
20220104:2330,0.0,0.0,0.0,24.61,2.48,0.0,Galle,6.0461,80.2103
20220105:0030,0.0,0.0,-5.62,24.56,2.14,0.0,Galle,6.0461,80.2103
20220105:0130,30.95,59.67,8.12,24.59,1.72,0.0,Galle,6.0461,80.2103
20220105:0230,85.53,124.54,21.59,24.79,1.45,0.0,Galle,6.0461,80.2103
20220105:0330,121.74,168.39,34.52,25.37,1.79,0.0,Galle,6.0461,80.2103
20220105:0430,378.8,489.35,46.4,25.49,1.79,0.0,Galle,6.0461,80.2103
20220105:0530,307.28,399.12,56.06,26.08,1.45,0.0,Galle,6.0461,80.2103
20220105:0630,555.85,728.59,61.12,26.07,1.59,0.0,Galle,6.0461,80.2103
20220105:0730,483.54,648.28,59.23,27.35,0.21,0.0,Galle,6.0461,80.2103
20220105:0830,518.51,693.37,51.4,27.8,0.69,0.0,Galle,6.0461,80.2103
20220105:0930,445.05,585.77,40.38,27.75,1.1,0.0,Galle,6.0461,80.2103
20220105:1030,284.44,376.04,27.85,27.69,1.31,0.0,Galle,6.0461,80.2103
20220105:1130,96.05,143.93,14.6,27.01,1.17,0.0,Galle,6.0461,80.2103
