time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.84,24.1,2.28,0.0,Gampaha,7.0897,79.9925
20220101:0130,61.57,110.25,7.82,23.96,2.0,0.0,Gampaha,7.0897,79.9925
20220101:0230,249.47,332.53,21.18,24.73,1.79,0.0,Gampaha,7.0897,79.9925
20220101:0330,412.97,535.35,33.96,26.5,1.79,0.0,Gampaha,7.0897,79.9925
20220101:0430,569.09,758.21,45.62,27.96,1.38,0.0,Gampaha,7.0897,79.9925
20220101:0530,594.51,809.11,54.95,29.37,0.9,0.0,Gampaha,7.0897,79.9925
20220101:0630,648.68,908.73,59.72,30.37,0.55,0.0,Gampaha,7.0897,79.9925
20220101:0730,593.16,808.29,57.82,31.08,1.31,0.0,Gampaha,7.0897,79.9925
20220101:0830,567.57,767.12,50.19,31.12,1.59,0.0,Gampaha,7.0897,79.9925
20220101:0930,404.46,536.92,39.37,31.29,1.38,0.0,Gampaha,7.0897,79.9925
20220101:1030,181.96,247.51,27.0,30.15,2.07,0.0,Gampaha,7.0897,79.9925
20220101:1130,99.43,151.88,13.86,26.93,2.21,0.0,Gampaha,7.0897,79.9925
20220101:1230,0.02,5.91,0.3,26.7,2.34,0.0,Gampaha,7.0897,79.9925
20220101:1330,0.0,0.0,0.0,26.57,2.07,0.0,Gampaha,7.0897,79.9925
20220101:1430,0.0,0.0,0.0,26.2,1.86,0.0,Gampaha,7.0897,79.9925
20220101:1530,0.0,0.0,0.0,25.78,1.93,0.0,Gampaha,7.0897,79.9925
20220101:1630,0.0,0.0,0.0,25.39,1.79,0.0,Gampaha,7.0897,79.9925
20220101:1730,0.0,0.0,0.0,24.99,2.14,0.0,Gampaha,7.0897,79.9925
20220101:1830,0.0,0.0,0.0,24.67,2.62,0.0,Gampaha,7.0897,79.9925
20220101:1930,0.0,0.0,0.0,24.93,2.83,0.0,Gampaha,7.0897,79.9925
20220101:2030,0.0,0.0,0.0,24.64,2.76,0.0,Gampaha,7.0897,79.9925
20220101:2130,0.0,0.0,0.0,24.52,2.83,0.0,Gampaha,7.0897,79.9925
20220101:2230,0.0,0.0,0.0,24.38,2.9,0.0,Gampaha,7.0897,79.9925
20220101:2330,0.0,0.0,0.0,24.38,2.34,0.0,Gampaha,7.0897,79.9925
20220102:0030,0.0,0.0,-5.94,24.32,2.34,0.0,Gampaha,7.0897,79.9925
20220102:0130,55.73,100.57,7.73,24.14,2.41,0.0,Gampaha,7.0897,79.9925
20220102:0230,237.71,315.94,21.11,24.75,2.9,0.0,Gampaha,7.0897,79.9925
20220102:0330,381.04,487.29,33.91,26.09,3.38,0.0,Gampaha,7.0897,79.9925
20220102:0430,524.73,676.8,45.59,27.46,3.38,0.0,Gampaha,7.0897,79.9925
20220102:0530,652.17,860.9,54.97,28.75,3.31,0.0,Gampaha,7.0897,79.9925
20220102:0630,669.92,893.0,59.8,29.93,3.17,0.0,Gampaha,7.0897,79.9925
20220102:0730,635.7,858.19,57.94,31.02,2.34,0.0,Gampaha,7.0897,79.9925
20220102:0830,546.46,727.76,50.33,31.47,2.48,0.0,Gampaha,7.0897,79.9925
20220102:0930,365.97,480.25,39.51,31.52,3.03,0.0,Gampaha,7.0897,79.9925
20220102:1030,183.32,248.84,27.13,30.65,3.66,0.0,Gampaha,7.0897,79.9925
20220102:1130,47.7,80.72,13.98,28.78,2.83,0.0,Gampaha,7.0897,79.9925
20220102:1230,0.2,6.46,0.42,27.97,2.28,0.0,Gampaha,7.0897,79.9925
20220102:1330,0.0,0.0,0.0,27.31,1.93,0.0,Gampaha,7.0897,79.9925
20220102:1430,0.0,0.0,0.0,26.68,2.69,0.0,Gampaha,7.0897,79.9925
20220102:1530,0.0,0.0,0.0,26.3,2.97,0.0,Gampaha,7.0897,79.9925
20220102:1630,0.0,0.0,0.0,25.96,3.24,0.0,Gampaha,7.0897,79.9925
20220102:1730,0.0,0.0,0.0,25.68,3.45,0.0,Gampaha,7.0897,79.9925
20220102:1830,0.0,0.0,0.0,25.51,3.59,0.0,Gampaha,7.0897,79.9925
20220102:1930,0.0,0.0,0.0,25.4,3.45,0.0,Gampaha,7.0897,79.9925
20220102:2030,0.0,0.0,0.0,25.12,3.59,0.0,Gampaha,7.0897,79.9925
20220102:2130,0.0,0.0,0.0,24.84,3.59,0.0,Gampaha,7.0897,79.9925
20220102:2230,0.0,0.0,0.0,24.81,3.45,0.0,Gampaha,7.0897,79.9925
20220102:2330,0.0,0.0,0.0,24.71,3.24,0.0,Gampaha,7.0897,79.9925
20220103:0030,0.0,0.0,-6.03,24.63,3.03,0.0,Gampaha,7.0897,79.9925
20220103:0130,42.96,82.62,7.65,24.53,3.03,0.0,Gampaha,7.0897,79.9925
20220103:0230,226.81,301.89,21.04,24.94,3.17,0.0,Gampaha,7.0897,79.9925
20220103:0330,338.68,432.9,33.86,26.36,3.72,0.0,Gampaha,7.0897,79.9925
20220103:0430,528.36,680.55,45.57,27.6,3.86,0.0,Gampaha,7.0897,79.9925
20220103:0530,595.36,776.24,54.99,29.2,3.93,0.0,Gampaha,7.0897,79.9925
20220103:0630,495.64,644.59,59.88,30.44,3.79,0.0,Gampaha,7.0897,79.9925
20220103:0730,523.33,680.49,58.06,29.92,4.07,0.0,Gampaha,7.0897,79.9925
20220103:0830,519.38,675.17,50.46,30.26,4.0,0.0,Gampaha,7.0897,79.9925
20220103:0930,297.77,387.22,39.64,30.48,4.14,0.0,Gampaha,7.0897,79.9925
20220103:1030,242.04,319.74,27.26,29.07,4.14,0.0,Gampaha,7.0897,79.9925
20220103:1130,61.38,100.58,14.1,28.18,4.0,0.0,Gampaha,7.0897,79.9925
20220103:1230,0.0,5.67,0.53,27.54,3.24,0.0,Gampaha,7.0897,79.9925
20220103:1330,0.0,0.0,0.0,26.93,3.59,0.0,Gampaha,7.0897,79.9925
20220103:1430,0.0,0.0,0.0,26.33,3.72,0.0,Gampaha,7.0897,79.9925
20220103:1530,0.0,0.0,0.0,25.95,3.52,0.0,Gampaha,7.0897,79.9925
20220103:1630,0.0,0.0,0.0,25.71,2.9,0.0,Gampaha,7.0897,79.9925
20220103:1730,0.0,0.0,0.0,25.41,2.28,0.0,Gampaha,7.0897,79.9925
20220103:1830,0.0,0.0,0.0,25.16,2.48,0.0,Gampaha,7.0897,79.9925
