time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-4.44,24.19,5.38,0.0,Hambantota,6.1241,81.1185
20220101:0130,58.31,100.21,9.24,24.21,4.97,0.0,Hambantota,6.1241,81.1185
20220101:0230,241.41,317.66,22.62,25.5,4.62,0.0,Hambantota,6.1241,81.1185
20220101:0330,429.59,543.17,35.43,26.35,5.45,0.0,Hambantota,6.1241,81.1185
20220101:0430,513.68,650.5,47.09,26.95,5.59,0.0,Hambantota,6.1241,81.1185
20220101:0530,673.29,872.42,56.35,29.53,6.07,0.0,Hambantota,6.1241,81.1185
20220101:0630,600.57,774.55,60.79,29.5,6.0,0.0,Hambantota,6.1241,81.1185
20220101:0730,567.52,728.79,58.31,29.37,6.14,0.0,Hambantota,6.1241,81.1185
20220101:0830,610.63,784.23,50.19,29.47,6.34,0.0,Hambantota,6.1241,81.1185
20220101:0930,413.45,526.15,39.06,28.6,6.07,0.0,Hambantota,6.1241,81.1185
20220101:1030,295.2,383.43,26.52,27.88,5.66,0.0,Hambantota,6.1241,81.1185
20220101:1130,105.85,160.85,13.27,27.85,6.41,0.0,Hambantota,6.1241,81.1185
20220101:1230,0.0,0.0,-0.34,27.23,6.07,0.0,Hambantota,6.1241,81.1185
20220101:1330,0.0,0.0,0.0,26.62,5.45,0.0,Hambantota,6.1241,81.1185
20220101:1430,0.0,0.0,0.0,25.58,5.03,0.0,Hambantota,6.1241,81.1185
20220101:1530,0.0,0.0,0.0,25.36,5.03,0.0,Hambantota,6.1241,81.1185
20220101:1630,0.0,0.0,0.0,25.28,5.1,0.0,Hambantota,6.1241,81.1185
20220101:1730,0.0,0.0,0.0,25.28,5.59,0.0,Hambantota,6.1241,81.1185
20220101:1830,0.0,0.0,0.0,25.32,5.86,0.0,Hambantota,6.1241,81.1185
20220101:1930,0.0,0.0,0.0,25.31,6.0,0.0,Hambantota,6.1241,81.1185
20220101:2030,0.0,0.0,0.0,25.03,6.0,0.0,Hambantota,6.1241,81.1185
20220101:2130,0.0,0.0,0.0,25.07,5.66,0.0,Hambantota,6.1241,81.1185
20220101:2230,0.0,0.0,0.0,24.87,4.97,0.0,Hambantota,6.1241,81.1185
20220101:2330,0.0,0.0,0.0,24.87,4.9,0.0,Hambantota,6.1241,81.1185
20220102:0030,0.0,0.0,-4.53,24.87,4.9,0.0,Hambantota,6.1241,81.1185
20220102:0130,76.75,129.34,9.15,24.79,4.9,0.0,Hambantota,6.1241,81.1185
20220102:0230,254.84,335.15,22.55,26.12,5.24,0.0,Hambantota,6.1241,81.1185
20220102:0330,391.1,494.57,35.38,26.86,6.48,0.0,Hambantota,6.1241,81.1185
