time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,0.0,24.95,5.79,0.0,Jaffna,9.66845,80.00742
20220101:0130,22.63,48.69,6.76,24.9,5.72,0.0,Jaffna,9.66845,80.00742
20220101:0230,184.38,248.26,19.96,25.17,5.72,0.0,Jaffna,9.66845,80.00742
20220101:0330,289.66,367.97,32.51,25.37,5.72,0.0,Jaffna,9.66845,80.00742
20220101:0430,448.0,562.59,43.82,25.27,5.45,0.0,Jaffna,9.66845,80.00742
20220101:0530,524.08,662.08,52.71,25.65,5.59,0.0,Jaffna,9.66845,80.00742
20220101:0630,405.15,509.88,57.16,25.39,6.21,0.0,Jaffna,9.66845,80.00742
20220101:0730,137.89,186.81,55.39,25.46,6.55,0.0,Jaffna,9.66845,80.00742
20220101:0830,111.28,154.8,48.18,25.67,6.41,0.0,Jaffna,9.66845,80.00742
20220101:0930,171.88,226.67,37.76,25.57,5.79,0.0,Jaffna,9.66845,80.00742
20220101:1030,142.62,192.2,25.67,24.7,6.14,0.0,Jaffna,9.66845,80.00742
20220101:1130,53.04,87.12,12.71,24.91,6.48,0.0,Jaffna,9.66845,80.00742
20220101:1230,0.0,0.0,-0.73,24.88,6.69,0.0,Jaffna,9.66845,80.00742
20220101:1330,0.0,0.0,0.0,25.07,6.76,0.0,Jaffna,9.66845,80.00742
20220101:1430,0.0,0.0,0.0,25.08,6.76,0.0,Jaffna,9.66845,80.00742
20220101:1530,0.0,0.0,0.0,25.15,6.9,0.0,Jaffna,9.66845,80.00742
20220101:1630,0.0,0.0,0.0,25.26,7.52,0.0,Jaffna,9.66845,80.00742
20220101:1730,0.0,0.0,0.0,25.29,8.07,0.0,Jaffna,9.66845,80.00742
20220101:1830,0.0,0.0,0.0,24.99,7.86,0.0,Jaffna,9.66845,80.00742
20220101:1930,0.0,0.0,0.0,24.89,7.45,0.0,Jaffna,9.66845,80.00742
20220101:2030,0.0,0.0,0.0,24.75,7.17,0.0,Jaffna,9.66845,80.00742
20220101:2130,0.0,0.0,0.0,24.51,6.97,0.0,Jaffna,9.66845,80.00742
20220101:2230,0.0,0.0,0.0,24.47,6.62,0.0,Jaffna,9.66845,80.00742
20220101:2330,0.0,0.0,0.0,24.64,6.62,0.0,Jaffna,9.66845,80.00742
20220102:0030,0.0,0.0,0.0,24.84,7.38,0.0,Jaffna,9.66845,80.00742
20220102:0130,32.4,65.18,6.68,25.06,6.97,0.0,Jaffna,9.66845,80.00742
20220102:0230,131.12,181.7,19.9,25.65,7.17,0.0,Jaffna,9.66845,80.00742
20220102:0330,272.79,347.2,32.46,25.65,7.03,0.0,Jaffna,9.66845,80.00742
20220102:0430,380.64,475.09,43.8,25.45,7.45,0.0,Jaffna,9.66845,80.00742
20220102:0530,428.58,535.29,52.73,25.79,7.86,0.0,Jaffna,9.66845,80.00742
20220102:0630,473.78,592.81,57.23,25.89,7.86,0.0,Jaffna,9.66845,80.00742
20220102:0730,489.07,608.31,55.5,25.65,7.86,0.0,Jaffna,9.66845,80.00742
20220102:0830,439.82,549.48,48.32,25.79,7.72,0.0,Jaffna,9.66845,80.00742
20220102:0930,407.85,511.26,37.89,25.78,7.45,0.0,Jaffna,9.66845,80.00742
20220102:1030,176.91,235.11,25.79,26.47,7.59,0.0,Jaffna,9.66845,80.00742
20220102:1130,54.29,89.49,12.83,26.62,7.45,0.0,Jaffna,9.66845,80.00742
20220102:1230,0.0,0.0,-0.61,26.68,7.59,0.0,Jaffna,9.66845,80.00742
20220102:1330,0.0,0.0,0.0,26.63,8.07,0.0,Jaffna,9.66845,80.00742
20220102:1430,0.0,0.0,0.0,26.46,8.55,0.0,Jaffna,9.66845,80.00742
20220102:1530,0.0,0.0,0.0,26.33,8.41,0.0,Jaffna,9.66845,80.00742
20220102:1630,0.0,0.0,0.0,26.33,8.69,0.0,Jaffna,9.66845,80.00742
20220102:1730,0.0,0.0,0.0,26.29,8.41,0.0,Jaffna,9.66845,80.00742
20220102:1830,0.0,0.0,0.0,26.3,8.28,0.0,Jaffna,9.66845,80.00742
20220102:1930,0.0,0.0,0.0,26.26,8.07,0.0,Jaffna,9.66845,80.00742
20220102:2030,0.0,0.0,0.0,26.09,7.93,0.0,Jaffna,9.66845,80.00742
20220102:2130,0.0,0.0,0.0,26.0,8.07,0.0,Jaffna,9.66845,80.00742
20220102:2230,0.0,0.0,0.0,25.91,8.0,0.0,Jaffna,9.66845,80.00742
20220102:2330,0.0,0.0,0.0,25.85,8.0,0.0,Jaffna,9.66845,80.00742
20220103:0030,0.0,0.0,0.0,25.91,8.34,0.0,Jaffna,9.66845,80.00742
20220103:0130,41.71,81.45,6.6,26.02,8.21,0.0,Jaffna,9.66845,80.00742
20220103:0230,182.85,247.2,19.83,26.16,8.28,0.0,Jaffna,9.66845,80.00742
20220103:0330,415.73,521.66,32.42,26.24,8.28,0.0,Jaffna,9.66845,80.00742
20220103:0430,512.48,637.4,43.78,26.22,8.48,0.0,Jaffna,9.66845,80.00742
20220103:0530,459.22,572.01,52.76,26.75,8.34,0.0,Jaffna,9.66845,80.00742
20220103:0630,532.52,666.16,57.31,26.85,8.34,0.0,Jaffna,9.66845,80.00742
20220103:0730,563.05,704.51,55.63,26.97,8.48,0.0,Jaffna,9.66845,80.00742
20220103:0830,390.18,485.89,48.45,26.9,8.62,0.0,Jaffna,9.66845,80.00742
20220103:0930,291.1,369.11,38.03,26.92,8.62,0.0,Jaffna,9.66845,80.00742
20220103:1030,189.34,249.99,25.93,26.66,8.48,0.0,Jaffna,9.66845,80.00742
20220103:1130,89.93,138.84,12.95,26.73,8.34,0.0,Jaffna,9.66845,80.00742
20220103:1230,0.0,0.0,-0.49,26.76,8.14,0.0,Jaffna,9.66845,80.00742
20220103:1330,0.0,0.0,0.0,26.84,8.0,0.0,Jaffna,9.66845,80.00742
20220103:1430,0.0,0.0,0.0,26.74,7.72,0.0,Jaffna,9.66845,80.00742
20220103:1530,0.0,0.0,0.0,26.74,7.45,0.0,Jaffna,9.66845,80.00742
20220103:1630,0.0,0.0,0.0,26.75,7.17,0.0,Jaffna,9.66845,80.00742
20220103:1730,0.0,0.0,0.0,26.58,7.03,0.0,Jaffna,9.66845,80.00742
20220103:1830,0.0,0.0,0.0,26.43,7.03,0.0,Jaffna,9.66845,80.00742
20220103:1930,0.0,0.0,0.0,26.41,6.97,0.0,Jaffna,9.66845,80.00742
20220103:2030,0.0,0.0,0.0,26.2,6.83,0.0,Jaffna,9.66845,80.00742
20220103:2130,0.0,0.0,0.0,26.14,6.69,0.0,Jaffna,9.66845,80.00742
20220103:2230,0.0,0.0,0.0,26.12,5.93,0.0,Jaffna,9.66845,80.00742
20220103:2330,0.0,0.0,0.0,26.1,6.0,0.0,Jaffna,9.66845,80.00742
20220104:0030,0.0,0.0,0.0,26.11,6.21,0.0,Jaffna,9.66845,80.00742
20220104:0130,47.98,92.8,6.52,26.11,6.48,0.0,Jaffna,9.66845,80.00742
20220104:0230,213.37,285.83,19.77,26.47,6.97,0.0,Jaffna,9.66845,80.00742
20220104:0330,386.25,487.02,32.38,26.47,7.72,0.0,Jaffna,9.66845,80.00742
20220104:0430,561.17,702.44,43.77,26.43,8.14,0.0,Jaffna,9.66845,80.00742
20220104:0530,595.01,747.14,52.79,26.82,8.48,0.0,Jaffna,9.66845,80.00742
20220104:0630,600.33,753.7,57.4,26.8,8.55,0.0,Jaffna,9.66845,80.00742
