time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.68,23.44,1.24,0.0,Kalutara,6.5831,79.9593
20220101:0130,60.73,108.63,8.0,23.37,1.38,0.0,Kalutara,6.5831,79.9593
20220101:0230,246.0,329.16,21.39,25.02,1.31,0.0,Kalutara,6.5831,79.9593
20220101:0330,394.49,512.47,34.22,26.45,1.45,0.0,Kalutara,6.5831,79.9593
20220101:0430,551.83,732.9,45.94,27.33,1.17,0.0,Kalutara,6.5831,79.9593
20220101:0530,608.5,822.02,55.37,28.12,1.1,0.0,Kalutara,6.5831,79.9593
20220101:0630,670.71,915.62,60.22,28.68,1.38,0.0,Kalutara,6.5831,79.9593
20220101:0730,629.31,837.36,58.31,29.28,2.55,0.0,Kalutara,6.5831,79.9593
20220101:0830,568.79,743.84,50.6,29.19,3.31,0.0,Kalutara,6.5831,79.9593
20220101:0930,432.64,560.03,39.71,28.6,2.9,0.0,Kalutara,6.5831,79.9593
20220101:1030,216.2,287.54,27.29,27.8,2.21,0.0,Kalutara,6.5831,79.9593
20220101:1130,92.7,143.05,14.11,27.71,1.93,0.0,Kalutara,6.5831,79.9593
20220101:1230,0.24,6.56,0.53,26.96,1.1,0.0,Kalutara,6.5831,79.9593
20220101:1330,0.0,0.0,0.0,26.24,1.52,0.0,Kalutara,6.5831,79.9593
20220101:1430,0.0,0.0,0.0,25.69,1.93,0.0,Kalutara,6.5831,79.9593
20220101:1530,0.0,0.0,0.0,25.46,1.66,0.0,Kalutara,6.5831,79.9593
20220101:1630,0.0,0.0,0.0,25.17,1.38,0.0,Kalutara,6.5831,79.9593
20220101:1730,0.0,0.0,0.0,24.78,1.17,0.0,Kalutara,6.5831,79.9593
20220101:1830,0.0,0.0,0.0,24.45,1.17,0.0,Kalutara,6.5831,79.9593
20220101:1930,0.0,0.0,0.0,24.98,0.83,0.0,Kalutara,6.5831,79.9593
20220101:2030,0.0,0.0,0.0,24.54,0.9,0.0,Kalutara,6.5831,79.9593
20220101:2130,0.0,0.0,0.0,24.04,1.03,0.0,Kalutara,6.5831,79.9593
20220101:2230,0.0,0.0,0.0,23.63,1.45,0.0,Kalutara,6.5831,79.9593
20220101:2330,0.0,0.0,0.0,23.85,1.66,0.0,Kalutara,6.5831,79.9593
20220102:0030,0.0,0.0,-5.77,23.49,1.31,0.0,Kalutara,6.5831,79.9593
20220102:0130,67.07,118.02,7.91,23.3,1.45,0.0,Kalutara,6.5831,79.9593
20220102:0230,264.83,353.21,21.32,24.77,1.45,0.0,Kalutara,6.5831,79.9593
20220102:0330,438.63,570.01,34.16,26.08,1.66,0.0,Kalutara,6.5831,79.9593
20220102:0430,563.36,744.9,45.91,26.98,1.45,0.0,Kalutara,6.5831,79.9593
20220102:0530,643.06,873.43,55.39,27.82,1.17,0.0,Kalutara,6.5831,79.9593
20220102:0630,675.71,926.3,60.3,28.57,1.24,0.0,Kalutara,6.5831,79.9593
20220102:0730,623.39,834.23,58.42,29.41,2.14,0.0,Kalutara,6.5831,79.9593
20220102:0830,564.78,742.42,50.73,29.51,2.97,0.0,Kalutara,6.5831,79.9593
20220102:0930,411.31,533.41,39.84,29.48,3.17,0.0,Kalutara,6.5831,79.9593
20220102:1030,181.19,244.85,27.41,28.49,2.0,0.0,Kalutara,6.5831,79.9593
20220102:1130,43.21,74.73,14.23,27.17,1.38,0.0,Kalutara,6.5831,79.9593
20220102:1230,0.68,7.7,0.65,26.1,0.97,0.0,Kalutara,6.5831,79.9593
20220102:1330,0.0,0.0,0.0,25.85,0.83,0.0,Kalutara,6.5831,79.9593
20220102:1430,0.0,0.0,0.0,25.67,0.69,0.0,Kalutara,6.5831,79.9593
20220102:1530,0.0,0.0,0.0,25.37,0.97,0.0,Kalutara,6.5831,79.9593
20220102:1630,0.0,0.0,0.0,25.14,1.17,0.0,Kalutara,6.5831,79.9593
20220102:1730,0.0,0.0,0.0,24.78,1.24,0.0,Kalutara,6.5831,79.9593
20220102:1830,0.0,0.0,0.0,24.8,1.38,0.0,Kalutara,6.5831,79.9593
20220102:1930,0.0,0.0,0.0,25.01,0.9,0.0,Kalutara,6.5831,79.9593
20220102:2030,0.0,0.0,0.0,24.83,1.59,0.0,Kalutara,6.5831,79.9593
20220102:2130,0.0,0.0,0.0,24.78,2.0,0.0,Kalutara,6.5831,79.9593
20220102:2230,0.0,0.0,0.0,24.8,2.07,0.0,Kalutara,6.5831,79.9593
20220102:2330,0.0,0.0,0.0,24.63,1.86,0.0,Kalutara,6.5831,79.9593
20220103:0030,0.0,0.0,-5.87,24.47,1.66,0.0,Kalutara,6.5831,79.9593
20220103:0130,50.31,94.27,7.83,24.38,1.66,0.0,Kalutara,6.5831,79.9593
20220103:0230,213.7,286.71,21.25,24.88,1.66,0.0,Kalutara,6.5831,79.9593
20220103:0330,345.0,444.95,34.11,26.05,1.79,0.0,Kalutara,6.5831,79.9593
20220103:0430,534.82,704.91,45.89,26.82,1.38,0.0,Kalutara,6.5831,79.9593
20220103:0530,595.77,796.38,55.41,27.77,1.38,0.0,Kalutara,6.5831,79.9593
20220103:0630,552.79,731.29,60.38,28.54,1.72,0.0,Kalutara,6.5831,79.9593
20220103:0730,500.84,662.78,58.55,28.93,1.66,0.0,Kalutara,6.5831,79.9593
20220103:0830,510.25,674.18,50.87,29.1,1.72,0.0,Kalutara,6.5831,79.9593
20220103:0930,213.91,285.56,39.98,28.71,0.62,0.0,Kalutara,6.5831,79.9593
20220103:1030,225.22,300.05,27.54,26.66,0.62,0.0,Kalutara,6.5831,79.9593
20220103:1130,27.77,52.38,14.35,26.28,0.62,0.0,Kalutara,6.5831,79.9593
20220103:1230,0.0,5.47,0.76,25.34,0.97,0.0,Kalutara,6.5831,79.9593
20220103:1330,0.0,0.0,0.0,25.03,1.38,0.0,Kalutara,6.5831,79.9593
20220103:1430,0.0,0.0,0.0,24.75,1.1,0.0,Kalutara,6.5831,79.9593
20220103:1530,0.0,0.0,0.0,24.55,1.03,0.0,Kalutara,6.5831,79.9593
20220103:1630,0.0,0.0,0.0,24.26,1.38,0.0,Kalutara,6.5831,79.9593
20220103:1730,0.0,0.0,0.0,24.07,1.03,0.0,Kalutara,6.5831,79.9593
20220103:1830,0.0,0.0,0.0,23.91,0.76,0.0,Kalutara,6.5831,79.9593
20220103:1930,0.0,0.0,0.0,24.76,3.66,0.0,Kalutara,6.5831,79.9593
20220103:2030,0.0,0.0,0.0,24.73,3.52,0.0,Kalutara,6.5831,79.9593
20220103:2130,0.0,0.0,0.0,24.57,3.59,0.0,Kalutara,6.5831,79.9593
20220103:2230,0.0,0.0,0.0,24.42,3.52,0.0,Kalutara,6.5831,79.9593
20220103:2330,0.0,0.0,0.0,24.37,3.45,0.0,Kalutara,6.5831,79.9593
20220104:0030,0.0,0.0,-5.96,24.28,3.31,0.0,Kalutara,6.5831,79.9593
20220104:0130,53.04,96.7,7.75,24.24,3.17,0.0,Kalutara,6.5831,79.9593
20220104:0230,204.06,273.0,21.18,24.69,2.9,0.0,Kalutara,6.5831,79.9593
20220104:0330,363.6,464.0,34.07,25.59,3.1,0.0,Kalutara,6.5831,79.9593
20220104:0430,495.65,635.55,45.87,26.5,3.17,0.0,Kalutara,6.5831,79.9593
20220104:0530,640.42,840.59,55.43,27.52,2.97,0.0,Kalutara,6.5831,79.9593
20220104:0630,661.69,885.03,60.46,28.5,2.34,0.0,Kalutara,6.5831,79.9593
20220104:0730,665.17,899.93,58.68,29.54,2.14,0.0,Kalutara,6.5831,79.9593
20220104:0830,543.73,725.08,51.01,30.06,1.93,0.0,Kalutara,6.5831,79.9593
20220104:0930,204.51,272.49,40.12,28.91,1.93,0.0,Kalutara,6.5831,79.9593
20220104:1030,129.7,180.48,27.67,27.93,2.0,0.0,Kalutara,6.5831,79.9593
20220104:1130,56.06,89.86,14.47,27.83,1.72,0.0,Kalutara,6.5831,79.9593
20220104:1230,2.35,11.48,0.87,27.41,2.34,0.0,Kalutara,6.5831,79.9593
20220104:1330,0.0,0.0,0.0,26.76,2.48,0.0,Kalutara,6.5831,79.9593
20220104:1430,0.0,0.0,0.0,26.26,2.0,0.0,Kalutara,6.5831,79.9593
20220104:1530,0.0,0.0,0.0,25.82,1.24,0.0,Kalutara,6.5831,79.9593
20220104:1630,0.0,0.0,0.0,25.03,0.9,0.0,Kalutara,6.5831,79.9593
20220104:1730,0.0,0.0,0.0,25.09,1.66,0.0,Kalutara,6.5831,79.9593
20220104:1830,0.0,0.0,0.0,24.89,2.28,0.0,Kalutara,6.5831,79.9593
20220104:1930,0.0,0.0,0.0,25.17,1.86,0.0,Kalutara,6.5831,79.9593
20220104:2030,0.0,0.0,0.0,24.95,2.34,0.0,Kalutara,6.5831,79.9593
20220104:2130,0.0,0.0,0.0,24.67,2.97,0.0,Kalutara,6.5831,79.9593
20220104:2230,0.0,0.0,0.0,24.51,3.03,0.0,Kalutara,6.5831,79.9593
20220104:2330,0.0,0.0,0.0,24.24,3.03,0.0,Kalutara,6.5831,79.9593
20220105:0030,0.0,0.0,-6.05,24.03,3.38,0.0,Kalutara,6.5831,79.9593
20220105:0130,17.62,39.82,7.67,24.16,3.38,0.0,Kalutara,6.5831,79.9593
20220105:0230,116.49,163.23,21.12,24.28,2.76,0.0,Kalutara,6.5831,79.9593
20220105:0330,149.07,200.35,34.02,24.81,2.21,0.0,Kalutara,6.5831,79.9593
20220105:0430,261.39,336.81,45.86,24.92,2.34,0.0,Kalutara,6.5831,79.9593
20220105:0530,215.12,277.87,55.47,25.54,3.1,0.0,Kalutara,6.5831,79.9593
20220105:0630,560.57,721.43,60.56,25.68,2.9,0.0,Kalutara,6.5831,79.9593
20220105:0730,369.54,472.8,58.82,27.8,3.66,0.0,Kalutara,6.5831,79.9593
20220105:0830,402.59,518.21,51.16,28.14,3.31,0.0,Kalutara,6.5831,79.9593
20220105:0930,263.52,343.39,40.26,28.57,3.1,0.0,Kalutara,6.5831,79.9593
20220105:1030,176.64,238.21,27.8,28.45,2.76,0.0,Kalutara,6.5831,79.9593
20220105:1130,76.8,117.63,14.59,28.16,2.0,0.0,Kalutara,6.5831,79.9593
20220105:1230,1.94,10.63,0.99,27.86,1.17,0.0,Kalutara,6.5831,79.9593
