time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.33,19.83,1.45,0.0,Kandy,7.2906,80.6336
20220101:0130,22.57,47.42,8.31,19.65,1.45,0.0,Kandy,7.2906,80.6336
20220101:0230,103.49,144.13,21.65,20.03,2.21,0.0,Kandy,7.2906,80.6336
20220101:0330,211.05,269.2,34.38,20.45,2.62,0.0,Kandy,7.2906,80.6336
20220101:0430,419.58,523.12,45.93,21.27,2.76,0.0,Kandy,7.2906,80.6336
20220101:0530,457.11,574.3,55.09,22.93,3.1,0.0,Kandy,7.2906,80.6336
20220101:0630,519.95,658.39,59.58,23.22,2.9,0.0,Kandy,7.2906,80.6336
20220101:0730,466.29,591.24,57.41,23.55,2.34,0.0,Kandy,7.2906,80.6336
20220101:0830,318.63,404.62,49.63,23.43,2.14,0.0,Kandy,7.2906,80.6336
20220101:0930,293.1,372.62,38.75,23.41,2.0,0.0,Kandy,7.2906,80.6336
20220101:1030,88.06,125.37,26.35,22.16,2.34,0.0,Kandy,7.2906,80.6336
20220101:1130,27.46,50.91,13.2,21.16,2.07,0.0,Kandy,7.2906,80.6336
20220101:1230,0.0,0.0,-0.36,20.74,1.72,0.0,Kandy,7.2906,80.6336
20220101:1330,0.0,0.0,0.0,20.43,1.86,0.0,Kandy,7.2906,80.6336
20220101:1430,0.0,0.0,0.0,20.33,2.07,0.0,Kandy,7.2906,80.6336
20220101:1530,0.0,0.0,0.0,20.16,2.21,0.0,Kandy,7.2906,80.6336
20220101:1630,0.0,0.0,0.0,20.0,2.28,0.0,Kandy,7.2906,80.6336
20220101:1730,0.0,0.0,0.0,19.99,1.72,0.0,Kandy,7.2906,80.6336
20220101:1830,0.0,0.0,0.0,19.9,1.52,0.0,Kandy,7.2906,80.6336
20220101:1930,0.0,0.0,0.0,19.93,2.14,0.0,Kandy,7.2906,80.6336
20220101:2030,0.0,0.0,0.0,19.86,1.72,0.0,Kandy,7.2906,80.6336
20220101:2130,0.0,0.0,0.0,19.88,1.79,0.0,Kandy,7.2906,80.6336
20220101:2230,0.0,0.0,0.0,19.81,1.66,0.0,Kandy,7.2906,80.6336
20220101:2330,0.0,0.0,0.0,19.91,2.14,0.0,Kandy,7.2906,80.6336
20220102:0030,0.0,0.0,-5.43,19.93,1.52,0.0,Kandy,7.2906,80.6336
20220102:0130,26.05,53.44,8.23,19.9,1.45,0.0,Kandy,7.2906,80.6336
20220102:0230,131.41,178.62,21.58,20.47,2.28,0.0,Kandy,7.2906,80.6336
20220102:0330,197.41,254.19,34.32,21.37,2.76,0.0,Kandy,7.2906,80.6336
20220102:0430,264.29,332.52,45.91,21.66,2.83,0.0,Kandy,7.2906,80.6336
20220102:0530,440.01,552.34,55.11,21.99,2.83,0.0,Kandy,7.2906,80.6336
20220102:0630,539.74,685.25,59.66,23.14,2.62,0.0,Kandy,7.2906,80.6336
20220102:0730,576.58,731.68,57.53,23.44,3.38,0.0,Kandy,7.2906,80.6336
20220102:0830,437.66,550.72,49.76,23.29,3.31,0.0,Kandy,7.2906,80.6336
20220102:0930,199.73,259.02,38.88,23.54,3.17,0.0,Kandy,7.2906,80.6336
20220102:1030,99.01,139.04,26.48,22.96,2.62,0.0,Kandy,7.2906,80.6336
20220102:1130,25.01,46.91,13.32,21.61,2.41,0.0,Kandy,7.2906,80.6336
20220102:1230,0.0,0.0,-0.25,21.11,1.93,0.0,Kandy,7.2906,80.6336
20220102:1330,0.0,0.0,0.0,20.6,1.93,0.0,Kandy,7.2906,80.6336
20220102:1430,0.0,0.0,0.0,20.28,1.86,0.0,Kandy,7.2906,80.6336
20220102:1530,0.0,0.0,0.0,20.11,2.0,0.0,Kandy,7.2906,80.6336
20220102:1630,0.0,0.0,0.0,19.96,2.0,0.0,Kandy,7.2906,80.6336
20220102:1730,0.0,0.0,0.0,19.91,2.0,0.0,Kandy,7.2906,80.6336
20220102:1830,0.0,0.0,0.0,19.94,2.07,0.0,Kandy,7.2906,80.6336
20220102:1930,0.0,0.0,0.0,19.9,2.21,0.0,Kandy,7.2906,80.6336
20220102:2030,0.0,0.0,0.0,20.04,2.0,0.0,Kandy,7.2906,80.6336
20220102:2130,0.0,0.0,0.0,19.71,1.66,0.0,Kandy,7.2906,80.6336
20220102:2230,0.0,0.0,0.0,19.64,1.93,0.0,Kandy,7.2906,80.6336
20220102:2330,0.0,0.0,0.0,19.43,1.86,0.0,Kandy,7.2906,80.6336
20220103:0030,0.0,0.0,-5.52,19.41,1.86,0.0,Kandy,7.2906,80.6336
20220103:0130,21.01,45.74,8.15,19.37,1.66,0.0,Kandy,7.2906,80.6336
20220103:0230,155.59,207.38,21.51,19.76,2.83,0.0,Kandy,7.2906,80.6336
20220103:0330,283.06,355.07,34.28,20.59,3.03,0.0,Kandy,7.2906,80.6336
20220103:0430,385.87,481.81,45.89,21.7,3.38,0.0,Kandy,7.2906,80.6336
