time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.58,21.9,1.31,0.0,Kegalle,7.2523,80.3436
20220101:0130,38.75,73.68,8.07,21.73,1.38,0.0,Kegalle,7.2523,80.3436
20220101:0230,158.87,215.47,21.41,23.0,1.38,0.0,Kegalle,7.2523,80.3436
20220101:0330,287.78,369.79,34.16,24.65,1.72,0.0,Kegalle,7.2523,80.3436
20220101:0430,473.57,610.24,45.75,25.86,2.0,0.0,Kegalle,7.2523,80.3436
20220101:0530,506.73,658.57,54.98,27.46,2.28,0.0,Kegalle,7.2523,80.3436
20220101:0630,570.35,752.96,59.6,28.4,2.14,0.0,Kegalle,7.2523,80.3436
20220101:0730,494.12,649.1,57.55,28.68,1.79,0.0,Kegalle,7.2523,80.3436
20220101:0830,431.28,561.39,49.84,27.83,1.79,0.0,Kegalle,7.2523,80.3436
20220101:0930,314.78,408.92,39.0,27.84,1.59,0.0,Kegalle,7.2523,80.3436
20220101:1030,111.25,156.53,26.62,26.96,2.41,0.0,Kegalle,7.2523,80.3436
20220101:1130,54.16,89.81,13.47,25.71,1.59,0.0,Kegalle,7.2523,80.3436
20220101:1230,0.0,0.0,-0.08,25.27,1.72,0.0,Kegalle,7.2523,80.3436
20220101:1330,0.0,0.0,0.0,24.69,1.72,0.0,Kegalle,7.2523,80.3436
20220101:1430,0.0,0.0,0.0,24.25,1.72,0.0,Kegalle,7.2523,80.3436
20220101:1530,0.0,0.0,0.0,23.82,1.79,0.0,Kegalle,7.2523,80.3436
20220101:1630,0.0,0.0,0.0,23.54,1.66,0.0,Kegalle,7.2523,80.3436
20220101:1730,0.0,0.0,0.0,23.27,1.52,0.0,Kegalle,7.2523,80.3436
20220101:1830,0.0,0.0,0.0,22.95,1.45,0.0,Kegalle,7.2523,80.3436
20220101:1930,0.0,0.0,0.0,23.05,1.72,0.0,Kegalle,7.2523,80.3436
20220101:2030,0.0,0.0,0.0,22.83,1.66,0.0,Kegalle,7.2523,80.3436
20220101:2130,0.0,0.0,0.0,22.79,1.38,0.0,Kegalle,7.2523,80.3436
20220101:2230,0.0,0.0,0.0,22.59,1.31,0.0,Kegalle,7.2523,80.3436
20220101:2330,0.0,0.0,0.0,22.64,1.24,0.0,Kegalle,7.2523,80.3436
20220102:0030,0.0,0.0,-5.68,22.6,1.1,0.0,Kegalle,7.2523,80.3436
20220102:0130,36.47,70.64,7.98,22.29,1.17,0.0,Kegalle,7.2523,80.3436
20220102:0230,159.63,216.67,21.34,23.26,1.45,0.0,Kegalle,7.2523,80.3436
20220102:0330,238.82,309.62,34.11,24.56,1.79,0.0,Kegalle,7.2523,80.3436
20220102:0430,351.33,449.09,45.73,25.55,2.07,0.0,Kegalle,7.2523,80.3436
20220102:0530,513.27,664.98,55.0,26.6,2.41,0.0,Kegalle,7.2523,80.3436
