time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-6.35,23.38,3.1,0.0,Kilinochchi,9.3961,80.3982
20220101:0130,27.21,55.3,7.22,23.5,3.03,0.0,Kilinochchi,9.3961,80.3982
20220101:0230,181.86,244.69,20.43,23.96,2.9,0.0,Kilinochchi,9.3961,80.3982
20220101:0330,265.06,340.07,32.98,24.8,3.03,0.0,Kilinochchi,9.3961,80.3982
20220101:0430,426.7,543.72,44.28,25.42,2.97,0.0,Kilinochchi,9.3961,80.3982
20220101:0530,543.71,701.35,53.14,26.28,3.17,0.0,Kilinochchi,9.3961,80.3982
20220101:0630,322.1,414.96,57.47,26.98,3.59,0.0,Kilinochchi,9.3961,80.3982
20220101:0730,152.89,205.35,55.52,25.33,4.0,0.0,Kilinochchi,9.3961,80.3982
20220101:0830,119.43,164.84,48.16,24.71,3.17,0.0,Kilinochchi,9.3961,80.3982
20220101:0930,188.61,246.07,37.63,24.11,3.45,0.0,Kilinochchi,9.3961,80.3982
20220101:1030,118.66,163.85,25.48,24.59,3.45,0.0,Kilinochchi,9.3961,80.3982
20220101:1130,37.03,64.3,12.48,24.42,3.59,0.0,Kilinochchi,9.3961,80.3982
20220101:1230,0.0,0.0,-0.97,24.21,3.38,0.0,Kilinochchi,9.3961,80.3982
20220101:1330,0.0,0.0,0.0,23.84,3.17,0.0,Kilinochchi,9.3961,80.3982
20220101:1430,0.0,0.0,0.0,23.75,3.1,0.0,Kilinochchi,9.3961,80.3982
20220101:1530,0.0,0.0,0.0,23.91,3.66,0.0,Kilinochchi,9.3961,80.3982
20220101:1630,0.0,0.0,0.0,24.04,3.72,0.0,Kilinochchi,9.3961,80.3982
20220101:1730,0.0,0.0,0.0,23.89,3.72,0.0,Kilinochchi,9.3961,80.3982
20220101:1830,0.0,0.0,0.0,23.67,4.0,0.0,Kilinochchi,9.3961,80.3982
20220101:1930,0.0,0.0,0.0,23.42,4.07,0.0,Kilinochchi,9.3961,80.3982
20220101:2030,0.0,0.0,0.0,23.41,4.34,0.0,Kilinochchi,9.3961,80.3982
20220101:2130,0.0,0.0,0.0,23.43,3.93,0.0,Kilinochchi,9.3961,80.3982
20220101:2230,0.0,0.0,0.0,23.37,3.17,0.0,Kilinochchi,9.3961,80.3982
20220101:2330,0.0,0.0,0.0,23.52,3.1,0.0,Kilinochchi,9.3961,80.3982
20220102:0030,0.0,0.0,-6.44,23.71,2.97,0.0,Kilinochchi,9.3961,80.3982
20220102:0130,31.1,61.25,7.14,23.93,2.83,0.0,Kilinochchi,9.3961,80.3982
