time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.65,23.29,1.86,0.0,Kurunegala,7.4839,80.3683
20220101:0130,38.56,73.88,7.99,23.12,1.93,0.0,Kurunegala,7.4839,80.3683
20220101:0230,158.86,215.68,21.32,23.59,1.93,0.0,Kurunegala,7.4839,80.3683
20220101:0330,289.27,370.09,34.05,24.91,2.69,0.0,Kurunegala,7.4839,80.3683
20220101:0430,478.46,610.73,45.61,25.97,3.1,0.0,Kurunegala,7.4839,80.3683
20220101:0530,510.59,659.07,54.8,27.55,3.03,0.0,Kurunegala,7.4839,80.3683
20220101:0630,575.97,753.55,59.37,28.61,3.03,0.0,Kurunegala,7.4839,80.3683
20220101:0730,496.37,649.6,57.32,29.54,2.55,0.0,Kurunegala,7.4839,80.3683
20220101:0830,432.25,561.82,49.65,29.15,2.69,0.0,Kurunegala,7.4839,80.3683
20220101:0930,317.08,409.28,38.84,28.27,2.9,0.0,Kurunegala,7.4839,80.3683
20220101:1030,111.53,156.63,26.48,26.75,2.83,0.0,Kurunegala,7.4839,80.3683
20220101:1130,54.19,89.97,13.35,25.99,2.48,0.0,Kurunegala,7.4839,80.3683
20220101:1230,0.0,0.0,-0.19,25.46,2.48,0.0,Kurunegala,7.4839,80.3683
20220101:1330,0.0,0.0,0.0,24.79,2.69,0.0,Kurunegala,7.4839,80.3683
20220101:1430,0.0,0.0,0.0,24.24,2.48,0.0,Kurunegala,7.4839,80.3683
20220101:1530,0.0,0.0,0.0,23.88,2.48,0.0,Kurunegala,7.4839,80.3683
20220101:1630,0.0,0.0,0.0,23.76,2.48,0.0,Kurunegala,7.4839,80.3683
20220101:1730,0.0,0.0,0.0,23.71,2.41,0.0,Kurunegala,7.4839,80.3683
20220101:1830,0.0,0.0,0.0,23.57,2.34,0.0,Kurunegala,7.4839,80.3683
20220101:1930,0.0,0.0,0.0,23.49,2.62,0.0,Kurunegala,7.4839,80.3683
20220101:2030,0.0,0.0,0.0,23.28,2.41,0.0,Kurunegala,7.4839,80.3683
20220101:2130,0.0,0.0,0.0,23.24,2.28,0.0,Kurunegala,7.4839,80.3683
20220101:2230,0.0,0.0,0.0,23.02,2.07,0.0,Kurunegala,7.4839,80.3683
20220101:2330,0.0,0.0,0.0,23.1,1.86,0.0,Kurunegala,7.4839,80.3683
20220102:0030,0.0,0.0,-5.74,23.1,1.72,0.0,Kurunegala,7.4839,80.3683
20220102:0130,36.42,70.83,7.91,22.94,1.72,0.0,Kurunegala,7.4839,80.3683
20220102:0230,160.08,216.88,21.25,23.45,2.28,0.0,Kurunegala,7.4839,80.3683
20220102:0330,240.72,309.82,34.0,24.26,3.03,0.0,Kurunegala,7.4839,80.3683
20220102:0430,354.35,449.41,45.59,25.17,2.97,0.0,Kurunegala,7.4839,80.3683
20220102:0530,515.89,665.47,54.81,26.26,2.69,0.0,Kurunegala,7.4839,80.3683
20220102:0630,566.1,733.0,59.44,27.62,3.24,0.0,Kurunegala,7.4839,80.3683
20220102:0730,597.05,777.77,57.44,28.19,3.52,0.0,Kurunegala,7.4839,80.3683
20220102:0830,462.69,596.33,49.78,28.53,3.66,0.0,Kurunegala,7.4839,80.3683
20220102:0930,226.47,297.25,38.97,28.35,4.0,0.0,Kurunegala,7.4839,80.3683
20220102:1030,119.61,166.66,26.61,27.09,3.86,0.0,Kurunegala,7.4839,80.3683
20220102:1130,33.93,60.18,13.47,26.05,3.38,0.0,Kurunegala,7.4839,80.3683
20220102:1230,0.0,0.0,-0.08,25.19,2.83,0.0,Kurunegala,7.4839,80.3683
20220102:1330,0.0,0.0,0.0,24.6,2.62,0.0,Kurunegala,7.4839,80.3683
20220102:1430,0.0,0.0,0.0,24.22,2.55,0.0,Kurunegala,7.4839,80.3683
20220102:1530,0.0,0.0,0.0,23.99,2.83,0.0,Kurunegala,7.4839,80.3683
20220102:1630,0.0,0.0,0.0,23.86,2.83,0.0,Kurunegala,7.4839,80.3683
20220102:1730,0.0,0.0,0.0,23.85,2.76,0.0,Kurunegala,7.4839,80.3683
20220102:1830,0.0,0.0,0.0,23.88,2.62,0.0,Kurunegala,7.4839,80.3683
20220102:1930,0.0,0.0,0.0,23.69,2.07,0.0,Kurunegala,7.4839,80.3683
20220102:2030,0.0,0.0,0.0,23.54,2.21,0.0,Kurunegala,7.4839,80.3683
20220102:2130,0.0,0.0,0.0,23.36,2.69,0.0,Kurunegala,7.4839,80.3683
20220102:2230,0.0,0.0,0.0,23.29,2.76,0.0,Kurunegala,7.4839,80.3683
20220102:2330,0.0,0.0,0.0,23.07,2.69,0.0,Kurunegala,7.4839,80.3683
20220103:0030,0.0,0.0,-5.83,23.05,2.62,0.0,Kurunegala,7.4839,80.3683
20220103:0130,27.83,57.86,7.83,22.96,2.41,0.0,Kurunegala,7.4839,80.3683
20220103:0230,192.0,256.89,21.19,23.39,2.21,0.0,Kurunegala,7.4839,80.3683
20220103:0330,302.41,384.7,33.95,24.9,4.0,0.0,Kurunegala,7.4839,80.3683
20220103:0430,441.77,561.54,45.57,26.02,3.93,0.0,Kurunegala,7.4839,80.3683
20220103:0530,519.46,664.03,54.84,27.08,4.41,0.0,Kurunegala,7.4839,80.3683
20220103:0630,432.19,551.58,59.52,28.09,4.21,0.0,Kurunegala,7.4839,80.3683
20220103:0730,398.79,509.08,57.56,27.3,4.21,0.0,Kurunegala,7.4839,80.3683
20220103:0830,409.92,525.14,49.92,27.71,3.52,0.0,Kurunegala,7.4839,80.3683
20220103:0930,202.53,264.83,39.11,27.16,4.07,0.0,Kurunegala,7.4839,80.3683
20220103:1030,178.09,238.0,26.74,26.45,3.31,0.0,Kurunegala,7.4839,80.3683
20220103:1130,34.74,62.48,13.59,26.06,3.24,0.0,Kurunegala,7.4839,80.3683
20220103:1230,0.0,2.88,0.03,24.7,2.97,0.0,Kurunegala,7.4839,80.3683
20220103:1330,0.0,0.0,0.0,23.86,2.83,0.0,Kurunegala,7.4839,80.3683
20220103:1430,0.0,0.0,0.0,23.53,2.62,0.0,Kurunegala,7.4839,80.3683
20220103:1530,0.0,0.0,0.0,23.46,2.41,0.0,Kurunegala,7.4839,80.3683
20220103:1630,0.0,0.0,0.0,23.27,2.14,0.0,Kurunegala,7.4839,80.3683
20220103:1730,0.0,0.0,0.0,23.17,1.86,0.0,Kurunegala,7.4839,80.3683
20220103:1830,0.0,0.0,0.0,23.06,1.79,0.0,Kurunegala,7.4839,80.3683
20220103:1930,0.0,0.0,0.0,23.18,2.14,0.0,Kurunegala,7.4839,80.3683
20220103:2030,0.0,0.0,0.0,23.17,2.21,0.0,Kurunegala,7.4839,80.3683
20220103:2130,0.0,0.0,0.0,23.09,2.14,0.0,Kurunegala,7.4839,80.3683
20220103:2230,0.0,0.0,0.0,23.07,2.14,0.0,Kurunegala,7.4839,80.3683
20220103:2330,0.0,0.0,0.0,22.98,2.14,0.0,Kurunegala,7.4839,80.3683
