time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-6.67,25.07,6.55,0.0,Mannar,8.98945,79.87842
20220101:0130,44.04,84.42,6.93,25.02,6.07,0.0,Mannar,8.98945,79.87842
20220101:0230,177.04,238.9,20.18,25.23,5.72,0.0,Mannar,8.98945,79.87842
20220101:0330,270.07,344.1,32.8,25.35,6.28,0.0,Mannar,8.98945,79.87842
20220101:0430,425.74,531.96,44.21,25.44,6.28,0.0,Mannar,8.98945,79.87842
20220101:0530,523.47,657.16,53.25,25.5,6.07,0.0,Mannar,8.98945,79.87842
20220101:0630,503.01,636.89,57.82,25.62,5.72,0.0,Mannar,8.98945,79.87842
20220101:0730,274.79,349.94,56.07,25.47,5.72,0.0,Mannar,8.98945,79.87842
20220101:0830,256.86,325.14,48.8,25.3,6.9,0.0,Mannar,8.98945,79.87842
20220101:0930,334.51,420.37,38.28,25.58,7.31,0.0,Mannar,8.98945,79.87842
20220101:1030,125.36,171.83,26.13,25.54,7.31,0.0,Mannar,8.98945,79.87842
20220101:1130,38.83,67.15,13.12,25.51,8.14,0.0,Mannar,8.98945,79.87842
20220101:1230,0.0,0.0,-0.34,25.42,8.48,0.0,Mannar,8.98945,79.87842
20220101:1330,0.0,0.0,0.0,25.37,8.69,0.0,Mannar,8.98945,79.87842
20220101:1430,0.0,0.0,0.0,25.48,8.62,0.0,Mannar,8.98945,79.87842
20220101:1530,0.0,0.0,0.0,25.62,8.9,0.0,Mannar,8.98945,79.87842
20220101:1630,0.0,0.0,0.0,25.74,9.17,0.0,Mannar,8.98945,79.87842
20220101:1730,0.0,0.0,0.0,25.74,9.1,0.0,Mannar,8.98945,79.87842
20220101:1830,0.0,0.0,0.0,25.37,8.76,0.0,Mannar,8.98945,79.87842
20220101:1930,0.0,0.0,0.0,25.13,8.21,0.0,Mannar,8.98945,79.87842
20220101:2030,0.0,0.0,0.0,25.01,8.28,0.0,Mannar,8.98945,79.87842
20220101:2130,0.0,0.0,0.0,24.89,7.79,0.0,Mannar,8.98945,79.87842
20220101:2230,0.0,0.0,0.0,24.84,7.24,0.0,Mannar,8.98945,79.87842
20220101:2330,0.0,0.0,0.0,25.15,6.97,0.0,Mannar,8.98945,79.87842
20220102:0030,0.0,0.0,0.0,25.36,6.9,0.0,Mannar,8.98945,79.87842
20220102:0130,27.06,55.92,6.84,25.46,7.38,0.0,Mannar,8.98945,79.87842
20220102:0230,103.13,147.27,20.11,25.71,7.31,0.0,Mannar,8.98945,79.87842
20220102:0330,154.2,205.63,32.75,25.89,7.45,0.0,Mannar,8.98945,79.87842
20220102:0430,222.0,285.07,44.19,25.47,7.24,0.0,Mannar,8.98945,79.87842
20220102:0530,412.26,514.42,53.26,25.63,7.17,0.0,Mannar,8.98945,79.87842
20220102:0630,406.26,507.18,57.89,25.74,7.52,0.0,Mannar,8.98945,79.87842
20220102:0730,310.61,392.72,56.19,26.06,7.79,0.0,Mannar,8.98945,79.87842
20220102:0830,241.5,308.31,48.93,25.8,8.0,0.0,Mannar,8.98945,79.87842
20220102:0930,277.93,351.9,38.42,25.56,8.0,0.0,Mannar,8.98945,79.87842
20220102:1030,84.47,122.25,26.26,26.17,7.79,0.0,Mannar,8.98945,79.87842
20220102:1130,30.37,55.58,13.24,26.17,7.66,0.0,Mannar,8.98945,79.87842
20220102:1230,0.0,0.0,-0.23,26.31,8.28,0.0,Mannar,8.98945,79.87842
20220102:1330,0.0,0.0,0.0,26.3,8.83,0.0,Mannar,8.98945,79.87842
20220102:1430,0.0,0.0,0.0,26.17,9.59,0.0,Mannar,8.98945,79.87842
20220102:1530,0.0,0.0,0.0,26.17,9.38,0.0,Mannar,8.98945,79.87842
20220102:1630,0.0,0.0,0.0,26.17,9.17,0.0,Mannar,8.98945,79.87842
20220102:1730,0.0,0.0,0.0,26.21,8.83,0.0,Mannar,8.98945,79.87842
20220102:1830,0.0,0.0,0.0,26.11,8.62,0.0,Mannar,8.98945,79.87842
20220102:1930,0.0,0.0,0.0,25.93,8.21,0.0,Mannar,8.98945,79.87842
20220102:2030,0.0,0.0,0.0,25.75,8.0,0.0,Mannar,8.98945,79.87842
20220102:2130,0.0,0.0,0.0,25.72,7.66,0.0,Mannar,8.98945,79.87842
20220102:2230,0.0,0.0,0.0,25.71,7.86,0.0,Mannar,8.98945,79.87842
20220102:2330,0.0,0.0,0.0,25.72,8.41,0.0,Mannar,8.98945,79.87842
20220103:0030,0.0,0.0,0.0,25.78,8.55,0.0,Mannar,8.98945,79.87842
20220103:0130,47.7,91.82,6.77,25.89,8.55,0.0,Mannar,8.98945,79.87842
20220103:0230,180.3,243.36,20.05,26.01,8.62,0.0,Mannar,8.98945,79.87842
20220103:0330,327.08,411.79,32.7,26.09,8.48,0.0,Mannar,8.98945,79.87842
20220103:0430,471.67,587.71,44.17,26.27,8.55,0.0,Mannar,8.98945,79.87842
20220103:0530,596.4,747.04,53.29,26.51,8.55,0.0,Mannar,8.98945,79.87842
20220103:0630,640.41,804.95,57.98,26.71,8.62,0.0,Mannar,8.98945,79.87842
20220103:0730,446.99,557.18,56.31,26.72,8.69,0.0,Mannar,8.98945,79.87842
