time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.41,19.84,1.45,0.0,Matale,7.4698,80.6217
20220101:0130,22.61,47.53,8.23,19.6,1.52,0.0,Matale,7.4698,80.6217
20220101:0230,103.61,144.22,21.55,19.76,1.93,0.0,Matale,7.4698,80.6217
20220101:0330,211.23,269.34,34.27,20.15,2.34,0.0,Matale,7.4698,80.6217
20220101:0430,420.68,523.44,45.8,20.64,2.62,0.0,Matale,7.4698,80.6217
20220101:0530,457.48,574.62,54.93,22.21,2.69,0.0,Matale,7.4698,80.6217
20220101:0630,519.16,658.76,59.4,22.98,2.55,0.0,Matale,7.4698,80.6217
20220101:0730,464.16,591.57,57.24,23.77,1.93,0.0,Matale,7.4698,80.6217
20220101:0830,317.75,404.8,49.5,24.08,2.14,0.0,Matale,7.4698,80.6217
20220101:0930,295.18,372.84,38.65,22.41,2.28,0.0,Matale,7.4698,80.6217
20220101:1030,88.22,125.4,26.27,21.69,2.0,0.0,Matale,7.4698,80.6217
20220101:1130,27.48,50.95,13.13,21.04,1.86,0.0,Matale,7.4698,80.6217
20220101:1230,0.0,0.0,-0.42,20.72,1.66,0.0,Matale,7.4698,80.6217
20220101:1330,0.0,0.0,0.0,20.4,1.66,0.0,Matale,7.4698,80.6217
20220101:1430,0.0,0.0,0.0,20.15,1.79,0.0,Matale,7.4698,80.6217
20220101:1530,0.0,0.0,0.0,19.95,1.86,0.0,Matale,7.4698,80.6217
20220101:1630,0.0,0.0,0.0,19.88,1.93,0.0,Matale,7.4698,80.6217
20220101:1730,0.0,0.0,0.0,19.98,1.59,0.0,Matale,7.4698,80.6217
20220101:1830,0.0,0.0,0.0,19.95,1.59,0.0,Matale,7.4698,80.6217
20220101:1930,0.0,0.0,0.0,19.84,1.59,0.0,Matale,7.4698,80.6217
20220101:2030,0.0,0.0,0.0,19.81,1.45,0.0,Matale,7.4698,80.6217
20220101:2130,0.0,0.0,0.0,19.76,1.38,0.0,Matale,7.4698,80.6217
20220101:2230,0.0,0.0,0.0,19.72,1.38,0.0,Matale,7.4698,80.6217
20220101:2330,0.0,0.0,0.0,19.77,1.59,0.0,Matale,7.4698,80.6217
20220102:0030,0.0,0.0,-5.5,19.82,1.31,0.0,Matale,7.4698,80.6217
20220102:0130,26.1,53.58,8.14,19.79,1.24,0.0,Matale,7.4698,80.6217
20220102:0230,131.53,178.77,21.48,20.16,1.86,0.0,Matale,7.4698,80.6217
20220102:0330,197.92,254.31,34.21,20.62,2.34,0.0,Matale,7.4698,80.6217
20220102:0430,263.77,332.69,45.78,21.08,1.79,0.0,Matale,7.4698,80.6217
20220102:0530,438.84,552.62,54.95,21.6,2.21,0.0,Matale,7.4698,80.6217
20220102:0630,539.26,685.66,59.48,22.85,2.34,0.0,Matale,7.4698,80.6217
20220102:0730,575.65,732.12,57.36,22.66,2.76,0.0,Matale,7.4698,80.6217
20220102:0830,436.8,551.02,49.63,22.98,2.76,0.0,Matale,7.4698,80.6217
20220102:0930,199.86,259.11,38.78,23.39,3.03,0.0,Matale,7.4698,80.6217
20220102:1030,99.55,139.08,26.4,21.92,2.62,0.0,Matale,7.4698,80.6217
20220102:1130,25.06,46.93,13.25,21.28,2.14,0.0,Matale,7.4698,80.6217
20220102:1230,0.0,0.0,-0.31,20.83,1.79,0.0,Matale,7.4698,80.6217
20220102:1330,0.0,0.0,0.0,20.37,1.79,0.0,Matale,7.4698,80.6217
20220102:1430,0.0,0.0,0.0,20.14,1.66,0.0,Matale,7.4698,80.6217
20220102:1530,0.0,0.0,0.0,19.96,1.86,0.0,Matale,7.4698,80.6217
20220102:1630,0.0,0.0,0.0,19.92,1.86,0.0,Matale,7.4698,80.6217
20220102:1730,0.0,0.0,0.0,19.87,2.07,0.0,Matale,7.4698,80.6217
20220102:1830,0.0,0.0,0.0,20.02,2.07,0.0,Matale,7.4698,80.6217
20220102:1930,0.0,0.0,0.0,19.73,1.66,0.0,Matale,7.4698,80.6217
20220102:2030,0.0,0.0,0.0,19.78,1.59,0.0,Matale,7.4698,80.6217
20220102:2130,0.0,0.0,0.0,19.48,1.59,0.0,Matale,7.4698,80.6217
20220102:2230,0.0,0.0,0.0,19.37,1.72,0.0,Matale,7.4698,80.6217
20220102:2330,0.0,0.0,0.0,19.24,1.59,0.0,Matale,7.4698,80.6217
20220103:0030,0.0,0.0,-5.6,19.23,1.45,0.0,Matale,7.4698,80.6217
20220103:0130,21.04,45.86,8.06,19.23,1.52,0.0,Matale,7.4698,80.6217
20220103:0230,155.62,207.57,21.41,19.52,2.28,0.0,Matale,7.4698,80.6217
20220103:0330,283.69,355.3,34.17,20.19,2.97,0.0,Matale,7.4698,80.6217
20220103:0430,385.72,482.06,45.76,21.09,2.76,0.0,Matale,7.4698,80.6217
20220103:0530,466.96,586.74,54.98,21.66,2.97,0.0,Matale,7.4698,80.6217
20220103:0630,414.53,519.81,59.56,22.76,2.76,0.0,Matale,7.4698,80.6217
20220103:0730,328.25,415.75,57.49,22.39,2.14,0.0,Matale,7.4698,80.6217
20220103:0830,387.27,485.5,49.77,22.24,2.62,0.0,Matale,7.4698,80.6217
20220103:0930,119.53,162.31,38.92,21.99,2.14,0.0,Matale,7.4698,80.6217
20220103:1030,155.93,207.16,26.53,21.46,1.86,0.0,Matale,7.4698,80.6217
20220103:1130,16.79,35.03,13.37,21.04,2.07,0.0,Matale,7.4698,80.6217
20220103:1230,0.0,0.0,-0.19,20.15,1.66,0.0,Matale,7.4698,80.6217
20220103:1330,0.0,0.0,0.0,19.78,1.45,0.0,Matale,7.4698,80.6217
20220103:1430,0.0,0.0,0.0,19.65,1.59,0.0,Matale,7.4698,80.6217
20220103:1530,0.0,0.0,0.0,19.58,1.59,0.0,Matale,7.4698,80.6217
20220103:1630,0.0,0.0,0.0,19.26,1.31,0.0,Matale,7.4698,80.6217
20220103:1730,0.0,0.0,0.0,19.34,1.31,0.0,Matale,7.4698,80.6217
20220103:1830,0.0,0.0,0.0,19.4,1.24,0.0,Matale,7.4698,80.6217
20220103:1930,0.0,0.0,0.0,19.4,1.31,0.0,Matale,7.4698,80.6217
20220103:2030,0.0,0.0,0.0,19.41,1.52,0.0,Matale,7.4698,80.6217
20220103:2130,0.0,0.0,0.0,19.43,1.59,0.0,Matale,7.4698,80.6217
20220103:2230,0.0,0.0,0.0,19.38,1.59,0.0,Matale,7.4698,80.6217
20220103:2330,0.0,0.0,0.0,19.41,1.52,0.0,Matale,7.4698,80.6217
20220104:0030,0.0,0.0,-5.69,19.54,1.17,0.0,Matale,7.4698,80.6217
20220104:0130,19.26,41.78,7.99,19.66,1.38,0.0,Matale,7.4698,80.6217
20220104:0230,126.99,172.92,21.35,20.04,2.0,0.0,Matale,7.4698,80.6217
20220104:0330,305.39,382.97,34.12,20.45,2.28,0.0,Matale,7.4698,80.6217
20220104:0430,293.76,370.46,45.74,21.45,2.34,0.0,Matale,7.4698,80.6217
20220104:0530,304.47,384.11,55.01,21.58,2.41,0.0,Matale,7.4698,80.6217
20220104:0630,330.03,416.06,59.65,22.34,2.0,0.0,Matale,7.4698,80.6217
20220104:0730,161.4,209.81,57.62,21.55,2.34,0.0,Matale,7.4698,80.6217
20220104:0830,136.35,180.88,49.91,20.96,1.72,0.0,Matale,7.4698,80.6217
20220104:0930,185.45,239.22,39.05,20.82,1.79,0.0,Matale,7.4698,80.6217
20220104:1030,74.33,107.74,26.66,20.97,2.07,0.0,Matale,7.4698,80.6217
20220104:1130,20.43,41.08,13.49,20.66,1.38,0.0,Matale,7.4698,80.6217
20220104:1230,0.0,0.0,-0.08,20.44,1.24,0.0,Matale,7.4698,80.6217
20220104:1330,0.0,0.0,0.0,20.1,1.31,0.0,Matale,7.4698,80.6217
20220104:1430,0.0,0.0,0.0,20.03,1.31,0.0,Matale,7.4698,80.6217
20220104:1530,0.0,0.0,0.0,19.84,1.38,0.0,Matale,7.4698,80.6217
20220104:1630,0.0,0.0,0.0,19.78,1.38,0.0,Matale,7.4698,80.6217
20220104:1730,0.0,0.0,0.0,19.72,1.24,0.0,Matale,7.4698,80.6217
20220104:1830,0.0,0.0,0.0,19.64,1.03,0.0,Matale,7.4698,80.6217
20220104:1930,0.0,0.0,0.0,19.75,1.03,0.0,Matale,7.4698,80.6217
20220104:2030,0.0,0.0,0.0,19.75,1.1,0.0,Matale,7.4698,80.6217
20220104:2130,0.0,0.0,0.0,19.8,1.03,0.0,Matale,7.4698,80.6217
20220104:2230,0.0,0.0,0.0,19.77,0.97,0.0,Matale,7.4698,80.6217
20220104:2330,0.0,0.0,0.0,19.78,1.03,0.0,Matale,7.4698,80.6217
20220105:0030,0.0,0.0,-5.77,19.78,0.97,0.0,Matale,7.4698,80.6217
20220105:0130,9.75,25.8,7.91,19.87,0.97,0.0,Matale,7.4698,80.6217
