time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-4.91,24.33,2.9,0.0,Matara,5.94851,80.53528
20220101:0130,60.53,104.53,8.78,24.35,3.24,0.0,Matara,5.94851,80.53528
20220101:0230,240.07,318.63,22.19,25.94,3.31,0.0,Matara,5.94851,80.53528
20220101:0330,398.01,508.35,35.05,26.43,3.66,0.0,Matara,5.94851,80.53528
20220101:0430,540.52,693.94,46.79,26.7,3.79,0.0,Matara,5.94851,80.53528
20220101:0530,686.18,905.19,56.21,30.12,4.41,0.0,Matara,5.94851,80.53528
20220101:0630,629.87,827.47,60.91,30.7,4.69,0.0,Matara,5.94851,80.53528
20220101:0730,605.19,795.35,58.69,30.71,4.14,0.0,Matara,5.94851,80.53528
20220101:0830,555.31,729.82,50.7,30.96,3.59,0.0,Matara,5.94851,80.53528
20220101:0930,395.74,516.31,39.63,30.66,3.38,0.0,Matara,5.94851,80.53528
20220101:1030,300.48,394.13,27.11,27.97,2.83,0.0,Matara,5.94851,80.53528
20220101:1130,118.14,178.2,13.86,28.8,2.76,0.0,Matara,5.94851,80.53528
20220101:1230,0.1,6.16,0.26,28.04,2.69,0.0,Matara,5.94851,80.53528
20220101:1330,0.0,0.0,0.0,27.57,2.07,0.0,Matara,5.94851,80.53528
20220101:1430,0.0,0.0,0.0,26.32,2.34,0.0,Matara,5.94851,80.53528
20220101:1530,0.0,0.0,0.0,26.28,2.41,0.0,Matara,5.94851,80.53528
20220101:1630,0.0,0.0,0.0,25.38,2.55,0.0,Matara,5.94851,80.53528
20220101:1730,0.0,0.0,0.0,25.41,3.17,0.0,Matara,5.94851,80.53528
20220101:1830,0.0,0.0,0.0,25.57,3.31,0.0,Matara,5.94851,80.53528
20220101:1930,0.0,0.0,0.0,25.48,3.52,0.0,Matara,5.94851,80.53528
20220101:2030,0.0,0.0,0.0,25.12,3.59,0.0,Matara,5.94851,80.53528
20220101:2130,0.0,0.0,0.0,24.94,3.59,0.0,Matara,5.94851,80.53528
20220101:2230,0.0,0.0,0.0,24.96,4.21,0.0,Matara,5.94851,80.53528
20220101:2330,0.0,0.0,0.0,24.82,4.14,0.0,Matara,5.94851,80.53528
20220102:0030,0.0,0.0,-5.0,24.82,3.66,0.0,Matara,5.94851,80.53528
20220102:0130,75.67,129.75,8.7,24.75,3.45,0.0,Matara,5.94851,80.53528
20220102:0230,260.69,345.04,22.12,26.05,3.45,0.0,Matara,5.94851,80.53528
20220102:0330,436.64,560.38,34.99,26.86,3.52,0.0,Matara,5.94851,80.53528
20220102:0430,547.02,704.66,46.76,27.73,4.0,0.0,Matara,5.94851,80.53528
20220102:0530,630.24,827.13,56.22,30.27,4.48,0.0,Matara,5.94851,80.53528
20220102:0630,693.28,912.49,60.99,30.55,5.03,0.0,Matara,5.94851,80.53528
20220102:0730,655.77,858.84,58.81,30.81,5.17,0.0,Matara,5.94851,80.53528
20220102:0830,529.25,685.55,50.84,30.26,4.9,0.0,Matara,5.94851,80.53528
20220102:0930,467.36,603.68,39.77,30.22,4.62,0.0,Matara,5.94851,80.53528
20220102:1030,308.11,404.67,27.23,29.59,4.07,0.0,Matara,5.94851,80.53528
20220102:1130,133.29,198.88,13.98,29.62,3.66,0.0,Matara,5.94851,80.53528
20220102:1230,1.51,9.74,0.37,28.8,3.03,0.0,Matara,5.94851,80.53528
20220102:1330,0.0,0.0,0.0,28.11,2.69,0.0,Matara,5.94851,80.53528
20220102:1430,0.0,0.0,0.0,27.39,2.48,0.0,Matara,5.94851,80.53528
20220102:1530,0.0,0.0,0.0,26.57,2.41,0.0,Matara,5.94851,80.53528
20220102:1630,0.0,0.0,0.0,26.3,3.31,0.0,Matara,5.94851,80.53528
20220102:1730,0.0,0.0,0.0,25.95,4.07,0.0,Matara,5.94851,80.53528
20220102:1830,0.0,0.0,0.0,25.93,4.41,0.0,Matara,5.94851,80.53528
20220102:1930,0.0,0.0,0.0,25.75,4.41,0.0,Matara,5.94851,80.53528
20220102:2030,0.0,0.0,0.0,25.27,4.34,0.0,Matara,5.94851,80.53528
20220102:2130,0.0,0.0,0.0,25.19,4.0,0.0,Matara,5.94851,80.53528
20220102:2230,0.0,0.0,0.0,24.82,3.45,0.0,Matara,5.94851,80.53528
20220102:2330,0.0,0.0,0.0,24.58,3.03,0.0,Matara,5.94851,80.53528
20220103:0030,0.0,0.0,-5.1,24.56,2.69,0.0,Matara,5.94851,80.53528
20220103:0130,76.22,130.51,8.61,24.69,2.69,0.0,Matara,5.94851,80.53528
20220103:0230,259.46,343.95,22.05,25.66,2.83,0.0,Matara,5.94851,80.53528
20220103:0330,461.59,593.78,34.94,26.31,2.9,0.0,Matara,5.94851,80.53528
20220103:0430,590.13,767.16,46.74,27.34,3.17,0.0,Matara,5.94851,80.53528
20220103:0530,662.43,871.49,56.25,28.93,3.72,0.0,Matara,5.94851,80.53528
20220103:0630,639.73,837.89,61.07,29.31,4.14,0.0,Matara,5.94851,80.53528
20220103:0730,619.11,813.33,58.94,29.59,3.86,0.0,Matara,5.94851,80.53528
20220103:0830,555.01,722.5,50.97,29.04,3.59,0.0,Matara,5.94851,80.53528
20220103:0930,358.39,464.52,39.9,28.7,2.62,0.0,Matara,5.94851,80.53528
20220103:1030,283.81,373.71,27.36,26.41,1.17,0.0,Matara,5.94851,80.53528
20220103:1130,103.42,154.12,14.1,26.41,1.38,0.0,Matara,5.94851,80.53528
20220103:1230,2.15,11.03,0.48,26.4,1.66,0.0,Matara,5.94851,80.53528
20220103:1330,0.0,0.0,0.0,26.13,1.38,0.0,Matara,5.94851,80.53528
20220103:1430,0.0,0.0,0.0,25.64,0.83,0.0,Matara,5.94851,80.53528
20220103:1530,0.0,0.0,0.0,24.99,0.76,0.0,Matara,5.94851,80.53528
20220103:1630,0.0,0.0,0.0,25.11,1.03,0.0,Matara,5.94851,80.53528
20220103:1730,0.0,0.0,0.0,24.86,1.1,0.0,Matara,5.94851,80.53528
20220103:1830,0.0,0.0,0.0,24.91,0.83,0.0,Matara,5.94851,80.53528
20220103:1930,0.0,0.0,0.0,24.99,1.17,0.0,Matara,5.94851,80.53528
20220103:2030,0.0,0.0,0.0,24.75,1.1,0.0,Matara,5.94851,80.53528
20220103:2130,0.0,0.0,0.0,24.73,0.62,0.0,Matara,5.94851,80.53528
20220103:2230,0.0,0.0,0.0,23.82,0.69,0.0,Matara,5.94851,80.53528
20220103:2330,0.0,0.0,0.0,23.8,1.24,0.0,Matara,5.94851,80.53528
20220104:0030,0.0,0.0,-5.19,23.96,1.17,0.0,Matara,5.94851,80.53528
20220104:0130,68.63,115.82,8.53,24.03,1.31,0.0,Matara,5.94851,80.53528
20220104:0230,239.28,319.36,21.98,25.46,1.59,0.0,Matara,5.94851,80.53528
20220104:0330,400.58,519.82,34.89,25.8,1.52,0.0,Matara,5.94851,80.53528
20220104:0430,543.98,718.41,46.72,26.13,1.24,0.0,Matara,5.94851,80.53528
20220104:0530,588.5,792.44,56.27,27.8,0.97,0.0,Matara,5.94851,80.53528
20220104:0630,662.13,902.8,61.16,28.8,1.38,0.0,Matara,5.94851,80.53528
20220104:0730,663.39,903.37,59.07,28.19,1.31,0.0,Matara,5.94851,80.53528
20220104:0830,601.26,797.72,51.12,26.99,1.72,0.0,Matara,5.94851,80.53528
20220104:0930,425.69,555.58,40.04,27.24,1.52,0.0,Matara,5.94851,80.53528
20220104:1030,288.61,383.73,27.49,27.3,0.48,0.0,Matara,5.94851,80.53528
20220104:1130,137.82,203.74,14.22,27.07,0.62,0.0,Matara,5.94851,80.53528
20220104:1230,1.54,9.74,0.59,27.15,0.14,0.0,Matara,5.94851,80.53528
20220104:1330,0.0,0.0,0.0,26.9,0.62,0.0,Matara,5.94851,80.53528
20220104:1430,0.0,0.0,0.0,26.61,0.83,0.0,Matara,5.94851,80.53528
20220104:1530,0.0,0.0,0.0,25.51,1.03,0.0,Matara,5.94851,80.53528
20220104:1630,0.0,0.0,0.0,25.58,1.24,0.0,Matara,5.94851,80.53528
20220104:1730,0.0,0.0,0.0,25.24,1.24,0.0,Matara,5.94851,80.53528
20220104:1830,0.0,0.0,0.0,25.46,1.1,0.0,Matara,5.94851,80.53528
20220104:1930,0.0,0.0,0.0,25.42,1.17,0.0,Matara,5.94851,80.53528
20220104:2030,0.0,0.0,0.0,24.5,0.97,0.0,Matara,5.94851,80.53528
20220104:2130,0.0,0.0,0.0,24.79,1.17,0.0,Matara,5.94851,80.53528
20220104:2230,0.0,0.0,0.0,24.46,2.28,0.0,Matara,5.94851,80.53528
20220104:2330,0.0,0.0,0.0,24.14,2.48,0.0,Matara,5.94851,80.53528
20220105:0030,0.0,0.0,-5.28,23.84,2.28,0.0,Matara,5.94851,80.53528
20220105:0130,18.62,38.63,8.45,23.77,1.31,0.0,Matara,5.94851,80.53528
20220105:0230,91.25,131.79,21.92,24.81,0.69,0.0,Matara,5.94851,80.53528
20220105:0330,187.16,248.7,34.85,25.29,1.24,0.0,Matara,5.94851,80.53528
20220105:0430,301.33,393.13,46.71,25.24,1.24,0.0,Matara,5.94851,80.53528
20220105:0530,395.57,517.5,56.31,25.89,0.97,0.0,Matara,5.94851,80.53528
20220105:0630,539.46,729.22,61.25,27.14,0.28,0.0,Matara,5.94851,80.53528
20220105:0730,512.25,674.9,59.21,26.8,1.24,0.0,Matara,5.94851,80.53528
20220105:0830,530.52,696.56,51.26,26.59,1.52,0.0,Matara,5.94851,80.53528
20220105:0930,513.25,671.52,40.18,26.93,1.79,0.0,Matara,5.94851,80.53528
20220105:1030,323.88,424.24,27.62,27.09,2.07,0.0,Matara,5.94851,80.53528
20220105:1130,127.68,186.43,14.35,25.59,1.93,0.0,Matara,5.94851,80.53528
