time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-4.52,22.96,2.41,0.0,Monaragala,6.8714,81.3487
20220101:0130,26.63,50.6,9.13,22.82,2.07,0.0,Monaragala,6.8714,81.3487
20220101:0230,172.44,231.11,22.47,23.27,1.79,0.0,Monaragala,6.8714,81.3487
20220101:0330,378.95,483.17,35.2,24.47,2.34,0.0,Monaragala,6.8714,81.3487
20220101:0430,451.67,576.72,46.73,25.71,2.69,0.0,Monaragala,6.8714,81.3487
20220101:0530,554.79,719.68,55.8,26.68,2.62,0.0,Monaragala,6.8714,81.3487
20220101:0630,564.04,732.94,60.06,27.54,3.24,0.0,Monaragala,6.8714,81.3487
20220101:0730,486.49,626.62,57.53,27.3,3.24,0.0,Monaragala,6.8714,81.3487
20220101:0830,465.57,600.59,49.48,27.47,2.97,0.0,Monaragala,6.8714,81.3487
20220101:0930,348.02,446.04,38.43,27.23,3.31,0.0,Monaragala,6.8714,81.3487
20220101:1030,144.53,195.95,25.95,25.49,3.72,0.0,Monaragala,6.8714,81.3487
20220101:1130,24.94,46.89,12.74,24.54,2.62,0.0,Monaragala,6.8714,81.3487
20220101:1230,0.0,0.0,-0.85,23.94,2.07,0.0,Monaragala,6.8714,81.3487
20220101:1330,0.0,0.0,0.0,23.62,2.14,0.0,Monaragala,6.8714,81.3487
20220101:1430,0.0,0.0,0.0,23.33,2.21,0.0,Monaragala,6.8714,81.3487
20220101:1530,0.0,0.0,0.0,23.16,2.34,0.0,Monaragala,6.8714,81.3487
20220101:1630,0.0,0.0,0.0,23.23,2.55,0.0,Monaragala,6.8714,81.3487
20220101:1730,0.0,0.0,0.0,23.22,2.34,0.0,Monaragala,6.8714,81.3487
20220101:1830,0.0,0.0,0.0,23.17,2.28,0.0,Monaragala,6.8714,81.3487
20220101:1930,0.0,0.0,0.0,23.58,2.97,0.0,Monaragala,6.8714,81.3487
20220101:2030,0.0,0.0,0.0,23.4,2.62,0.0,Monaragala,6.8714,81.3487
20220101:2130,0.0,0.0,0.0,23.22,2.28,0.0,Monaragala,6.8714,81.3487
20220101:2230,0.0,0.0,0.0,23.13,2.14,0.0,Monaragala,6.8714,81.3487
20220101:2330,0.0,0.0,0.0,23.1,2.07,0.0,Monaragala,6.8714,81.3487
20220102:0030,0.0,0.0,-4.61,23.0,1.93,0.0,Monaragala,6.8714,81.3487
20220102:0130,36.15,65.46,9.05,22.8,1.86,0.0,Monaragala,6.8714,81.3487
20220102:0230,134.37,184.44,22.4,23.71,1.86,0.0,Monaragala,6.8714,81.3487
20220102:0330,243.43,313.58,35.15,24.82,3.31,0.0,Monaragala,6.8714,81.3487
20220102:0430,405.38,514.29,46.71,25.41,3.52,0.0,Monaragala,6.8714,81.3487
20220102:0530,453.71,575.62,55.82,26.24,3.93,0.0,Monaragala,6.8714,81.3487
20220102:0630,426.59,543.22,60.13,26.21,3.79,0.0,Monaragala,6.8714,81.3487
20220102:0730,506.36,652.14,57.65,26.84,3.24,0.0,Monaragala,6.8714,81.3487
20220102:0830,402.87,517.24,49.61,27.45,3.38,0.0,Monaragala,6.8714,81.3487
20220102:0930,370.68,472.81,38.57,27.12,3.72,0.0,Monaragala,6.8714,81.3487
20220102:1030,228.95,299.79,26.07,25.87,3.86,0.0,Monaragala,6.8714,81.3487
20220102:1130,60.22,99.3,12.86,25.04,3.31,0.0,Monaragala,6.8714,81.3487
20220102:1230,0.0,0.0,-0.74,24.28,2.97,0.0,Monaragala,6.8714,81.3487
20220102:1330,0.0,0.0,0.0,23.58,2.9,0.0,Monaragala,6.8714,81.3487
20220102:1430,0.0,0.0,0.0,23.38,2.76,0.0,Monaragala,6.8714,81.3487
20220102:1530,0.0,0.0,0.0,23.16,2.76,0.0,Monaragala,6.8714,81.3487
20220102:1630,0.0,0.0,0.0,23.06,2.69,0.0,Monaragala,6.8714,81.3487
20220102:1730,0.0,0.0,0.0,23.2,2.62,0.0,Monaragala,6.8714,81.3487
20220102:1830,0.0,0.0,0.0,23.17,2.55,0.0,Monaragala,6.8714,81.3487
20220102:1930,0.0,0.0,0.0,23.16,2.62,0.0,Monaragala,6.8714,81.3487
20220102:2030,0.0,0.0,0.0,22.87,2.62,0.0,Monaragala,6.8714,81.3487
20220102:2130,0.0,0.0,0.0,22.63,2.48,0.0,Monaragala,6.8714,81.3487
20220102:2230,0.0,0.0,0.0,22.63,2.55,0.0,Monaragala,6.8714,81.3487
20220102:2330,0.0,0.0,0.0,22.5,2.48,0.0,Monaragala,6.8714,81.3487
20220103:0030,0.0,0.0,-4.7,22.7,2.41,0.0,Monaragala,6.8714,81.3487
20220103:0130,56.96,97.52,8.97,22.56,2.55,0.0,Monaragala,6.8714,81.3487
20220103:0230,238.13,312.63,22.33,23.43,2.83,0.0,Monaragala,6.8714,81.3487
20220103:0330,286.1,364.74,35.1,24.51,4.07,0.0,Monaragala,6.8714,81.3487
20220103:0430,477.12,604.33,46.69,25.18,4.28,0.0,Monaragala,6.8714,81.3487
