time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.92,24.26,4.48,0.0,Mullaitivu,9.268,80.815
20220101:0130,26.4,52.83,7.65,24.29,4.62,0.0,Mullaitivu,9.268,80.815
20220101:0230,183.46,246.22,20.85,24.96,4.83,0.0,Mullaitivu,9.268,80.815
20220101:0330,288.1,366.71,33.39,25.35,4.55,0.0,Mullaitivu,9.268,80.815
20220101:0430,391.99,494.38,44.66,25.47,4.69,0.0,Mullaitivu,9.268,80.815
20220101:0530,541.09,694.74,53.44,26.55,3.66,0.0,Mullaitivu,9.268,80.815
20220101:0630,210.15,274.5,57.63,26.62,5.1,0.0,Mullaitivu,9.268,80.815
20220101:0730,275.52,352.54,55.49,25.54,4.41,0.0,Mullaitivu,9.268,80.815
20220101:0830,214.7,279.89,48.0,25.51,4.41,0.0,Mullaitivu,9.268,80.815
20220101:0930,165.36,219.33,37.39,25.59,4.69,0.0,Mullaitivu,9.268,80.815
20220101:1030,115.68,159.67,25.19,24.11,4.69,0.0,Mullaitivu,9.268,80.815
20220101:1130,25.09,46.77,12.17,24.3,4.69,0.0,Mullaitivu,9.268,80.815
20220101:1230,0.0,0.0,-1.3,24.41,4.9,0.0,Mullaitivu,9.268,80.815
20220101:1330,0.0,0.0,0.0,24.46,4.76,0.0,Mullaitivu,9.268,80.815
20220101:1430,0.0,0.0,0.0,24.56,4.97,0.0,Mullaitivu,9.268,80.815
20220101:1530,0.0,0.0,0.0,24.91,5.24,0.0,Mullaitivu,9.268,80.815
20220101:1630,0.0,0.0,0.0,24.67,5.59,0.0,Mullaitivu,9.268,80.815
20220101:1730,0.0,0.0,0.0,24.63,5.45,0.0,Mullaitivu,9.268,80.815
20220101:1830,0.0,0.0,0.0,24.46,5.1,0.0,Mullaitivu,9.268,80.815
20220101:1930,0.0,0.0,0.0,24.4,5.24,0.0,Mullaitivu,9.268,80.815
20220101:2030,0.0,0.0,0.0,24.24,5.52,0.0,Mullaitivu,9.268,80.815
20220101:2130,0.0,0.0,0.0,24.14,4.97,0.0,Mullaitivu,9.268,80.815
20220101:2230,0.0,0.0,0.0,24.76,5.38,0.0,Mullaitivu,9.268,80.815
20220101:2330,0.0,0.0,0.0,25.22,5.66,0.0,Mullaitivu,9.268,80.815
20220102:0030,0.0,0.0,-6.01,25.44,5.86,0.0,Mullaitivu,9.268,80.815
20220102:0130,27.86,55.94,7.57,25.42,5.86,0.0,Mullaitivu,9.268,80.815
20220102:0230,139.33,191.79,20.79,25.6,5.38,0.0,Mullaitivu,9.268,80.815
20220102:0330,262.99,336.66,33.34,25.75,5.66,0.0,Mullaitivu,9.268,80.815
20220102:0430,279.93,355.04,44.64,25.65,5.72,0.0,Mullaitivu,9.268,80.815
20220102:0530,325.04,410.57,53.46,26.32,6.07,0.0,Mullaitivu,9.268,80.815
20220102:0630,525.2,661.64,57.7,26.35,6.0,0.0,Mullaitivu,9.268,80.815
20220102:0730,470.23,589.43,55.61,25.74,5.72,0.0,Mullaitivu,9.268,80.815
20220102:0830,375.7,473.37,48.13,25.72,5.59,0.0,Mullaitivu,9.268,80.815
20220102:0930,326.43,413.35,37.52,25.64,5.66,0.0,Mullaitivu,9.268,80.815
20220102:1030,92.19,132.31,25.32,26.53,5.24,0.0,Mullaitivu,9.268,80.815
20220102:1130,35.69,62.97,12.29,25.77,5.38,0.0,Mullaitivu,9.268,80.815
20220102:1230,0.0,0.0,-1.19,25.69,5.59,0.0,Mullaitivu,9.268,80.815
20220102:1330,0.0,0.0,0.0,25.57,5.79,0.0,Mullaitivu,9.268,80.815
20220102:1430,0.0,0.0,0.0,25.13,6.0,0.0,Mullaitivu,9.268,80.815
20220102:1530,0.0,0.0,0.0,25.51,5.79,0.0,Mullaitivu,9.268,80.815
20220102:1630,0.0,0.0,0.0,25.5,6.07,0.0,Mullaitivu,9.268,80.815
20220102:1730,0.0,0.0,0.0,25.16,5.86,0.0,Mullaitivu,9.268,80.815
20220102:1830,0.0,0.0,0.0,25.23,5.66,0.0,Mullaitivu,9.268,80.815
20220102:1930,0.0,0.0,0.0,25.07,5.31,0.0,Mullaitivu,9.268,80.815
20220102:2030,0.0,0.0,0.0,24.71,5.52,0.0,Mullaitivu,9.268,80.815
20220102:2130,0.0,0.0,0.0,24.75,5.45,0.0,Mullaitivu,9.268,80.815
20220102:2230,0.0,0.0,0.0,24.89,5.66,0.0,Mullaitivu,9.268,80.815
20220102:2330,0.0,0.0,0.0,24.94,5.66,0.0,Mullaitivu,9.268,80.815
20220103:0030,0.0,0.0,-6.1,25.0,6.28,0.0,Mullaitivu,9.268,80.815
20220103:0130,44.26,81.78,7.49,25.12,6.21,0.0,Mullaitivu,9.268,80.815
20220103:0230,155.68,211.94,20.72,25.55,6.21,0.0,Mullaitivu,9.268,80.815
20220103:0330,405.27,510.24,33.3,25.61,6.21,0.0,Mullaitivu,9.268,80.815
20220103:0430,471.87,591.25,44.62,25.98,6.34,0.0,Mullaitivu,9.268,80.815
20220103:0530,495.13,619.8,53.49,26.3,6.83,0.0,Mullaitivu,9.268,80.815
20220103:0630,505.23,635.44,57.79,26.55,6.62,0.0,Mullaitivu,9.268,80.815
20220103:0730,564.78,713.37,55.74,26.97,6.62,0.0,Mullaitivu,9.268,80.815
20220103:0830,547.84,690.35,48.27,26.94,6.55,0.0,Mullaitivu,9.268,80.815
20220103:0930,353.86,445.92,37.66,26.88,6.76,0.0,Mullaitivu,9.268,80.815
20220103:1030,233.35,304.21,25.45,26.3,6.55,0.0,Mullaitivu,9.268,80.815
20220103:1130,97.52,150.22,12.41,26.49,6.28,0.0,Mullaitivu,9.268,80.815
20220103:1230,0.0,0.0,-1.07,26.64,6.21,0.0,Mullaitivu,9.268,80.815
20220103:1330,0.0,0.0,0.0,26.78,6.14,0.0,Mullaitivu,9.268,80.815
20220103:1430,0.0,0.0,0.0,26.56,6.0,0.0,Mullaitivu,9.268,80.815
20220103:1530,0.0,0.0,0.0,26.59,5.93,0.0,Mullaitivu,9.268,80.815
20220103:1630,0.0,0.0,0.0,26.61,5.79,0.0,Mullaitivu,9.268,80.815
20220103:1730,0.0,0.0,0.0,26.41,5.79,0.0,Mullaitivu,9.268,80.815
20220103:1830,0.0,0.0,0.0,26.38,5.72,0.0,Mullaitivu,9.268,80.815
20220103:1930,0.0,0.0,0.0,26.34,5.72,0.0,Mullaitivu,9.268,80.815
20220103:2030,0.0,0.0,0.0,26.1,5.66,0.0,Mullaitivu,9.268,80.815
20220103:2130,0.0,0.0,0.0,26.07,5.66,0.0,Mullaitivu,9.268,80.815
20220103:2230,0.0,0.0,0.0,25.87,4.97,0.0,Mullaitivu,9.268,80.815
20220103:2330,0.0,0.0,0.0,25.91,5.03,0.0,Mullaitivu,9.268,80.815
20220104:0030,0.0,0.0,-6.19,25.94,5.17,0.0,Mullaitivu,9.268,80.815
20220104:0130,47.13,89.12,7.42,25.95,5.31,0.0,Mullaitivu,9.268,80.815
20220104:0230,196.11,263.57,20.66,26.56,5.59,0.0,Mullaitivu,9.268,80.815
20220104:0330,359.35,455.29,33.26,26.58,6.34,0.0,Mullaitivu,9.268,80.815
20220104:0430,534.43,673.54,44.62,26.47,6.62,0.0,Mullaitivu,9.268,80.815
20220104:0530,636.72,809.43,53.53,27.21,6.76,0.0,Mullaitivu,9.268,80.815
20220104:0630,566.59,716.08,57.88,27.38,6.76,0.0,Mullaitivu,9.268,80.815
20220104:0730,604.61,766.28,55.87,27.25,6.9,0.0,Mullaitivu,9.268,80.815
20220104:0830,586.44,741.95,48.41,27.17,6.69,0.0,Mullaitivu,9.268,80.815
20220104:0930,402.71,508.7,37.8,27.23,6.41,0.0,Mullaitivu,9.268,80.815
20220104:1030,271.11,351.33,25.58,26.6,6.28,0.0,Mullaitivu,9.268,80.815
20220104:1130,111.89,169.82,12.54,26.57,6.07,0.0,Mullaitivu,9.268,80.815
20220104:1230,0.0,0.0,-0.95,26.63,5.45,0.0,Mullaitivu,9.268,80.815
20220104:1330,0.0,0.0,0.0,26.67,5.1,0.0,Mullaitivu,9.268,80.815
20220104:1430,0.0,0.0,0.0,26.53,4.9,0.0,Mullaitivu,9.268,80.815
20220104:1530,0.0,0.0,0.0,26.11,4.9,0.0,Mullaitivu,9.268,80.815
20220104:1630,0.0,0.0,0.0,26.26,5.24,0.0,Mullaitivu,9.268,80.815
20220104:1730,0.0,0.0,0.0,26.17,5.31,0.0,Mullaitivu,9.268,80.815
20220104:1830,0.0,0.0,0.0,26.28,4.9,0.0,Mullaitivu,9.268,80.815
20220104:1930,0.0,0.0,0.0,26.27,4.28,0.0,Mullaitivu,9.268,80.815
20220104:2030,0.0,0.0,0.0,26.06,3.86,0.0,Mullaitivu,9.268,80.815
20220104:2130,0.0,0.0,0.0,25.85,4.07,0.0,Mullaitivu,9.268,80.815
20220104:2230,0.0,0.0,0.0,25.76,4.14,0.0,Mullaitivu,9.268,80.815
20220104:2330,0.0,0.0,0.0,25.73,4.62,0.0,Mullaitivu,9.268,80.815
20220105:0030,0.0,0.0,-6.27,25.72,4.69,0.0,Mullaitivu,9.268,80.815
20220105:0130,31.15,64.69,7.34,25.7,4.48,0.0,Mullaitivu,9.268,80.815
20220105:0230,166.69,226.8,20.61,25.85,4.55,0.0,Mullaitivu,9.268,80.815
20220105:0330,330.81,419.32,33.22,25.62,5.03,0.0,Mullaitivu,9.268,80.815
20220105:0430,399.12,500.26,44.61,25.39,5.17,0.0,Mullaitivu,9.268,80.815
20220105:0530,584.93,743.01,53.57,25.44,4.76,0.0,Mullaitivu,9.268,80.815
20220105:0630,572.26,730.31,57.98,26.49,4.62,0.0,Mullaitivu,9.268,80.815
20220105:0730,563.01,719.81,56.01,26.43,4.28,0.0,Mullaitivu,9.268,80.815
20220105:0830,451.16,573.02,48.56,26.89,4.14,0.0,Mullaitivu,9.268,80.815
20220105:0930,413.57,526.46,37.94,26.65,4.0,0.0,Mullaitivu,9.268,80.815
20220105:1030,265.0,345.05,25.72,26.19,4.14,0.0,Mullaitivu,9.268,80.815
20220105:1130,85.44,132.66,12.66,25.62,4.55,0.0,Mullaitivu,9.268,80.815
20220105:1230,0.0,0.0,-0.84,25.42,4.55,0.0,Mullaitivu,9.268,80.815
20220105:1330,0.0,0.0,0.0,25.54,4.9,0.0,Mullaitivu,9.268,80.815
20220105:1430,0.0,0.0,0.0,25.2,4.76,0.0,Mullaitivu,9.268,80.815
20220105:1530,0.0,0.0,0.0,25.06,4.97,0.0,Mullaitivu,9.268,80.815
20220105:1630,0.0,0.0,0.0,25.06,5.1,0.0,Mullaitivu,9.268,80.815
20220105:1730,0.0,0.0,0.0,25.21,5.1,0.0,Mullaitivu,9.268,80.815
20220105:1830,0.0,0.0,0.0,25.22,5.03,0.0,Mullaitivu,9.268,80.815
20220105:1930,0.0,0.0,0.0,25.3,4.83,0.0,Mullaitivu,9.268,80.815
20220105:2030,0.0,0.0,0.0,25.07,4.69,0.0,Mullaitivu,9.268,80.815
20220105:2130,0.0,0.0,0.0,25.18,4.69,0.0,Mullaitivu,9.268,80.815
20220105:2230,0.0,0.0,0.0,25.35,5.03,0.0,Mullaitivu,9.268,80.815
20220105:2330,0.0,0.0,0.0,25.4,5.24,0.0,Mullaitivu,9.268,80.815
20220106:0030,0.0,0.0,-6.36,25.47,5.38,0.0,Mullaitivu,9.268,80.815
