time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.07,15.88,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220101:0130,42.23,75.13,8.58,15.95,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220101:0230,190.68,247.18,21.93,16.8,1.52,0.0,Nuwara Eliya,6.97078,80.78286
20220101:0330,388.72,481.43,34.68,17.91,1.86,0.0,Nuwara Eliya,6.97078,80.78286
20220101:0430,494.42,620.5,46.26,19.12,1.59,0.0,Nuwara Eliya,6.97078,80.78286
20220101:0530,597.66,759.77,55.44,20.08,1.86,0.0,Nuwara Eliya,6.97078,80.78286
20220101:0630,581.68,741.72,59.92,20.84,1.86,0.0,Nuwara Eliya,6.97078,80.78286
20220101:0730,509.65,644.11,57.65,20.85,1.93,0.0,Nuwara Eliya,6.97078,80.78286
20220101:0830,517.19,655.28,49.77,20.57,1.66,0.0,Nuwara Eliya,6.97078,80.78286
20220101:0930,323.46,406.58,38.82,20.68,1.31,0.0,Nuwara Eliya,6.97078,80.78286
20220101:1030,135.47,181.3,26.39,19.44,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220101:1130,41.9,67.94,13.2,17.7,1.52,0.0,Nuwara Eliya,6.97078,80.78286
20220101:1230,0.0,0.0,-0.37,17.02,1.24,0.0,Nuwara Eliya,6.97078,80.78286
20220101:1330,0.0,0.0,0.0,16.62,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220101:1430,0.0,0.0,0.0,16.59,1.45,0.0,Nuwara Eliya,6.97078,80.78286
20220101:1530,0.0,0.0,0.0,16.48,1.38,0.0,Nuwara Eliya,6.97078,80.78286
20220101:1630,0.0,0.0,0.0,16.72,2.14,0.0,Nuwara Eliya,6.97078,80.78286
20220101:1730,0.0,0.0,0.0,16.59,1.72,0.0,Nuwara Eliya,6.97078,80.78286
20220101:1830,0.0,0.0,0.0,16.38,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220101:1930,0.0,0.0,0.0,16.52,1.45,0.0,Nuwara Eliya,6.97078,80.78286
20220101:2030,0.0,0.0,0.0,16.41,1.31,0.0,Nuwara Eliya,6.97078,80.78286
20220101:2130,0.0,0.0,0.0,16.44,1.66,0.0,Nuwara Eliya,6.97078,80.78286
20220101:2230,0.0,0.0,0.0,16.32,1.31,0.0,Nuwara Eliya,6.97078,80.78286
20220101:2330,0.0,0.0,0.0,16.7,1.72,0.0,Nuwara Eliya,6.97078,80.78286
20220102:0030,0.0,0.0,-5.17,16.36,1.24,0.0,Nuwara Eliya,6.97078,80.78286
20220102:0130,62.49,106.59,8.5,16.26,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220102:0230,231.4,297.4,21.86,17.33,2.0,0.0,Nuwara Eliya,6.97078,80.78286
20220102:0330,343.51,427.28,34.63,18.72,2.14,0.0,Nuwara Eliya,6.97078,80.78286
20220102:0430,505.93,632.13,46.24,19.37,2.21,0.0,Nuwara Eliya,6.97078,80.78286
20220102:0530,555.35,701.48,55.46,19.83,1.86,0.0,Nuwara Eliya,6.97078,80.78286
20220102:0630,569.86,724.69,59.99,20.6,1.86,0.0,Nuwara Eliya,6.97078,80.78286
20220102:0730,637.97,820.03,57.77,21.11,2.14,0.0,Nuwara Eliya,6.97078,80.78286
20220102:0830,530.85,672.84,49.91,21.38,2.14,0.0,Nuwara Eliya,6.97078,80.78286
20220102:0930,323.94,406.94,38.96,21.02,2.0,0.0,Nuwara Eliya,6.97078,80.78286
20220102:1030,158.72,209.14,26.51,20.06,1.86,0.0,Nuwara Eliya,6.97078,80.78286
20220102:1130,46.37,75.9,13.32,18.39,1.93,0.0,Nuwara Eliya,6.97078,80.78286
20220102:1230,0.0,0.0,-0.26,17.86,1.66,0.0,Nuwara Eliya,6.97078,80.78286
20220102:1330,0.0,0.0,0.0,17.27,1.59,0.0,Nuwara Eliya,6.97078,80.78286
20220102:1430,0.0,0.0,0.0,16.96,1.66,0.0,Nuwara Eliya,6.97078,80.78286
20220102:1530,0.0,0.0,0.0,16.76,1.45,0.0,Nuwara Eliya,6.97078,80.78286
20220102:1630,0.0,0.0,0.0,16.58,1.45,0.0,Nuwara Eliya,6.97078,80.78286
20220102:1730,0.0,0.0,0.0,16.53,1.38,0.0,Nuwara Eliya,6.97078,80.78286
20220102:1830,0.0,0.0,0.0,16.44,1.38,0.0,Nuwara Eliya,6.97078,80.78286
20220102:1930,0.0,0.0,0.0,16.67,1.79,0.0,Nuwara Eliya,6.97078,80.78286
20220102:2030,0.0,0.0,0.0,16.76,2.0,0.0,Nuwara Eliya,6.97078,80.78286
20220102:2130,0.0,0.0,0.0,16.5,1.38,0.0,Nuwara Eliya,6.97078,80.78286
20220102:2230,0.0,0.0,0.0,16.46,1.38,0.0,Nuwara Eliya,6.97078,80.78286
20220102:2330,0.0,0.0,0.0,16.3,1.31,0.0,Nuwara Eliya,6.97078,80.78286
20220103:0030,0.0,0.0,-5.26,16.18,1.31,0.0,Nuwara Eliya,6.97078,80.78286
20220103:0130,68.57,115.45,8.42,15.9,1.31,0.0,Nuwara Eliya,6.97078,80.78286
20220103:0230,267.62,341.2,21.79,16.88,2.28,0.0,Nuwara Eliya,6.97078,80.78286
20220103:0330,387.78,480.05,34.58,18.28,2.48,0.0,Nuwara Eliya,6.97078,80.78286
20220103:0430,536.64,670.06,46.22,19.34,2.69,0.0,Nuwara Eliya,6.97078,80.78286
20220103:0530,608.95,769.38,55.49,20.47,2.83,0.0,Nuwara Eliya,6.97078,80.78286
20220103:0630,587.7,746.45,60.07,20.87,2.28,0.0,Nuwara Eliya,6.97078,80.78286
20220103:0730,473.16,593.42,57.89,20.33,2.07,0.0,Nuwara Eliya,6.97078,80.78286
20220103:0830,322.65,404.16,50.04,19.95,1.86,0.0,Nuwara Eliya,6.97078,80.78286
20220103:0930,190.54,244.87,39.09,18.95,1.72,0.0,Nuwara Eliya,6.97078,80.78286
20220103:1030,148.5,195.24,26.64,18.12,1.79,0.0,Nuwara Eliya,6.97078,80.78286
20220103:1130,32.47,55.59,13.44,18.09,1.72,0.0,Nuwara Eliya,6.97078,80.78286
20220103:1230,0.0,0.0,-0.14,17.3,1.52,0.0,Nuwara Eliya,6.97078,80.78286
20220103:1330,0.0,0.0,0.0,16.75,1.24,0.0,Nuwara Eliya,6.97078,80.78286
20220103:1430,0.0,0.0,0.0,16.63,1.24,0.0,Nuwara Eliya,6.97078,80.78286
20220103:1530,0.0,0.0,0.0,16.67,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220103:1630,0.0,0.0,0.0,16.6,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220103:1730,0.0,0.0,0.0,16.55,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220103:1830,0.0,0.0,0.0,16.58,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220103:1930,0.0,0.0,0.0,16.29,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220103:2030,0.0,0.0,0.0,16.22,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220103:2130,0.0,0.0,0.0,16.28,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220103:2230,0.0,0.0,0.0,16.24,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220103:2330,0.0,0.0,0.0,16.13,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220104:0030,0.0,0.0,-5.35,16.11,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220104:0130,53.69,90.3,8.34,16.26,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220104:0230,225.41,290.22,21.72,17.06,1.66,0.0,Nuwara Eliya,6.97078,80.78286
20220104:0330,415.66,517.24,34.53,18.36,2.0,0.0,Nuwara Eliya,6.97078,80.78286
20220104:0430,491.75,615.97,46.2,19.4,1.93,0.0,Nuwara Eliya,6.97078,80.78286
20220104:0530,438.46,551.69,55.52,19.96,1.66,0.0,Nuwara Eliya,6.97078,80.78286
20220104:0630,515.78,649.03,60.17,19.88,1.86,0.0,Nuwara Eliya,6.97078,80.78286
20220104:0730,364.95,455.74,58.03,20.63,2.0,0.0,Nuwara Eliya,6.97078,80.78286
20220104:0830,266.8,335.34,50.19,18.84,1.45,0.0,Nuwara Eliya,6.97078,80.78286
20220104:0930,241.03,304.63,39.23,18.69,1.31,0.0,Nuwara Eliya,6.97078,80.78286
20220104:1030,170.31,222.02,26.77,18.87,1.31,0.0,Nuwara Eliya,6.97078,80.78286
