time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.24,22.85,1.31,0.0,Polonnaruwa,7.93965,81.00274
20220101:0130,18.79,40.65,8.37,23.03,1.03,0.0,Polonnaruwa,7.93965,81.00274
20220101:0230,76.24,112.36,21.66,23.63,1.17,0.0,Polonnaruwa,7.93965,81.00274
20220101:0330,210.19,274.95,34.31,24.39,1.38,0.0,Polonnaruwa,7.93965,81.00274
20220101:0430,423.5,545.62,45.74,25.38,1.59,0.0,Polonnaruwa,7.93965,81.00274
20220101:0530,397.81,514.74,54.7,26.92,2.0,0.0,Polonnaruwa,7.93965,81.00274
20220101:0630,471.11,611.29,58.97,27.14,2.28,0.0,Polonnaruwa,7.93965,81.00274
20220101:0730,418.11,534.23,56.67,27.05,3.31,0.0,Polonnaruwa,7.93965,81.00274
20220101:0830,172.7,229.09,48.9,25.99,3.03,0.0,Polonnaruwa,7.93965,81.00274
20220101:0930,170.37,226.63,38.06,26.04,2.55,0.0,Polonnaruwa,7.93965,81.00274
20220101:1030,54.45,84.87,25.71,25.03,2.62,0.0,Polonnaruwa,7.93965,81.00274
20220101:1130,7.46,20.47,12.58,23.94,1.93,0.0,Polonnaruwa,7.93965,81.00274
20220101:1230,0.0,0.0,-0.95,23.4,1.45,0.0,Polonnaruwa,7.93965,81.00274
20220101:1330,0.0,0.0,0.0,23.31,0.83,0.0,Polonnaruwa,7.93965,81.00274
20220101:1430,0.0,0.0,0.0,23.21,0.62,0.0,Polonnaruwa,7.93965,81.00274
20220101:1530,0.0,0.0,0.0,23.34,0.97,0.0,Polonnaruwa,7.93965,81.00274
20220101:1630,0.0,0.0,0.0,23.38,1.72,0.0,Polonnaruwa,7.93965,81.00274
20220101:1730,0.0,0.0,0.0,23.33,1.38,0.0,Polonnaruwa,7.93965,81.00274
20220101:1830,0.0,0.0,0.0,23.25,1.52,0.0,Polonnaruwa,7.93965,81.00274
20220101:1930,0.0,0.0,0.0,23.3,2.21,0.0,Polonnaruwa,7.93965,81.00274
20220101:2030,0.0,0.0,0.0,23.26,2.07,0.0,Polonnaruwa,7.93965,81.00274
20220101:2130,0.0,0.0,0.0,23.15,1.59,0.0,Polonnaruwa,7.93965,81.00274
20220101:2230,0.0,0.0,0.0,23.13,1.03,0.0,Polonnaruwa,7.93965,81.00274
20220101:2330,0.0,0.0,0.0,23.09,0.48,0.0,Polonnaruwa,7.93965,81.00274
20220102:0030,0.0,0.0,-5.34,23.38,0.48,0.0,Polonnaruwa,7.93965,81.00274
20220102:0130,9.18,23.21,8.29,23.44,0.55,0.0,Polonnaruwa,7.93965,81.00274
20220102:0230,58.21,89.55,21.59,23.69,1.03,0.0,Polonnaruwa,7.93965,81.00274
20220102:0330,124.46,170.17,34.26,24.07,1.79,0.0,Polonnaruwa,7.93965,81.00274
20220102:0430,130.27,176.95,45.71,24.5,2.48,0.0,Polonnaruwa,7.93965,81.00274
20220102:0530,287.34,367.62,54.72,24.68,2.48,0.0,Polonnaruwa,7.93965,81.00274
20220102:0630,379.37,485.89,59.04,25.81,2.69,0.0,Polonnaruwa,7.93965,81.00274
20220102:0730,368.02,474.08,56.79,26.83,2.34,0.0,Polonnaruwa,7.93965,81.00274
20220102:0830,305.65,390.88,49.03,25.92,2.62,0.0,Polonnaruwa,7.93965,81.00274
20220102:0930,215.9,281.95,38.19,25.74,1.72,0.0,Polonnaruwa,7.93965,81.00274
20220102:1030,82.0,119.67,25.84,25.41,1.86,0.0,Polonnaruwa,7.93965,81.00274
20220102:1130,38.88,67.46,12.7,24.19,1.93,0.0,Polonnaruwa,7.93965,81.00274
20220102:1230,0.0,0.0,-0.84,24.04,1.79,0.0,Polonnaruwa,7.93965,81.00274
20220102:1330,0.0,0.0,0.0,23.61,1.79,0.0,Polonnaruwa,7.93965,81.00274
20220102:1430,0.0,0.0,0.0,23.5,1.38,0.0,Polonnaruwa,7.93965,81.00274
20220102:1530,0.0,0.0,0.0,23.5,1.59,0.0,Polonnaruwa,7.93965,81.00274
20220102:1630,0.0,0.0,0.0,23.53,2.07,0.0,Polonnaruwa,7.93965,81.00274
20220102:1730,0.0,0.0,0.0,23.39,2.34,0.0,Polonnaruwa,7.93965,81.00274
20220102:1830,0.0,0.0,0.0,23.23,2.0,0.0,Polonnaruwa,7.93965,81.00274
20220102:1930,0.0,0.0,0.0,22.91,1.79,0.0,Polonnaruwa,7.93965,81.00274
