time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-6.35,24.36,3.24,0.0,Puttalam,8.0362,79.8283
20220101:0130,46.87,86.17,7.28,24.35,3.24,0.0,Puttalam,8.0362,79.8283
20220101:0230,177.96,240.27,20.59,24.67,3.1,0.0,Puttalam,8.0362,79.8283
20220101:0330,315.25,401.12,33.3,25.81,5.38,0.0,Puttalam,8.0362,79.8283
20220101:0430,364.51,462.01,44.84,26.99,5.52,0.0,Puttalam,8.0362,79.8283
20220101:0530,407.93,522.71,54.05,27.79,4.9,0.0,Puttalam,8.0362,79.8283
20220101:0630,525.81,677.07,58.76,28.63,4.21,0.0,Puttalam,8.0362,79.8283
20220101:0730,496.3,644.38,56.99,28.95,3.52,0.0,Puttalam,8.0362,79.8283
20220101:0830,458.38,595.52,49.57,29.07,3.45,0.0,Puttalam,8.0362,79.8283
20220101:0930,265.79,339.96,38.92,26.45,4.76,0.0,Puttalam,8.0362,79.8283
20220101:1030,196.93,260.4,26.66,26.62,4.69,0.0,Puttalam,8.0362,79.8283
20220101:1130,52.33,86.06,13.59,26.23,4.41,0.0,Puttalam,8.0362,79.8283
20220101:1230,0.0,5.02,0.08,25.31,3.93,0.0,Puttalam,8.0362,79.8283
20220101:1330,0.0,0.0,0.0,24.7,3.52,0.0,Puttalam,8.0362,79.8283
20220101:1430,0.0,0.0,0.0,24.28,3.59,0.0,Puttalam,8.0362,79.8283
20220101:1530,0.0,0.0,0.0,24.0,3.38,0.0,Puttalam,8.0362,79.8283
20220101:1630,0.0,0.0,0.0,23.94,3.38,0.0,Puttalam,8.0362,79.8283
20220101:1730,0.0,0.0,0.0,23.9,2.9,0.0,Puttalam,8.0362,79.8283
20220101:1830,0.0,0.0,0.0,23.9,2.97,0.0,Puttalam,8.0362,79.8283
20220101:1930,0.0,0.0,0.0,23.87,3.52,0.0,Puttalam,8.0362,79.8283
20220101:2030,0.0,0.0,0.0,23.85,3.52,0.0,Puttalam,8.0362,79.8283
20220101:2130,0.0,0.0,0.0,23.85,3.45,0.0,Puttalam,8.0362,79.8283
20220101:2230,0.0,0.0,0.0,23.8,3.31,0.0,Puttalam,8.0362,79.8283
20220101:2330,0.0,0.0,0.0,23.79,2.9,0.0,Puttalam,8.0362,79.8283
20220102:0030,0.0,0.0,-6.45,23.78,2.76,0.0,Puttalam,8.0362,79.8283
20220102:0130,12.57,30.35,7.19,23.78,2.83,0.0,Puttalam,8.0362,79.8283
20220102:0230,97.5,139.35,20.52,24.0,3.17,0.0,Puttalam,8.0362,79.8283
20220102:0330,211.71,274.74,33.24,24.81,4.41,0.0,Puttalam,8.0362,79.8283
20220102:0430,268.56,343.19,44.82,25.32,4.69,0.0,Puttalam,8.0362,79.8283
20220102:0530,408.18,521.8,54.07,26.36,3.86,0.0,Puttalam,8.0362,79.8283
20220102:0630,260.69,335.97,58.84,27.34,4.34,0.0,Puttalam,8.0362,79.8283
