time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.31,20.7,1.1,0.0,Ratnapura,6.6858,80.4036
20220101:0130,62.26,107.74,8.36,20.36,1.17,0.0,Ratnapura,6.6858,80.4036
20220101:0230,241.75,319.97,21.73,22.38,0.76,0.0,Ratnapura,6.6858,80.4036
20220101:0330,409.9,531.28,34.53,24.99,1.03,0.0,Ratnapura,6.6858,80.4036
20220101:0430,547.28,723.22,46.19,26.05,1.1,0.0,Ratnapura,6.6858,80.4036
20220101:0530,625.57,847.85,55.51,27.32,0.9,0.0,Ratnapura,6.6858,80.4036
20220101:0630,634.15,877.9,60.17,28.12,0.34,0.0,Ratnapura,6.6858,80.4036
20220101:0730,573.24,771.95,58.05,28.52,1.03,0.0,Ratnapura,6.6858,80.4036
20220101:0830,552.41,740.81,50.23,28.27,0.97,0.0,Ratnapura,6.6858,80.4036
20220101:0930,350.84,460.27,39.3,27.96,0.69,0.0,Ratnapura,6.6858,80.4036
20220101:1030,167.38,226.55,26.85,25.92,0.62,0.0,Ratnapura,6.6858,80.4036
20220101:1130,73.77,115.26,13.66,25.05,0.34,0.0,Ratnapura,6.6858,80.4036
20220101:1230,0.03,5.91,0.09,24.25,0.69,0.0,Ratnapura,6.6858,80.4036
20220101:1330,0.0,0.0,0.0,23.43,0.21,0.0,Ratnapura,6.6858,80.4036
20220101:1430,0.0,0.0,0.0,23.07,0.14,0.0,Ratnapura,6.6858,80.4036
20220101:1530,0.0,0.0,0.0,22.43,0.83,0.0,Ratnapura,6.6858,80.4036
20220101:1630,0.0,0.0,0.0,22.19,0.9,0.0,Ratnapura,6.6858,80.4036
20220101:1730,0.0,0.0,0.0,21.77,0.97,0.0,Ratnapura,6.6858,80.4036
20220101:1830,0.0,0.0,0.0,21.47,0.97,0.0,Ratnapura,6.6858,80.4036
20220101:1930,0.0,0.0,0.0,22.03,0.9,0.0,Ratnapura,6.6858,80.4036
20220101:2030,0.0,0.0,0.0,21.95,0.83,0.0,Ratnapura,6.6858,80.4036
20220101:2130,0.0,0.0,0.0,21.88,0.76,0.0,Ratnapura,6.6858,80.4036
20220101:2230,0.0,0.0,0.0,21.79,0.76,0.0,Ratnapura,6.6858,80.4036
20220101:2330,0.0,0.0,0.0,22.07,0.55,0.0,Ratnapura,6.6858,80.4036
20220102:0030,0.0,0.0,-5.41,21.68,0.69,0.0,Ratnapura,6.6858,80.4036
20220102:0130,79.23,134.86,8.27,21.03,0.9,0.0,Ratnapura,6.6858,80.4036
20220102:0230,286.33,379.9,21.66,22.66,0.41,0.0,Ratnapura,6.6858,80.4036
20220102:0330,431.85,568.11,34.47,24.99,0.28,0.0,Ratnapura,6.6858,80.4036
