time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-5.28,24.61,4.41,0.0,Trincomalee,8.5778,81.2289
20220101:0130,25.1,49.75,8.31,24.41,4.41,0.0,Trincomalee,8.5778,81.2289
20220101:0230,146.15,199.13,21.55,24.92,4.9,0.0,Trincomalee,8.5778,81.2289
20220101:0330,271.94,345.77,34.12,25.12,5.24,0.0,Trincomalee,8.5778,81.2289
20220101:0430,404.74,510.35,45.44,25.56,4.9,0.0,Trincomalee,8.5778,81.2289
20220101:0530,582.75,747.62,54.24,26.95,4.41,0.0,Trincomalee,8.5778,81.2289
20220101:0630,367.3,466.08,58.34,26.84,5.1,0.0,Trincomalee,8.5778,81.2289
20220101:0730,313.43,398.65,55.99,25.91,4.41,0.0,Trincomalee,8.5778,81.2289
20220101:0830,240.32,310.16,48.27,25.82,4.34,0.0,Trincomalee,8.5778,81.2289
20220101:0930,122.47,167.41,37.49,25.82,5.03,0.0,Trincomalee,8.5778,81.2289
20220101:1030,16.59,34.38,25.19,24.37,4.76,0.0,Trincomalee,8.5778,81.2289
20220101:1130,10.52,25.39,12.1,24.69,4.41,0.0,Trincomalee,8.5778,81.2289
20220101:1230,0.0,0.0,-1.41,24.92,3.93,0.0,Trincomalee,8.5778,81.2289
20220101:1330,0.0,0.0,0.0,25.26,4.0,0.0,Trincomalee,8.5778,81.2289
20220101:1430,0.0,0.0,0.0,25.24,5.03,0.0,Trincomalee,8.5778,81.2289
20220101:1530,0.0,0.0,0.0,24.94,5.31,0.0,Trincomalee,8.5778,81.2289
20220101:1630,0.0,0.0,0.0,24.94,4.97,0.0,Trincomalee,8.5778,81.2289
20220101:1730,0.0,0.0,0.0,24.96,5.24,0.0,Trincomalee,8.5778,81.2289
20220101:1830,0.0,0.0,0.0,25.17,5.1,0.0,Trincomalee,8.5778,81.2289
20220101:1930,0.0,0.0,0.0,25.13,5.38,0.0,Trincomalee,8.5778,81.2289
20220101:2030,0.0,0.0,0.0,24.53,4.83,0.0,Trincomalee,8.5778,81.2289
20220101:2130,0.0,0.0,0.0,24.69,4.41,0.0,Trincomalee,8.5778,81.2289
20220101:2230,0.0,0.0,0.0,25.3,5.38,0.0,Trincomalee,8.5778,81.2289
20220101:2330,0.0,0.0,0.0,25.76,5.45,0.0,Trincomalee,8.5778,81.2289
20220102:0030,0.0,0.0,-5.37,25.73,5.66,0.0,Trincomalee,8.5778,81.2289
20220102:0130,24.29,49.36,8.23,25.44,5.24,0.0,Trincomalee,8.5778,81.2289
20220102:0230,99.86,142.41,21.48,25.51,4.69,0.0,Trincomalee,8.5778,81.2289
20220102:0330,183.39,240.83,34.07,25.52,4.76,0.0,Trincomalee,8.5778,81.2289
20220102:0430,217.92,280.11,45.42,25.06,5.17,0.0,Trincomalee,8.5778,81.2289
20220102:0530,255.62,326.67,54.27,25.64,5.31,0.0,Trincomalee,8.5778,81.2289
20220102:0630,377.31,474.11,58.42,25.84,6.07,0.0,Trincomalee,8.5778,81.2289
20220102:0730,253.1,323.99,56.11,25.76,5.59,0.0,Trincomalee,8.5778,81.2289
20220102:0830,374.45,469.26,48.4,25.93,6.0,0.0,Trincomalee,8.5778,81.2289
20220102:0930,299.45,380.64,37.63,25.85,5.24,0.0,Trincomalee,8.5778,81.2289
20220102:1030,162.24,217.62,25.32,25.94,5.03,0.0,Trincomalee,8.5778,81.2289
20220102:1130,70.7,112.9,12.23,25.86,5.17,0.0,Trincomalee,8.5778,81.2289
20220102:1230,0.0,0.0,-1.29,25.44,5.03,0.0,Trincomalee,8.5778,81.2289
20220102:1330,0.0,0.0,0.0,25.3,5.17,0.0,Trincomalee,8.5778,81.2289
20220102:1430,0.0,0.0,0.0,25.04,5.66,0.0,Trincomalee,8.5778,81.2289
