time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220101:0030,0.0,0.0,-6.02,22.98,2.28,0.0,Vavuniya,8.7514,80.4971
20220101:0130,33.61,65.79,7.58,23.03,2.28,0.0,Vavuniya,8.7514,80.4971
20220101:0230,148.98,202.8,20.83,23.5,2.55,0.0,Vavuniya,8.7514,80.4971
20220101:0330,237.89,305.46,33.43,24.49,3.93,0.0,Vavuniya,8.7514,80.4971
20220101:0430,413.81,523.13,44.81,25.29,3.86,0.0,Vavuniya,8.7514,80.4971
20220101:0530,547.88,703.65,53.75,26.46,3.66,0.0,Vavuniya,8.7514,80.4971
20220101:0630,373.87,481.54,58.12,27.44,3.45,0.0,Vavuniya,8.7514,80.4971
20220101:0730,208.58,271.77,56.09,25.58,3.72,0.0,Vavuniya,8.7514,80.4971
20220101:0830,171.45,226.36,48.6,25.14,2.83,0.0,Vavuniya,8.7514,80.4971
20220101:0930,192.74,251.01,37.96,24.73,2.97,0.0,Vavuniya,8.7514,80.4971
20220101:1030,74.09,109.12,25.73,24.4,3.1,0.0,Vavuniya,8.7514,80.4971
20220101:1130,20.46,40.38,12.68,23.93,2.69,0.0,Vavuniya,8.7514,80.4971
20220101:1230,0.0,0.0,-0.81,23.69,2.97,0.0,Vavuniya,8.7514,80.4971
20220101:1330,0.0,0.0,0.0,23.32,2.41,0.0,Vavuniya,8.7514,80.4971
20220101:1430,0.0,0.0,0.0,23.05,2.34,0.0,Vavuniya,8.7514,80.4971
20220101:1530,0.0,0.0,0.0,23.03,2.41,0.0,Vavuniya,8.7514,80.4971
20220101:1630,0.0,0.0,0.0,23.1,2.62,0.0,Vavuniya,8.7514,80.4971
20220101:1730,0.0,0.0,0.0,23.06,2.97,0.0,Vavuniya,8.7514,80.4971
20220101:1830,0.0,0.0,0.0,23.12,2.9,0.0,Vavuniya,8.7514,80.4971
20220101:1930,0.0,0.0,0.0,22.99,2.97,0.0,Vavuniya,8.7514,80.4971
20220101:2030,0.0,0.0,0.0,22.92,3.1,0.0,Vavuniya,8.7514,80.4971
20220101:2130,0.0,0.0,0.0,22.82,2.62,0.0,Vavuniya,8.7514,80.4971
20220101:2230,0.0,0.0,0.0,22.76,2.21,0.0,Vavuniya,8.7514,80.4971
20220101:2330,0.0,0.0,0.0,22.82,2.0,0.0,Vavuniya,8.7514,80.4971
20220102:0030,0.0,0.0,-6.11,22.78,1.72,0.0,Vavuniya,8.7514,80.4971
20220102:0130,28.39,56.81,7.5,22.89,1.59,0.0,Vavuniya,8.7514,80.4971
20220102:0230,86.69,125.8,20.76,23.45,1.79,0.0,Vavuniya,8.7514,80.4971
20220102:0330,148.58,199.54,33.38,24.24,2.21,0.0,Vavuniya,8.7514,80.4971
20220102:0430,166.26,220.85,44.79,25.18,2.83,0.0,Vavuniya,8.7514,80.4971
20220102:0530,297.55,376.73,53.77,24.28,3.17,0.0,Vavuniya,8.7514,80.4971
20220102:0630,298.77,381.01,58.19,25.0,3.31,0.0,Vavuniya,8.7514,80.4971
20220102:0730,169.07,225.47,56.21,25.62,3.45,0.0,Vavuniya,8.7514,80.4971
20220102:0830,179.09,236.49,48.73,25.09,2.97,0.0,Vavuniya,8.7514,80.4971
20220102:0930,218.51,284.55,38.09,25.21,2.62,0.0,Vavuniya,8.7514,80.4971
20220102:1030,43.01,70.25,25.86,25.53,2.97,0.0,Vavuniya,8.7514,80.4971
20220102:1130,25.91,49.26,12.8,24.03,2.76,0.0,Vavuniya,8.7514,80.4971
20220102:1230,0.0,0.0,-0.7,23.84,2.48,0.0,Vavuniya,8.7514,80.4971
20220102:1330,0.0,0.0,0.0,23.55,2.69,0.0,Vavuniya,8.7514,80.4971
20220102:1430,0.0,0.0,0.0,23.39,2.62,0.0,Vavuniya,8.7514,80.4971
20220102:1530,0.0,0.0,0.0,23.33,2.55,0.0,Vavuniya,8.7514,80.4971
20220102:1630,0.0,0.0,0.0,23.32,2.48,0.0,Vavuniya,8.7514,80.4971
20220102:1730,0.0,0.0,0.0,23.26,2.48,0.0,Vavuniya,8.7514,80.4971
20220102:1830,0.0,0.0,0.0,23.16,2.41,0.0,Vavuniya,8.7514,80.4971
20220102:1930,0.0,0.0,0.0,23.05,2.48,0.0,Vavuniya,8.7514,80.4971
20220102:2030,0.0,0.0,0.0,23.12,2.41,0.0,Vavuniya,8.7514,80.4971
20220102:2130,0.0,0.0,0.0,23.07,2.28,0.0,Vavuniya,8.7514,80.4971
20220102:2230,0.0,0.0,0.0,22.87,2.28,0.0,Vavuniya,8.7514,80.4971
20220102:2330,0.0,0.0,0.0,22.81,2.41,0.0,Vavuniya,8.7514,80.4971
20220103:0030,0.0,0.0,-6.2,22.88,2.48,0.0,Vavuniya,8.7514,80.4971
20220103:0130,43.84,81.62,7.42,22.86,2.55,0.0,Vavuniya,8.7514,80.4971
20220103:0230,145.78,199.18,20.7,23.47,2.62,0.0,Vavuniya,8.7514,80.4971
20220103:0330,362.16,460.03,33.34,24.4,3.1,0.0,Vavuniya,8.7514,80.4971
20220103:0430,396.33,503.25,44.77,25.78,3.59,0.0,Vavuniya,8.7514,80.4971
20220103:0530,443.65,564.91,53.8,26.7,3.66,0.0,Vavuniya,8.7514,80.4971
20220103:0630,434.2,550.79,58.28,26.43,4.55,0.0,Vavuniya,8.7514,80.4971
20220103:0730,331.33,421.4,56.33,25.96,4.34,0.0,Vavuniya,8.7514,80.4971
20220103:0830,248.77,319.45,48.87,25.93,3.86,0.0,Vavuniya,8.7514,80.4971
20220103:0930,169.43,224.72,38.23,26.04,3.72,0.0,Vavuniya,8.7514,80.4971
20220103:1030,54.68,85.31,25.99,25.45,3.38,0.0,Vavuniya,8.7514,80.4971
20220103:1130,34.75,60.93,12.92,24.97,3.45,0.0,Vavuniya,8.7514,80.4971
20220103:1230,0.0,0.0,-0.58,24.79,3.03,0.0,Vavuniya,8.7514,80.4971
20220103:1330,0.0,0.0,0.0,24.57,2.9,0.0,Vavuniya,8.7514,80.4971
20220103:1430,0.0,0.0,0.0,24.37,2.76,0.0,Vavuniya,8.7514,80.4971
20220103:1530,0.0,0.0,0.0,24.23,2.62,0.0,Vavuniya,8.7514,80.4971
20220103:1630,0.0,0.0,0.0,24.09,2.55,0.0,Vavuniya,8.7514,80.4971
20220103:1730,0.0,0.0,0.0,23.98,2.41,0.0,Vavuniya,8.7514,80.4971
20220103:1830,0.0,0.0,0.0,23.81,2.28,0.0,Vavuniya,8.7514,80.4971
20220103:1930,0.0,0.0,0.0,23.72,2.21,0.0,Vavuniya,8.7514,80.4971
20220103:2030,0.0,0.0,0.0,23.57,2.21,0.0,Vavuniya,8.7514,80.4971
20220103:2130,0.0,0.0,0.0,23.51,2.21,0.0,Vavuniya,8.7514,80.4971
20220103:2230,0.0,0.0,0.0,23.47,2.21,0.0,Vavuniya,8.7514,80.4971
20220103:2330,0.0,0.0,0.0,23.47,2.21,0.0,Vavuniya,8.7514,80.4971
20220104:0030,0.0,0.0,-6.28,23.38,2.28,0.0,Vavuniya,8.7514,80.4971
20220104:0130,41.95,81.67,7.34,23.39,2.34,0.0,Vavuniya,8.7514,80.4971
20220104:0230,201.61,269.73,20.64,23.83,2.34,0.0,Vavuniya,8.7514,80.4971
20220104:0330,381.8,488.22,33.3,25.15,2.69,0.0,Vavuniya,8.7514,80.4971
20220104:0430,469.71,596.19,44.76,26.58,4.83,0.0,Vavuniya,8.7514,80.4971
20220104:0530,500.53,637.43,53.83,27.08,4.69,0.0,Vavuniya,8.7514,80.4971
20220104:0630,372.43,474.79,58.37,27.1,4.55,0.0,Vavuniya,8.7514,80.4971
20220104:0730,335.95,430.78,56.46,26.88,4.34,0.0,Vavuniya,8.7514,80.4971
20220104:0830,464.7,591.38,49.01,26.88,4.14,0.0,Vavuniya,8.7514,80.4971
20220104:0930,222.49,289.33,38.36,27.28,4.34,0.0,Vavuniya,8.7514,80.4971
20220104:1030,186.32,248.4,26.12,26.73,3.59,0.0,Vavuniya,8.7514,80.4971
20220104:1130,101.46,155.26,13.05,26.37,3.52,0.0,Vavuniya,8.7514,80.4971
20220104:1230,0.0,0.0,-0.46,25.77,3.03,0.0,Vavuniya,8.7514,80.4971
20220104:1330,0.0,0.0,0.0,24.99,2.55,0.0,Vavuniya,8.7514,80.4971
20220104:1430,0.0,0.0,0.0,24.44,2.34,0.0,Vavuniya,8.7514,80.4971
20220104:1530,0.0,0.0,0.0,24.06,2.48,0.0,Vavuniya,8.7514,80.4971
20220104:1630,0.0,0.0,0.0,23.8,2.55,0.0,Vavuniya,8.7514,80.4971
20220104:1730,0.0,0.0,0.0,23.61,2.34,0.0,Vavuniya,8.7514,80.4971
20220104:1830,0.0,0.0,0.0,23.52,2.07,0.0,Vavuniya,8.7514,80.4971
20220104:1930,0.0,0.0,0.0,23.46,1.66,0.0,Vavuniya,8.7514,80.4971
20220104:2030,0.0,0.0,0.0,23.19,1.59,0.0,Vavuniya,8.7514,80.4971
20220104:2130,0.0,0.0,0.0,23.02,1.59,0.0,Vavuniya,8.7514,80.4971
20220104:2230,0.0,0.0,0.0,22.91,1.59,0.0,Vavuniya,8.7514,80.4971
20220104:2330,0.0,0.0,0.0,22.82,1.45,0.0,Vavuniya,8.7514,80.4971
20220105:0030,0.0,0.0,-6.37,22.87,1.31,0.0,Vavuniya,8.7514,80.4971
20220105:0130,19.67,43.5,7.27,23.08,1.24,0.0,Vavuniya,8.7514,80.4971
