district,latitude,longitude,elevation
Colombo,6.93548,79.84868,7.0
Gampaha,7.0897,79.9925,21.0
Kalutara,6.5831,79.9593,7.0
Kandy,7.2906,80.6336,500.0
Matale,7.4698,80.6217,366.0
Nuwara Eliya,6.97078,80.78286,1868.0
Galle,6.0461,80.2103,24.0
Matara,5.94851,80.53528,9.0
Hambantota,6.1241,81.1185,10.0
Jaffna,9.66845,80.00742,7.0
Kilinochchi,9.3961,80.3982,24.0
Mannar,8.98945,79.87842,9.0
Mullaitivu,9.268,80.815,8.0
Vavuniya,8.7514,80.4971,104.0
Batticaloa,7.7102,81.6924,17.0
Ampara,7.29754,81.68202,37.0
Trincomalee,8.5778,81.2289,10.0
Kurunegala,7.4839,80.3683,146.0
Puttalam,8.0362,79.8283,8.0
Anuradhapura,8.31223,80.41306,100.0
Polonnaruwa,7.93965,81.00274,60.0
Badulla,6.9802,81.0577,683.0
Monaragala,6.8714,81.3487,151.0
Ratnapura,6.6858,80.4036,73.0
Kegalle,7.2523,80.3436,176.0
